Topic title: 一马书店被起诉
username,date,text
cyberjaye,20171213,"用一马开头的，全部托衰家。MO1..."
Screenshot_2017-12-13-14-37-35.jpg,20171213,"有那位大大可以告诉我， 一马品牌有什么是成功的。感恩"
北工老人,20171213,"brim啊，成功的很"
Cinabaku,20171213,""
虾米辣椒猪油渣,20171213,"看你还有没有要投废票的理由。"
loongken,20171213,"今天才發現原來1M還有書店...1M還有什麼店?"
Jason929,20171213,"一馬書店有沒有買郭老的回憶錄 ？ "
yming2475,20171213,"還有kedai kain 1m"
寂寞的小子,20171213,"共产主义才会实行这样的销售模式！State owned!!!"
Kombat1977,20171213,"一马的书店有卖华文书籍吗？"
Cathe123,20171213,"除了一马援金，一马招牌做什么死什么 一马公司一马商店一马书店一马布店一马鱼店一马网店一马餐馆一马餐单一马电邮一马诊所一马奖学金一马基金会一马训练中心一马青年计划"
syncsw,20171213,"只有一马诊所比较有用。洗伤口不用跟人家挤"
流星穿月,20171213,"我个人觉得一马网络枪手蛮成功。。。都是大师级 pusing 功算还可以，起码赢了够烂。 "
miloicekawkaw,20171213,"有没有一马油站？"
FF-9,20171213,"还有一马牛奶，喝了不会泻肚子～"
teachew,20171213,"竟然有姨妈书店。。。全部买可兰经和洗脑书的吗？长见识了"
q(T_T)p,20171213,"一马诊所确实是好的，也帮了不少民众"
明明明,20171213,"有沒有卖姨妈巾？？"
justebelmont,20171213,"1马牛奶，1马玩完后就来个2马xxxxxxx了"
gavin@_@,20171213,"建议开，一马赌场，一马万字，一马舞厅，一马烟馆，一马青楼，包赚。"
haku,20171213,"没有酱大的能力就不要撑饭盖"
Akira_sendoh,20171213,"土匪会做生意？"
firehawk,20171213,"既然是一马，MO1 应该会担保，由财政部额外拨款资助！"
cyberjaye,20171213,"不排除这个可能 1马商店倒了，政府马上推2。0"
firehawk,20171213,"都是自己人， i help you， you help me！"
RingRingRing,20171213,"一马青楼等下全部是河马size 也是收皮 "
teachew,20171214,"可能有些人有特殊喜好呢？比如说，那个 一凳大師，他很喜欢河马，天天跪着向河马朝拜，连朝拜佛像都没那么虔诚！"
beyondseek,20171214,"乖乖不得了, 整間青樓都是最完美的女人還不完爆其他所有的私立青樓~~~ 賺翻了~~~"
孤鸟,20171214,"简直就在浪费资源。。。"
skyfoo,20171214,"一马汉堡包最适合了"
Heng1234567890,20171214,"makan duit 1m./1b. 商店"
瘋流材子,20171214,"1MDB对MO1个人利益来说是非常极度成功的"
IRR2000,20171214,"一燈大师和jellyfish 会想尽办法去无中生有！！大家要小心这两个家伙！"
justebelmont,20171214,"为了适应马产喜欢赚快钱的性格，政府应该考慮让马产多搞偏门生意。"
justebelmont,20171214,"1M 保护费，1M 过路费，1M 空气费，1M 电水费。"
syncsw,20171214,"这个一马牛奶是在学校免费派的吗？"
englianhu,20171214,"僕也一样，现在才知道。"
teachew,20171214,"是的，只派给那些贫穷又在program申请成功的学生。当然，也会有不少浪费和腐败的局面出现，比如说，学生喝不完（因为太多，有时候是每天都派，又不能够让学生带回家，防止他们拿去卖），老师拿去给别的学生喝或老师们自己喝掉（别的学生家长不同意让自己的孩子“冒险”，老师不能够拿去卖又不能够拿去送人，因为印了“非卖品”在产品上）。"
syncsw,20171214,"申请资格是什么？学生每天拿到一包吗？不能带回家是什么道理来的，在学校也能卖啊 下次有机会的话，可以拍拍manufacturer或distributor的资料 po上来吗？"
teachew,20171214,"申请资格是家长每月薪水在RMXXX之下（忘了是多少），学生几天拿一包在现场喝，有时候是每天一包。学生不能带回家是防止学生拿去卖，或是防止变质坏掉学生喝了出现状况然后怪罪校方或政府或教育部长或牛奶公司，etc ……免费牛奶是完全不能够卖，因为是政府送的，也印了“Not For Sale”，所以不可以拿去卖！"
syncsw,20171214,"那是一天一包，还是几天一包？你是小学教师吗？那群学生是你学校的吗？老师有得喝，那就是说政府送去学校不是根据真正的需求送的？多久送一次？"
猴年馬月,20171214,""
teachew,20171214,"还有，有一种饮料叫做 latte3XXX，有毒！！还毒过 jellyfish 的毒液！！大家要小心这种饮料！！！！"
IRR2000,20171214,"尤其是他们很爱pusing功夫！他们很无聊"
teachew,20171214,"有时候是一天一包，有时候几天一包。我是什么跟佳礼论坛无关，那群学生是我从网上转载的。老师有得喝，那就是说政府送去学校不是根据真正的需求送的？有时候会过量，老师不接受，难道要丢掉吗？多久送一次？不清楚，看情况的，喜欢喜欢就多送。"
teachew,20171214,"我们不需要跟这些人周旋到底！他们是枪手，我们都有正职工作要做。"
syncsw,20171214,"有时一天一包，有时几天一包，那就是舞弊的迹象了 "
teachew,20171214,"什么舞弊？你不要乱乱讲！这些牛奶都是免费提供的！谁能够舞弊？没有啊！什么人？你有什么证据证明？"
paulng85,20171214,"那又没有一马马杀鸡店呢？"
cyberjaye,20171214,"最少有五间学校的学生喝了进医院"
teachew,20171214,"那是因为那5所学校的学生体质太差才进医院的，我喝了这些牛奶，没有进医院啊！"
syncsw,20171214,"如果规定是合格学生每天有一包牛奶，假设ABC小学有50个合格学生，一个月有20天上课天，那每个月就需要1000份牛奶。教育部每个月送42箱牛奶去ABC小学，总共是1008份。如果负责的老师舞弊，每两天才派一次牛奶，他就可以私吞508包了。====================物证我没有，人证接受吗？"
teachew,20171214,"老师不会舞弊吧！要这些牛奶来做什么？又不能够卖！喝了也有可能中毒进医院的！"
syncsw,20171214,"自己可以喝啊。一家五口，每人每天喝两包，一个月可以消耗300包，每个月省下买milo和牛奶的钱也有一百几十块。"
teachew,20171214,"刚刚看到了，一箱有24包。"
IMG_20171214_172935.jpeg,20171214,"24 x 42箱就是1008包了 "
syncsw,20171214,"有时候是有学生不要喝了，老师才会勉为其难拿来喝的！比如说，11月最后一个星期，很多学生缺席，包括那些喝牛奶的学生，这样的话，负责老师唯有把过剩的牛奶到处派，派给高年级学生（确保不会对牛奶敏感）啊！派给同事啊！不然的话，收进学校的电冰箱吗？那么多包装牛奶怎么收？唯有到处派掉啦！"
teachew,20171214,"那个是另一回事 如果规定是每天一包，实行起来是两天一包，那就是舞弊 "
syncsw,20171214,"我不能够跟你谈太多这个课题，免得版主发狂来扣分，来警告，来禁言！26-11-2017 01:10 AM您的主题 各位同道，天大的好消息，10+6 華小建校程序已啟動，大家進來祝賀未來的華小子弟吧 被 latte3948 警告连续 7 天内累计 3 次警告，您将被自动禁止发言 7 天。截止至目前，您已被警告 1 次，请注意！与网友洗版相互谩骂，浪费网络资源。26-11-2017 01:10 AM您的主题 各位同道，天大的好消息，10+6 華小建校程序已啟動，大家進來祝賀未來的華小子弟吧 被 latte3948 屏蔽帖子"
teachew,20171214,"没有老师想要那些牛奶，至于送货的 van 或 lorry 有没有舞弊，我也不知道！"
