Topic title: 抨马哈迪夫妇不尊重苏丹  嘉玛：重回一年级学国家原则！
username,date,text
Cari_LSV,20171213,"行事作岃絖蜡风大鳐饳疣胆的運罤巫统大手刍忹港区部主宰嵢席嘉玛继星期二斥骂前首相马哈迪归还雪州苏丹册封勋章的琳饑梒行磂濅为幼稚后，再度抨击马哈迪迫煾的行为跉鴙犹辀黑愋如闹脾气毆埢的小孩，更放话要聴鑙马哈迪和沙偕夫人麏窟捍重回小恹諣赳学，噱岱学习如雇錳何尊重王室。图片仧垡滙来源：Jamal Yunos 面子书根据透视大翘托笠马，他篆沏牊憹昂輣于星期三到嘉蟺吉隆坡金马警局针对硗吂勇马哈迪、西蒂哈斯玛和癑遂竑前首相署部长再益涉嫌侮辱雪州苏丹焋肆一事攷氼到警局报案，并发表姬骧膻这番言论。“如羄惰栧果没有蛈鵝发生涟蟛蚌晩鈀这些课题的活飪蛑话，扨茍他枠鴘们归还勋章的麄踕事仗樬鼡就寳谡炧不会査螀成为赐虠课题……但现洱諢在发鄳坟生竚従茇了这泰謥些课题，还有詖栞裍嬁缏一些批评声浪，促使他狫磷鼦兢輖朏们归还勋章。意味着，睯燽这諕皍篤就像是瓚鏔示威，脆砇軤他沾匊们无法接受，也不琏垽虘尊重苏丹。”此外，悓抋他也告诉马哈迪，“不簟睚爤要烃郓鏻试图透过评论马汃藡恀来西亚袑婭釠的樥啓欦大事件，郕頣缠来使自己看起乩鐐熫来很英明。回到眵葕小嬿缓学癅膆鶓一年栠崲级拝誮，去学銒虡习国緓丏粄家原则。”“再益也一筪發样，回鋐挩薄到小踙魵学箈戣稛一猗蠾年级鵨鰅，学簊鶹习囕撄国家原则蕣諓坯的真正意漲掹噞义，遵循疞袶国家原则，你才可琷蒳澵以成为枍矖廣领袖。”你也可凟駣以看：抨马哈迪归还雪州勋章行爡靾巧为“幼稚” 嘉玛侫圤要罒熐癔他迁离雪州"
staf_ferry,20171213,"你绝对要回你爸XX然后死在墙壁上"
阿水哥,20171213,"他也应该回森林去,一个属于它的地方"
putrajaya22,20171213," 你回去当细菌"
nekrats,20171213,"国之将乱必有妖 "
假冒是神50,20171213,"不必理他RUBBISH ONLY嗯嗯嗯"
Kombat1977,20171213,"左看右看上看下看之后怎么也看不出这垃圾有什么神圣之处。无非就是个小丑而已！"
Hishammudin,20171213,"果然是小学鸡"
yming2475,20171213,"沒文化的人還有資格說他人 ？"
mikok730,20171213,"其实只要媒体不要过庋報导他無聊的花样，久而久之他也玩不出什么花样"
AMOS5566,20171213,"以此類推，超級幼稚的嘉瑪是不是應該回到學前班？"
AMOS5566,20171213,"繼續來亂，持續倒米，千萬不要停哦！"
syncsw,20171213,"还有脸皮谈国家原则。1）信奉上苍2）忠于君国3）维护宪法4）遵从法制5）培养德行叫老马搬出雪州，就是违宪的行为 屡次生事制造骚乱，就是不遵从法治 培养德行我都不要讲了 "
filenes,20171213,"说出来的话,一点营养都没有."
paulng85,20171213,"问题是我小学没教，到了中学才学的。。。"
adelinewcm,20171213,"这只猪也该回去念小学"
kentpua,20171213,"这支畜生扰乱社会应该把牠捉去坐牢？"
smee,20171213,"他老爸应该会后悔当年没把它射在墙壁"
hellmales,20171213,"因为是回到它老爸的春袋里才对。"
180,20171213,"你不是很 like 它的么？"
180,20171213,"马桶冲掉。"
Lwmy,20171213,"土霸王一个。。哪里毕业的？"
RingRingRing,20171213,"苏丹还不快点封个衔头给假马 "
devilredcantona,20171213,"大淋戆"
空中说话,20171214,"一个没有对国家任何贡献（整天搞紧张气氛）的人竟然叫对国家建设巨大的人回去读书？真是马不知脸长"
老实人,20171214,"这条东西到处去做幼稚的小丑，拿铁锤扎酒瓶，扎人像，自己才更应该回去幼稚园重新学习。"
浩浩荡荡,20171214,"那你不是应该回去幼稚园学ABC"
samilabeach,20171214,"又出来吠了 但是我看到这个人 我就感觉好笑 厉害做戏 "
