Topic title: 藍眼計劃舉辦跨年 1.1.2018 反政府非法示威，大家打算出席嗎？
username,date,text
一燈大師,20171214,"藍眼計劃舉辦跨年 1.1.2018 反政府非法示威，大家打算出席嗎？上次沒去 PJ 草場示威的憤華會相應麼？輕易能拍到 “10萬人潮” 反政府示威哦。 "
一燈大師,20171214,"出席名單：------------1）2）3）不出席名單：------------1）一燈大師2）tanxinrong3）jellyfish_84）unhpyppl5）神垂死6）lokijuh1237）lalangwang8）kamloontai9）10）去不去关你屁事：------------------1）lion_o2）3）"
jellyfish_8,20171214,"一月一号是新年jom pergi merdeka square 喊兴！旺！发"
莱殊,20171214,"真会计算。。。。狐假虎威哦。。。。。"
一燈大師,20171214,"你會去嗎？  有可能看到國家盜賊哦。"
tanxinrong,20171214,"帮我update 下不出席名单。铁定不出席。"
一燈大師,20171214,"好了。如果改變主意要告訴我哦。"
一燈大師,20171214,"這樣搞下去，嘉瑪也會出現。"
lion_o,20171214,"去不去关你屁事"
syncsw,20171214,"我去我去，加我去出席名单，加了要回复通知我哦 （马华江夏每次看到我在他的贴子出现就缩春了，testing 看看这次他会不会看到我）"
一燈大師,20171214,"去不去关你屁事：--------------------1）lion_o2）2）謝謝參與。"
jellyfish_8,20171214,"去了可能会被 ketuk-kasi RM10一天的饭钱还是省省没理由要我这个穷人资助千万/亿万富豪说不过去"
~Zack~,20171214,"有时觉得希盟真的很不争气，里面真的没有人才。比如，火箭几乎拿了90％的华人票，却还在针对华人票，只敢骂马华，无能开拓马来票源。隆雪已经是民联的大本营，每次游行却都一直在。为什么不要开拓新战场，敢敢把游行示威办在南马或东海岸。"
一燈大師,20171214,"你知道有哪個火箭議員是打巫統馬來區的嗎？"
NickNick,20171214,"吃饱饭没事做的人才会去示威要稳定，不要乱！"
一燈大師,20171214,"要換不要更加爛。"
Longan,20171214,"骑劫入城倒数的人来充人头..."
~Zack~,20171214,"不知道，也不是重点。重点是，小孩子都知道，要执政，就必须打倒巫统。无论是自己打倒，还是帮盟友打倒"
Jason929,20171214,"testing result come out 了..."
paulng85,20171214,"傻佬"
NickNick,20171214,"没有其实是因为公正党和回教党不愿意让马来区给火箭"
unhpyppl,20171214,"不去，廢青才會去。"
us2009,20171214,"大师是华人罪人之一哪敢去去了等下给人丢"
RingRingRing,20171214,"有没有想去但不能去的名单 "
莱殊,20171214,"假马只要真马点头。。。。拉几百人去助兴。。。。帮忙制造新闻宣传。。。。没问题。。。。。"
一燈大師,20171214,"這算是不出席。"
神垂死,20171214,"偶·来报名不出席名單~"
一燈大師,20171214,"好的。如果是去 countdown，是可以的。"
一燈大師,20171214,"你說 CARI 裡平時很討厭嘉瑪的憤華，會去抗衡嘉瑪嗎？嘉瑪腰間有 glock 的哦。"
lokijuh123,20171214,"肯定不去"
神垂死,20171214,"偶在家打灰机好都过去塞在pavilion几个小时都不能动~"
justebelmont,20171215,"收皮啦，无论如何马华吃定鳮蛋了，就算你们每天努力去看水沟，照样踢你们下水沟。你们和火箭一样无药可救，但因为马桶毒害蒼生，所以你们必须先被凊算。"
一燈大師,20171215,"你呢？ 會去非法示威嗎？    "
一燈大師,20171215,"的確。 我也要為將近的華山論劍做做功課。"
一燈大師,20171215,"馬華收了皮，火箭頂上成為 馬華2.0 是預料中事。"
一燈大師,20171215,"藍眼已經宣布退出 40% 選區，不知道火箭會獲得多少。"
lalangwang,20171215,"lalangwang表示肯定不会出席"
一燈大師,20171215,"對，非法示威不要參加。"
山村野夫,20171215,"东方不败 VS 任我行，应该是决战黑木崖才对吧，何来华山论剑？"
瘋流材子,20171215,"原来是真的"
jellyfish_8,20171215,"出席 = 支持，或者看热闹不出席 = 反对，弃权表态不出席的意思是反对这类ketuk-kasi没有意义，劫贫济富的聚会"
神垂死,20171215,"未来靠你了，感恩阿门～#Allahu akbar#I Love Allah"
justebelmont,20171215,"马华不收皮，华人先收皮。"
一燈大師,20171215,"我們都是靠納吉爺爺的了。#all_inNajib"
神垂死,20171215,"希望纳吉布爷爷在明年大选大胜一场然后盖红豆冰一掌响亮的耳光，从此红豆冰就不会抱有一线希望～#We are still believe grandfather najib~"
一燈大師,20171215,"納吉爺爺是全民首相，紅豆兵再怎麼叛逆，也是自家子民，我相信納吉爺爺會一視同仁，海納百川。"
gaomin,20171215,"不是要不要去的问题，而是会不会获得批准主办。（基于安全理由，不批准主办)"
一燈大師,20171215,"去，或不去，是你選擇。獲不獲得批准是主辦人藍眼的事。"
kamloontai,20171216,"不去，因为不想被政治人利用而且这种示威败坏国家名誉，有的吃住天下太平，如果是火箭可能有拿milo tin叫大家捐钱。火箭最pantai是赚钱。我没有说火箭贪污。2018去klcc看烟花，祝大师，水母和大家还有各位火箭迷新年欢乐。"
一燈大師,20171216,"有道理，我們以國家為先，絕不能破壞國家聲譽，更不能被反對黨疏擺。也祝你安康快樂。"
