Topic title: 纳吉时代，征税年代！！！ 开口闭口都是税税税！！！我已疯癫！！！！
username,date,text
yow_meng5727,20171219,"诸多“隐藏税”压榨人民，拉菲兹轰政府卸责！！！公正党副主席拉菲兹抨击政府近期征收穆斯林出国朝圣费用、机场税等，俨然是向人民征收“隐藏税”，将相关服务的费用转嫁于人民，而逃避政府提供服务的责任。纳吉时代，征税年代！！！纳先生果然是我国经济鬼才！！！开口闭口都是税税税！！！我已疯癫！！！！I 服 U ！！！政府乱花钱，就要人民买单缴交更多的税！！！大选就要到了，人民才是老大，人民可以用手上的一票来教训政府的！！！！！！必须教训政府一次，才会让政府做得更好！！！！！！！要不然，政府的1000年皇帝梦，也不会醒！！！！"
hellmales,20171219,"如果不努力的抽多一点人民的税，怎么够去填饱朋党的口袋，满足河马去旅行买钻石名牌包包，还有饲养中立来这里帮它pusing？这些都是一大笔的花费。"
忘忘,20171219,"鬼才说不上~吸血鬼还差不多~"
Akira_sendoh,20171219,"没吸血如何供养一些无耻低级枪手为他歌功颂德？"
Kombat1977,20171219,"只懂利用这种方法筹备开销的管理方式怎么能管理好一家公司或一个国家？不会节流而只会挥霍的父母绝对不是好家长！"
cct2050,20171219,"私有化掏空国库，榨干人民"
使用者,20171219,"不然他拿來那麽多的黑錢。。。"
雷克斯R,20171219,"利用政治地位向你們挖錢啊 私有化掏空国库，榨干人民"
latte3948,20171219,"我目前缴的税计有：所得税、消费税、门牌税、地税和路税。应该没遗漏吧。以上五项最具争议性的是消费税，但消费税是世界很多你羡慕的先进国都有实施的税务政策，而且比我们的6%为高，实施年份久远，难道他们也错了吗？有消费就有征税，个人认为十分合理。这样可以让那些华人平时不怎么放在眼里的友族也一起征税。不公平吗？至于朝圣和机场税。请问你有朝圣吗？还是你时常出国？公事出国公司没津贴？"
monster.inc,20171219,"有BR1M幫助窮人沒什麼事。"
justebelmont,20171219,"最好明天立刻上昇至   20% ，国阵命不久。。。。"
loongken,20171219,"消息ー宣佈股市今天马上跌十多点可以看到市场对 BN 多么没有信心。雪州选区划分障碍已除‧国会料2月底解散- 新闻| 星洲网Sin Chew Dailywww.sinchew.com.my/node/171164123 小时前 - （八打灵再也18日讯）被喻为是“大选之父”的第14届全国大选日期已逼近，据星洲日报探悉，首相拿督斯里纳吉或会在2018年2月的最后一个星期，即华人农历新年进入尾声时解散国会；大选预料将在2018年3月至4月之间举行。 上诉庭今日宣判选举委员会可针对选区重划在雪兰莪州召开听证会，加强了大选趋近的脚步 .."
yow_meng5727,20171219,"我国人民已经活在水深火热中,人民可以用手上的一票来教训政府!!!!!!!!"
JacksonTake,20171219,"自己不想法子怪政府我是覺得教育才是問題,馬來人的kumpong思想導至了如今的局面."
JacksonTake,20171219,"如果你們會想,應該覺得我們交的所得稅是全世界最少的.我怪的是他們的教育把大多數人都變得不會思想的人.每天覺得政府可以憑空變錢的.如果馬來西亞没有石油,就靠你們的那一點稅,這個國家早就像非洲一樣了."
yow_meng5727,20171219,"现今我国政府的教育与思想,会把人民慢慢的变回石器时代!!!!!!!!!!!"
瘋流材子,20171219,"如果你会想，不如去数一数每年贪污买贵案消耗了多少国家财富？养一大群废物官员，该做不做，臃肿的官员消耗了多少国家财富？"
