Topic title: 旅游税弊大于利？  “落实后少了30万名游客！”
username,date,text
CARI_KJW,20171220,"公正党彭亨州青酟鵽年团团长黄骏延于玜啚星期三（20日）挑战旅游及文化部长纳兹里，公开涁啰我国栵涿在蟜幜饃实施旅游税后的儙铔鎳游客数据，指旅游税大蓏荩大嫜貵琅影响了祯燪蛔遧琡我始訽国睸僗励的游客人瘞謥数！自由今日大味証踖马引述黄骏延赒嚦的谈话指出，畵簶他漊酙是透过一弥鍼名内部絡傕人士掌握了躱绝相关数据，而数据显示，我挊袨国烁飢自从在馂沆醛今霒渪簛年9月落实旅游税后，前柔跺廴来莱垡嗲大马旅游媽儥的游客便鑤叙大幅度降低。“与9月相比，10月份背锶库的游客人榜偅数茶镯下降了纞诂蓲14%，少痄蚖了32万9千418名旅客。在当毅擠此之前，我徵惻肣曾经尝试向旅游部索取9月及10月的筂藘妀游客数据，但对儺憁嶸方却告诉鯮车我，他謸峥焺淎哧们不闧換能公开这繻歱畴些数据。也因为戃贒愗如検喼嘉此，檨稖我才会暗蜠透过内部管道来杁畟获取相关数据。”“我亝藿瀦希望纳兹里能够站出来閝弝馘回应，这晬窝个狺鳴硐数据究竟跏凝是真漸拭是假。”黄骏延强调，倘若来滗攥绉大愋酰炟马旅游的珿芙游客换礈人数潓癀大幅降低，将会裬稣膆眅麜霿对国惴圄内经济带来旃鋩影响。你也可以芡鎵睘看旅游税首辠係个月收入达60万 “贡献”最多冈以悸为槟州“外忟慾湿国旅客拒付10令吉旅游税” 酒店业者叫苦连天"
water2j,20171220,"数据只能参考.............看看2017年报告 有多少人破产 报穷，再找多少人去申请相关援助金"
water2j,20171220,"明天又是通货膨胀..............又要节约过年囖"
jellyfish_8,20171220,"10 月开始，谁会来大马的东海岸旅游？等着被大风大浪打啊？"
filenes,20171220,"大马徵收旅游税,游客也不是傻子,算盘也会拨一拨,减少是必然的."
BBJ,20171220,"说得好，说得棒，在这里中立水鱼说了算。"
split_fire,20171220,"应该拿year-to-year 比较。。。或者去年/前年同期的数据"
qazz1947,20171220,"应该是旅客去了槟城"
Carpenter,20171220,"就算在这个课题上公正党赢了，我不认为能影响到游离票，也不会得到共鸣"
SanShu,20171220,"哇塞! 不是开玩笑的，一个月的损失是千万起跳的! 因小失大!"
kmrddecade,20171220,"少了30万旅客会对国内经济带来影响？？？？！！！！呵呵，那是不是说多了30万旅客，大家的生活就可以大鱼大肉了？"
一燈大師,20171220,"不分星級酒店，一律 RM10，大家換去美元、歐元就知道多少了。遊客會為了多付兩三美歐元，不來旅遊？  有可能。呵呵呵。"
llh,20171220,"他爽了，他賺了"
tanxinrong,20171220,"游客少有很多因素。个人认为这么丁点的税不会是主因。"
eVilLance,20171220,"机票价格贵咯。穷的外国人想穷游亚洲，查我国机票价钱，吓到不敢来。"
jellyfish_8,20171221,"东尼的飞机几贵下的喔廉价服务，廉价飞机平常飞机的收费"
xiaom25,20171221,"淋话"
