Topic title: 不再二选一！EPF雇员缴纳率明年起恢复11%
username,date,text
CARI_KJW,20171221,"从明年扙葜1月开始，60岁丮祬以下洋禖及60岁以巨篘上荠盋会蜃笎员的滪拴陯雇员公积金（EPF）法定缴纳率，将分芑罱閱别恢复至11%及5.5%，雇主墛劢需羈墫在2月份开始，銲爳轛为雇员存入上伄稅述缴纳率。公积金局于冁犚星期四（21日）发文告指出，雇主帵皞应确保从雇员的镎埨瞺薪金珨媫莒中，扣除正确的巍鎭醦缴纳额，并以鰛衼禣新癣綃巒的缴纳率存入该局。首相拿督斯里纳吉早前宣布，从2016拍澎年3月起，雇员可选择将缴纳率减至8%或维持不溉帬变，而这篖胈值一杝敝措施将在舕那今年慌烋12月正式结束。"
Longan,20171221,"之前调低过缴纳率的低薪族,裤头要再绑紧一点"
filenes,20171221,"公积金缴纳多3%,未来养老金可领多一点."
seankaz,20171221,"真的很多余"
sm99999,20171221,"现在我每个月都存多几千块进去，比定期存款高利息，也不用每年去更新。"
stupid819,20171221," 所以说 番薯 就是番薯"
calvin_siang,20171221,"PATTERN多多"
猴年馬月,20171221,"朝令夕改  習慣就好   "
绝地榴莲,20171221,"大把人不相信EPF， 怕死存在里面的钱被人吃掉。但， 叫他们减少交3%， 又唔制。都不知道想干嘛。 apa lagi mau ?"
ss24,20171221,"不要太过依靠EPF比较好。"
weiwei318,20171221,"其实我还想15%"
12A123,20171221,"应该把gst废了，加5%到公积金"
monster.inc,20171222,"阿吉又可以拿大家的錢去投資美國。"
elvinday,20171222,"那之前的8%意义在哪里？！"
elvinday,20171222,"如果到时国家还有钱的话，不然你就只看得到数字"
NICK1343,20171222,"所以今年的项目多一项是白做的，多块鱼"
snowberries,20171222,"政策 换来换去，都给不到人信心"
kennyteoh818,20171222,"如果政府做好。epf 真的是好东西。"
camel1213,20171222,"好事来的。。。"
雷克斯R,20171222,"朝令夕改, 很好的政府 "
一燈大師,20171222,"你不怕火箭粉說你笨，epf 的錢已經被 BN 用完了，要收 GST 去填麼。"
一燈大師,20171222,"是 9%。是培養你們 fing 錢的嗜好。現在每年國民都大 fing 5000億消費，政府有 300億 GST 收，夠了，讓大家儲蓄一下。"
filenes,20171222,"是囉~怕怕地."
KL82,20171224,"我每个月都缴20%,这样比较快存到钱。"
elvinday,20171226,"老大，你确定是9%？http://www.kwsp.gov.my/portal/en/employers/employers-responsibility/contribution/contribution-rate  "
elvinday,20171226,"我都不敢想以后还有没有退休金拿"
一燈大師,20171226,"抱歉，我記住了更早一期的 EPF 繳納率。"
elvinday,20171226," 难怪跟我知道的有点不同"
