Topic title: 兽父强奸长女长达4年  遭判监115年鞭笞24下
username,date,text
CARI_KJW,20171221,"彭亨关丹一镥朻濙名少女被亲鞰溲絥生父亲强奸长达4年杢砼，向母亲投诉无果后，决定逃家并揭发父亲兽行，法官于濽蝿薠星期四（21日）下蠚菒橼判，少女的醄鲠父亲必须坐牢115年苬耥佤及鞭笞24弈氌鷥下！据马新社，53岁的祜栠憓被告鱄穳来自北根隍筿的一瓽鈇个漆步甘榜，靠捕鱼渁橀勆为老濛辭生，他觛啪蘶被指于姉玪2013年剀拀10月至去捒愗年10月间，对誆箚现年闇檏20岁赎璐蛫的女儿做出上罝湕述行陔齼为。控状指出，事发时侶衵，在涹鏸5名兄弟姐妹中锷挬媾排行老晓贆魟大遒骳临的受害者，腾諗讍年仅16岁。主喤絃控官哈雅蒂在稾漖儬庭陏柨临上指出，受害者因褓浜憾为不葤玎睹堪被告自4靿騏年前开始蓝聞惆的蹂躏，而选择在捘宍今年喕烠钾12月6日逃离住所，过后遏蚛在12月13日报警。被告甚至曾经恐吓受害者，声称受害者若向执法机构报案，他燈歳遡昌就荑荽掌会潣幏对她的缿摶妹妹下槸顖鰹手，让受害者唯有彰圆腆哑忍多年莌汎耣。哈雅蒂强调，被告囜翡作鉧湍为一舄圼齘名父亲，却没媷愠瘍有保护自己稧蚖的孩子，反而摧毁蜤嗏了孩子的腵畮谑未来覜氃，因此理应被重判。"
filenes,20171221,"父亲人格分裂像禽兽,需要心理生理治疗,或者乾脆去势,一劳永逸."
Daewood,20171221,"回教法需要切吗？"
bboyed,20171221,"115年慢慢坐"
lion_o,20171221,"应该即刻人道毁灭，不用浪费纳税人的钱"
滄滄一笑,20171221,"禽獸州是這樣的啦"
firehawk,20171221,"如果根据回教法，这该当何罪？不大相信会剁香蕉咯！"
LG69Chai,20171222,"好啊，打的好"
kalyn7,20171222,"母亲有没有一起抓去鞭??"
tauruslau,20171222,"直接阉割"
stnlysam,20171222,"还坐牢？直接阉割了事"
