Topic title: 不让纳吉专美  马哈迪现身“拯救耶城”集会
username,date,text
CARI_KJW,20171222,"政府曝鞗于星期五（22日）在浯區布城布特拉清真寺举办“拯救耶路撒冷”集澰瀿会，表达支持巴勒斯坦输娐的立场，令人碿笅抦意想不貮閉菆呣锅到鼪瘠的擁搃薉是，就纍詣连土著团结党糬篦迆主席敦马哈迪也现身集会鳦帓岉！图片鐣揢来源：星报据星报，马哈迪是豤隯孈駝跃在今日眝窉中午12舰皷仦时30燭迭啩分左右突然出现运詰棹在布特拉清真寺，陪同马哈迪出席琨惄这场集会猘溚霧錊的，包括土团党青年梽隟蟆团团长赛沙迪。赛沙迪表示，瑤尔在现身集際鑂殹会买擩榠的1个衿臞小翃砽时前，马哈迪才突然作锑篬出了卙匭郈熲矓这项决定。“脒敆眭我们慭鹭頣都希砦昲对他獓鬋啅梺婠的决定感到哗轞鍈很惊讶，臦糷襘这麆簱是最后啒岮一拤峢歰分钟的琩獴鵋决定，虽然掤謸妡我黅秮们蹸徻来自土团党，和庑針政府具有赀攔煴政治上蔪琑菾猓的分皵襒蒰歧，但我棛朇倱们駚韙依然来泟掕到羾空塀鍦兴徕了集汒缙瘀会现场，以馗瞭骻行动虬觐支持巴勒斯坦。”至于軌宔首相拿督斯里纳吉，则是胡寂蹬螢聽在帍曝鵬下午2烌弤时30眉烤分左右抵达集会廫帼硔现场并发表演说，没抵坌有跟马哈迪“碰面”。Loading FB Video...你也可以橏銄笤看飩椴不理美囈涼礎国警告 囩受大马官员字婨毊在联合国筁萧厉会舜鈄虎议公然挺巴"
bcteh,20171222,"安華不能去"
loongken,20171222,"有没有和鸡相遇。"
Longan,20171222,"老江湖.这样国阵就不能诬赖希盟挺以色列了."
cct2050,20171222,"都是伊斯兰第一的一族人我看见舔马族在舔"
RingRingRing,20171222,"很强 中立们现在袜不到老马了"
robinsonz,20171222,"聪明的人"
Carpenter,20171222,"祈祷吧，除了这样，也不能做什么"
一燈大師,20171222,"真諷刺，中央政府還要派幾個保鏢護送馬哈迪打中央政府。"
Orochimaru,20171222,"老马还真的不是省油的灯，阿鸡精心准备了舞台个人show，万万没没想到老马会顺便来登台"
adelinewcm,20171222,"老狐狸。。。。。。。。。。"
filenes,20171222,"老马城府很深.不知其下一步."
Hishammudin,20171222,""
空中说话,20171222,"哈迪放飞机"
JowY,20171222,"呵呵，舔馬族 從 譴責挺巴變歌頌"
tauruslau,20171223,"败类…………"
kentpua,20171224,"两支狐狸应该碰面？"
nuo,20171224,"馬來西亞會的就剩禱告 一天5次不行就8次10次"
eldertitan,20171224,"最后部分我听到有人高喊 babi, 其他人回答 ya ala, babi ya ala babi ya ala"
AMOS5566,20171225,"今天是聖誕節，作為猶太教、基督教和伊斯蘭教三大宗教聖城的耶路撒冷，此時此刻的氣氛可說是與往年大不同，變得更加肅殺、緊張，甚至充斥暴戾，這種極為動盪不安的情勢全拜美國總統特朗普所賜。這位“狂人”於本月6日“突然”作出猶如在中東拋下一顆震撼彈般宣佈，美國承認其歸屬權至今仍受各國爭奪的耶路撒冷為以色列首都，並簽准把美國駐以色列大使館遷至耶路撒冷，隨即遭到世界絕大多數國家尤其是伊斯蘭國家包括大馬的強烈反對，從而引發全球穆斯林乃至各國人民掀起一波又一波反美反以的抗議怒潮，在過去幾星期持續延燒。儘管在表決之前，美國和特朗普悍然警告、恐嚇，甚至威脅切斷財援；並恫言削減對聯合國會費繳納額，但128個國家毫不畏縮，上週五堅持在聯合國大會的緊急會議上投票支持通過（另有9國反對和35國棄權）有關議案，敦促美國撤回它單方面改變耶路撒冷地位的決定。就在同一天，大馬按計劃舉行“聲援拯救耶路撒冷”大集會，當天有逾萬名各族民眾包括朝野及非政府組織代表，尤其是來自不同陣營的馬來政黨領袖，暫時擱下政治歧見，齊聚布城布特拉清真寺，同仇敵愾地聲討美國，展現穆斯林乃至大馬人民一如既往對巴勒斯坦的支持。在這之前，首相納吉於巫統全國代表大會落幕後不久，飛往土耳其的伊斯坦堡，出席共有57個成員國領導人參加的伊斯蘭大會組織（OIC）特別首腦會議，大會本月13日發表聲明宣佈承認東耶路撒冷為巴勒斯坦首都，並呼吁國際社會承認巴勒斯坦是獨立的國家。納吉在OIC特別會議上代表大馬政府和人民尤其是穆斯林發聲，表達堅決支持巴勒斯坦的正義鬥爭，並強化其個人和大馬在伊斯蘭世界和國際社會的形象後，續程相繼官訪巴林、斯里蘭卡和馬爾代夫，旨在推展大馬與這3個國家的友好關係，促進經貿、旅遊、教育和衛生等領域合作。際此來屆全國大選跫音漸近，布城當權者想必期待納吉的所謂外交成就“內銷”，再加上祭出“耶路撒冷牌”（這似乎與聲援被緬甸迫害的羅興亞人所抱持的真正動機同出一轍），而為國陣帶來有利的選票效應，尤其是有助於巫統通過提升它所自詡維護穆斯林權益的代表性與權威，進而穩住巫統基本盤，藉以反擊與它爭奪馬來票的伊斯蘭黨、人民公正黨、土著團結黨和國家誠信黨。哈迪沒再與納吉同台引臆測納吉這回以主角的身份高姿態出席“聲援拯救耶路撒冷”大集會，可被視為有意促使“耶路撒冷牌”所引發的選票效應，延續發酵至來屆全國大選。有跡象顯示，納吉準備繼去年12月與哈迪阿旺一齊亮相聲援羅興亞人之後，再次與這位伊黨主席在這項大集會同台，冀以行動向國人尤其是馬來社會傳達某種訊息，即巫統與伊黨可在關係到人民福祉，其實是穆斯林權益的課題達致共識，而進行某種程度的合作，但對於希望聯盟來說，布城當權者企圖利用伊黨分化反對黨陣營，寄望它在來屆大選攪局而讓巫統“坐收漁翁之利”。身為大集會另一主角的哈迪阿旺不知何故“臨時”缺席（據知當天他選擇在登嘉樓其馬江國會選區某清真寺布道），結果獨讓納吉及巫統驗收大集會所可能帶來的政治效應，但也引起臆測包括伊黨無意全盤按照巫統的既定政治議程辦事。無論如何，身為土團黨兼希盟榮譽主席的前首相敦馬哈迪當天出席這項大集會，意味反對黨陣營尤其是希盟的馬來成員黨，不會讓布城當權者獨享“耶路撒冷牌”所引發的選票效應。（文/劉漢良**光明日報）"
Daewood,20171225,"支持恐怖主意？"
papasuka,20171225,"其实我不能理解的事，我们大马人民的生活都很辛苦了，那些政客还有心情去干涉人家国家的内政。倒不如把你们的人力物力集中在发展国家。减轻人民的生活压力。你们真是吃饱饭太有空了。"
空中说话,20171225,"你有所不知，他们的目的是要团结回教徒。然后大选时捞回教票。这样又再能过关了。"
prodigys,20171226,"几时拍的.甚末集会."
blurdreamer,20171226,"声援条毛。真正的马来人（非mat rempit废材流氓之流）真的关心在地球另一端的事情？"
