Topic title: 男子无力偿还毒品债  竟让17岁女友当性奴“抵债”！
username,date,text
CARI_KJW,20171222,"吉打亚罗士打恨峤嶌一名男子因无力偿还毒品债，竟眼睁睁看着年垽唾仅17岁粪猯的女友被毒贩掳走充当性奴，让女友为齰攎他秷犞“抵债”！据星报，吉打州刑事调查组接酺主任米奥釶綨是于蜃骹星期五（22日）证实了酤艊蘞课眾这起案件，指警方裙藤炂是匴騅在一扷外挿场突击行动鄑瘔熩嚮中，发现了壩鄹被囚禁諥舦在屋内的涡釒觚少女。米奥表示，掳走少女淔葟黀的毒贩头目大圳痣约50多岁，因犯下蠓眯矢33宗刑事罪而被警方通缉，包括非法持帧簳僱有危险武器、抢劫、贩毒麳贛滗以及恐吓他砑睖人哀僗匩等。“根据初步调查，少女已经被囚禁至少聰蝘一星期，期间多次遭主舦墄嫌犯及其他脈嬔5名男子强奸，而直到厸兖男友还清款项之前，她哪里都不騗蔘能去。我腾轺们刢漁范癄鏋馾会传召少女葇痢鸲的男友问话，相信他伉脾完全清楚女友被掳眾蚱的过程，且鼔塇巏有意隐瞒此事。”目前，警方已延扣7嫿瀟縢人赔眵以协助调查，正援引刑事法典376（强奸）及342（非法禁锢）条文调查此案。"
Carpenter,20171222,"轮奸犯和男友都必须阉"
滄滄一笑,20171222,"可以用自己的屁股還債的，只是馬國人犯賤立法不能插菊花。父親同意沒有錯的。父債子還天經地義，要怪就怪妖怪律法。父親是個守法的好公民。"
滄滄一笑,20171222,"看錯以為是父親，樓上言論只適合另類案件。"
kelly0201,20171222,"人间悲歌！能看到的就是知道自己有多么的幸运。"
RingRingRing,20171222,"这种一定是马残"
Nexon,20171222,"那些贩毒和吸毒的 都该直接给他死刑 。。。"
wrm95,20171222,"毒品害人害己"
filenes,20171222,"高利贷就是毒品,没有侥幸,绝对碰不得."
miloicekawkaw,20171222,"干嘛没有控告毒品罪 ??"
友仔,20171222,"直接找另外一群人干掉这些有手有脚的烂种。。。"
友仔,20171222,"JP就最多这种案件。。。真是生垃圾。。。"
Jason929,20171222,"又是那些落後的馬產州..."
SanShu,20171222,"男的欠毒品债，关小女友什么事!？"
samilabeach,20171222,"真的什么事都有 这男的竟然做得出这样的事"
友仔,20171223,"华裔大耳窿的作风来的，逼人卖淫都是这些→_→有手有脚的黑帮干的。。。乞丐都是坐着收钱的。。。"
Daewood,20171223,"有时毒品"
Coffee-w/o-Mate,20171223,"娶了她，什么事都没了。"
SanShu,20171223,"这群真是败类!!!"
魔界小雨点,20171223,"哇 女友罢了 需要这么大的牺牲嘛？"
kennyteoh818,20171223,"直接死刑吧。90%出来还是一样。"
Justcloud,20171223,"竟然在我的home town。。omg"
他旺,20171223,"是什么民族？报道为什么没说清楚？"
友仔,20171223,"这种人给人射死，没有人会可怜他…大马新村乞丐来的。。。"
友仔,20171223,"我猜是华人干的。。。读不到书读屎书那种人干的…那些怪胎猪胎干的。。。"
友仔,20171223,"畜生怪胎猪胎"有手有脚"…是没有分什么民族的，什么民族都有这种人。。。https://youtu.be/k83zJRjzNpEhttps://youtu.be/qKiEDAMYfpQ"
友仔,20171223,"垃圾种来的。。。"
无名好留,20171223,"犯人是50+巫裔，受害者就不懂了"
友仔,20171223,"都是那些畜生怪胎新村有手有脚大耳窿…欠钱后就逼人卖淫吸毒…我都很不爽这种人。。。https://youtu.be/k83zJRjzNpEhttps://youtu.be/qKiEDAMYfpQ"
友仔,20171223,"28#楼有视频，败类通常都是(大耳窿，私会党，贩卖毒品，赌博，老千骗钱等)。。。"
友仔,20171223,"都是怪它没有写清楚什么民族，很难猜的…我就说是华裔大耳窿+垃圾"无9用的人"。。"
友仔,20171223,"我都不知道这些毒品有什么(值钱)。。。这些毒贩抓到要死刑。。。"
他旺,20171223,"也猜测是那种受教育程度低的kampung华人，没有一点自尊。"
友仔,20171223,"就很像早期那条(古来kampung豆腐佬徦拿督)这种人。。。"
他旺,20171223,"通常只有人渣才会加入私会党。正常人是不会加入的。"
友仔,20171223,"又很像"尿顺屎"拿22万来做善事…(交易交换)，想掉罪…这种人做到依臭→_→，是不正常的。。。"
doremon94,20171226,"趁他睡着，剪掉它！！！"
albert_pcl,20171227,"这种人不死都没用  "
