Topic title: 重点是改变 （change) 不是转换 （switch)！
username,date,text
carinoobs,20171222,"什么是改变？就是从本质上整顿整个已经腐败的机关系统，一个用前面的执政者所建立的贪污腐败的公家机关机器，法院，警察，选委会和财政部等都被掌控在一个人手里。这些的杰作谁造成的？一个在位了22年的老不死。好不容易盼到老畜生下台了，以为整个国家开始看到希望，摆脱贪污国，警察国的污名，将整个国家导回正途。换个人 （switch) 就可以改变已经老树盘根的贪污揽权文化？来不及了，由上至下都被教育的很好，贪污文化可以自给自足了。老伯拉当初跨下海口要励精图治，最后也被党内拉下马。当初老伯拉号称有名的睡神，什么都没做也做不了，民间舆论要他下来，要求换人为高油价负责。党内发出要他下台，喊的最大声那个拉他下马就是那个跑去希联当主席那位，捧那只鸡上位也是那畜生。以为换了就怎样比伯拉好，结果呢？转换 （switch)是救不了这个国家的，唯有改变才能浴火重生一次。将被老畜生修改了6百多次的宪法个会归成没有太多种族或宗教为依归的政策。今天你跟我说由老畜生带领的联盟可以改变 （CHANGE) 救这个国家，由国会议席三十多席，连副首相提都不敢提的卖华2。0来监督或制衡。由其他两个不反对355法案的成员来一同治国。你跟我说这个是改变，是你天真还是我天真。我能笑笑的问一句，你要选CURRY味的大便还是大便味的CURRY?"
假冒是神50,20171222,"将被老畜生修改了6百多次的宪法个会归成没有太多种族或宗教为依归的政策???真有那么多次么？它马的嗯"
carinoobs,20171222,"http://suaramjb1.blogspot.my/201 ... -and-religious.html有空看看。"
cyberjaye,20171222,"中立吃的是大便味带E Coli的捞塞超臭大便，投国阵等于继续吃。红豆吃的是kari味的kari，但kari粉过期。两烂选一烂，只有中立会选前者。"
假冒是神50,20171222,"好厉害能全方位的提供这些资料的没几个做得到可是六百多次是如何得出的数据?"
carinoobs,20171222,"美国历经建国200多年，修改了27次 （2013年）http://www.duwanjuan.cn/mei_guo_ ... _gai_le_duo_shao_ci大马共组60年，修了700多次http://www.sinchew.com.my/node/1231104牛逼吗，整形整到妈妈都不认的。"
carinoobs,20171222,"SORRY,我忘了哪里看到的。期待其他人提供，如果有误，我会更正。"
carinoobs,20171222,"我明白了。对了，你要选CURRY味的大便还是大便味的CURRY?"
假冒是神50,20171222,"UNCLE希望这个六百多次是真的嗯"
ss24,20171222,"只有switch了，才有改变的希望。单纯想改变，说说你看法如何改变。"
carinoobs,20171222,"换个屁股而已，而且还是换回老屁股，如何改变？伯拉没有给人希望过？结果呢？又是首相又是财政部长，左手开新PROJECT右手出钱。这样的系统，圣人都变人渣。"
Akira_sendoh,20171222,"修宪的幕后黑手党是谁？你以为老mamak一个人可以修宪？谁投赞成票的出来，卖华有没有？梧桐有没有？国大党有没有？蚊子冥镇有没有？火箭什么都反的，所以没有嫌疑"
假冒是神50,20171222,"男人SWITCH去女人就能生孩子了你是不是变性人?呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵要生孩子就找一个真的男人和一个真的女人吧"
carinoobs,20171222,"去了解一下老马当政的时代时，谁敢出声？现在有人对老马出声吗？你的行动党吗？茅草行动？外汇亏损？还有很多很多，族繁不及辈载。如果我找出一个行动党也不曾反对的修宪议案，你要怎样？"
Ragnarok026,20171222,"真要邏輯帶入的話，國陣是咖喱味的大便，嗅起來很香很吸引人，但是內在是有害人體的希盟是大便味的咖喱，吃下肚子肯定比吃大便要健康太多，但是就是外在一直散發著糞味連連，要怎麼吸引沒吃過的人來吃？希盟一直以來最需要的就是把自己的大便味去除，然而現在的希盟包括他們的支持者們，我們只看到他們吸引新顧客的方式是【愛吃吃，不吃滾，你吃大便你自賤】的宣傳語生意會好才怪！"
carinoobs,20171222,"哪里有去大便味的决心，甚至还找来22年没洗手的MAMAK当主橱。讲别人是大便，却不想想自己的咖喱为何有大便味。"
Akira_sendoh,20171222,"就是谁都不出声，才有今天的局面，贪污腐败滥权当时卖华冥症为保官位每个不敢出声，如果当初有勇气退出国阵，老马还会顾及一些，卖华有吗？梧桐就不提啦，个个哈巴狗放心，反对党执政的话没有对付老马，华人票还是会流的，主要是国阵烂得没得再烂了switch是必要的"
cyberjaye,20171222,""
carinoobs,20171222,"SWITCH 有用的话，前面那么多例子早成功了。还没执政都已经不敢出声，你跟我说以后会出声，是跟老畜生一起做畜生是吧？"
假冒是神50,20171222,"请投淋吉祥一票请投淋冠英一票我们不UBAH鸟我们SWITCH鸟哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
Akira_sendoh,20171222,"执政了再说，反正还没有switch的例子你说的都是假设性。你自己不敢尝试，在那边自己吓自己"
carinoobs,20171222,""
Akira_sendoh,20171222,"跟冥正没有关系吧，zero seat坐一边凉快去。这里没有lubang / 饼碎给神经病来拿"
假冒是神50,20171222,""
carinoobs,20171222,"有啊，有个做了22年的老马SWITCH了新经济政策之父。现在这个贪污之父要带领大家SWITCH这个GST之父，回复旧税制和成立新普腾，你叫这个是新希望？"
假冒是神50,20171222,"跟UNCLE有关系呀UNCLE是PENANG LANG是有PENANG才有今天的UNCLE呀嗯"
Akira_sendoh,20171222,"你认为它有能力?大选是靠成绩说话的，如果他那个猪油丁的烂裆一无所获，谁会听他的现在只不过需要老马在乡间的影响力罢了，不要说到首相让他做酱，你肯菊花佬都未必肯"
假冒是神50,20171222,"是LKSLGE教你这么说的?还是你自己这么这么说的?呵呵呵"
Akira_sendoh,20171222,"那就要感恩啊，地税门牌税记得准时交啊penang lang都很爱戴林神啊，要效仿知道吗？不要乱丢垃圾啊， 狗要绑好啊，你跟狗都要准时打针啊不过这里没有你的事了，可以离开"
Akira_sendoh,20171222,"不需要转移焦点，虽然你是OKU理性思考的结果都是酱，老马的唯一利用价值只是乡间的影响力。好过：UMNGOK: 行动党要成立基督教国 / 共产主义MCAI: 行动党要成立回教国"
一燈大師,20171222,"投廢票或不去投票，兩樣都不吃最好。"
假冒是神50,20171222,"UNCLE不LUT PENANG LANGUNCLE 当面LUT 过林苍佑不只一次你现在在LUT UNCLE么？哗哈哈哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈LKSLGE教你的?还是你自己LUT的?"
carinoobs,20171222,"没看到倾向喜联的民意调查报告，乡区马来人支持喜联的百份比是最低的。另外舔老马引发的“毒瘤”潮也不小哦，马来海啸没看到，又流失一些讨厌老马的票，请告诉你是怎样乐观看这事的？"
Akira_sendoh,20171222,"所以林苍佑给你lut瓜了？ 罪过啊，罪过啊"
