Topic title: 要求4岁及6岁表弟为自己口交  13岁少年到警局自首
username,date,text
CARI_KJW,20171226,"雪州加影日前发誾堞凵生戣桽一起乱伦案，一眭颸婘名13岁少昰串年竟强迫两名分鎚債鄱别只郖药荊有4岁及6岁儬蟲綞的小表弟，紜腤为自己口交！据星报，加影警区綯蟫璣主任扎菲尔助理总监是慥箂骇于狡昕星期二（26日）证实汼摺產了这舱新起案件，并指两名年橉訋幼的煞鉚殪受害者傭饞聯为两兄弟，莯閡倉分别只夬燻梸有4岁及6岁。扎菲尔指出，受害者的埯拙父亲（35岁）是大燲于顛筈撕唎衘找上周五（22日）向警方鞀稰棱作出投报，指两兄弟缚裾在本月12日遭13岁縖襜的表哥强迫发穲斢阒生性行为譎圝。“少年陈犗一绣垝貓开始是蓘菇强迫两名小表弟蔍實为自己口交，之后又替两名小表弟进行口交。”扎菲尔说，受害者的礎簻父亲原本灚盱是委托少年錥硜畔的埭蘱螉母亲替弉枑他照看两名年瘫巃睠幼的鲭薁孩子，岂料却垜膍傤是“送羊入虎口”，令两名年柄椑幼的佲沥孩子遭亲表哥性侵。据了釣伽鮓解，涉案厔寿的13岁少瘎墘年将在礀髻豎父母燵奍的陪同下傤苶驈，于僻兏灅今日前往警局自首。"
lumixcer,20171226,"阉掉他的JJ就对了。。"
啤屎掟,20171226,"唉…想当年小一小二的时候表哥也是跟我说那边很痛。叫我帮他把脓吸出来，我还真的相信他表情很痛苦..."
SanShu,20171226,"我的天!"
VINCENT@YONG,20171226,"13岁……会………硬吗"
Carpenter,20171226,"结果你表哥的脓有被吸出来吗？他被什么蛇虫鼠蚁咬了？肯定很严重，建议你在伤口上灌烫水或硫磺，昆虫就必死无疑了"
VINCENT@YONG,20171226,"终于见到神评论了！！"
Carpenter,20171226,"如果13岁表哥不是非土族，希望他不会送去宗教司那里辅导，因为长大后会变本加厉。"
水沉万山,20171226,"肯定会，尤其是早上。"
ck0403my,20171226,"所以你就被骗了，真的把脓吸出来？"
filenes,20171226,"早熟的不像话,需要心理咨商."
啤屎掟,20171226,"有...所以告诫所有父母，孩子最好还是自己顾。那怕是自己的姐妹，也是有危险的时候。"
go123,20171226,"性变。。13岁。。。"
lion_o,20171226,"不用说都知道是马残干的"
pluviophile,20171227,"现在的小孩真的越来越早熟，真恶心啊~这种。。。父母也有一定责任！那些小表弟童年阴影伤害 @@13 岁也应该没什么裁判吧？肯定不了了事~"
jash_candy,20171227,"那么有前途"
kennyteoh818,20171227,"日本SOD需要你"
绝地榴莲,20171227,"病了。"
NoLeaver,20171227,"十三岁就有恋童倾向，应该要看医生了"
Daewood,20171227,"老豆喝了tongkat ali,没收好？"
AMOS5566,20171227,"應（硬）了小時了了，大未必佳。"
monster.inc,20171227,"下一次就玩菊花了。"
yw98,20171227,"同性倾向？"
