Topic title: 大选在即，对林冠英不满的槟州人准备好了吗？
username,date,text
阿镖叔,20171231,"除了几个小丑，过气人物，好像没有看到有分量，有威望的人站出来，靠论坛里的嗯嗯嗯嗯之流，几时才能推翻林冠英？"
一条粉肠,20171231,"垂死挣扎力挽狂澜的中立喽啰们，有待加油。"
元旦8466,20171231,"马袖强要过海了！"
阿镖叔,20171231,"他敢来的话至少比废料勇敢，勇应该给他掌声鼓励！"
元旦8466,20171231,"马强不出！谁与争锋？"
一条粉肠,20171231,"只怕是乘兴而来，铩羽而归。"
元旦8466,20171231,"粉肠还是先答了俺的问题：还有谁！！！"
阿镖叔,20171231,"至少精神可嘉，比废料党勇敢！"
假冒是神50,20171231,"别自以为是PENANG LANG不玩推翻PENANG LANG是送TOKONG LIM GUAN ENG进去蹲ONLY嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
一条粉肠,20171231,"明知道是当炮灰的，我真的不知道还有谁会酱勇。"
阿镖叔,20171231,"那个PINANG LANG 有权判罪抓人？嗯嗯嗯嗯？白痴说痴话，嗯嗯嗯嗯！"
假冒是神50,20171231,"意思是说这一次TOKONG LIM GUAN ENG还是放那一句他505的老话'有本事你去叫PENANG LANG不要选我咯'是不是呀？呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵"
假冒是神50,20171231,"你不必CHALLENGE PENANG LANG你有时间就多陪点你的TOKONG LIM GUAN ENG吧他现在最须要你们这些托大脚婆烂巴的在他身边帮他压惊的啦呵呵呵呵呵呵呵呵呵呵呵呵"
一条粉肠,20171231,"这一届大选林神如果没有被屈去坐牢，谁与争锋？林神绝对是老神在在。"
假冒是神50,20171231,"不必屈是他自投罗网PENANG有那么多PROJECTS他就吃那么多每一单他都有吃随随便便就有一单在等着他进去蹲嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
一条粉肠,20171231,"当然，你的鸡哥全部的贪污都是被人屈的，其他的就理所当然是证据确凿的。"
假冒是神50,20171231,"等你们告1MDB等了多少年?名字都有齐了不是么？结果得个吉呵呵呵呵呵呵呵呵呵呵呵呵"
一条粉肠,20171231,"不是不报只是时辰未到，时辰一到肯定排队报到。"
假冒是神50,20171231,"是么?你们只是FOCUS报那只鸡1MDB倒案捉了人你们未必高兴对不?嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯"
us2009,20171231,"佩服楼上的 一直和个连话都说不清楚的人聊辛苦你们了"
us2009,20171231,"连话都说不清楚的 哪可能拉得下小林不过是个在家自海的人还一直自我代表檳州人 最恶心就是这个"
Weida,20171231,"大选将近全国选民共同起义倒烂旗党的决心已经作好准备，现在等待那条KD宣佈解散国会！"
pupuman,20171231,"那个马华枪手有精神病的，你知道啦，便宜很多!"
假冒是神50,20171231,"28楼记得提早去找工啦UNCLE们这种正派的唐人企业是不会请28楼的去马哈迪的公司碰碰运气吧哗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"
阿镖叔,20171231,"你这条番薯代表PINANG LANG?你是那个部门？反贪局?警局？法院？污桶人砌生猪肉被PINANG LANG 吐口水就有污桶的爪牙聪明的不出声，只有一条蠢材在呱呱叫！"
