username,date,text
杨国仁医师,2016-2-29 05:45 PM,"也是馬哈迪繼2008年后，第二度退出巫統。

馬哈迪今天下午是在布城的首要領導基金會召開記者會，宣布退黨消息，為巫統投下一枚震撼彈。

巫統已失去原來的創黨精神和鬥爭目標，他對現任的巫統感到極度失望。"
打电话给你,2016-2-29 09:41 PM,。。。。。。。。。。
melodyc,2016-2-29 10:01 PM,无言呀。。。。。。
JackKoh,2016-2-29 10:05 PM,老马，你沒有新招出了吗？
杨国仁医师,2016-3-1 09:47 AM,"打电话给你 发表于 2016-2-29 09:41 PM 
。。。。。。。。。。
这。。。。。。是代表？？？？"
檸檬茶,2016-3-1 10:18 AM,就是怎樣
杨国仁医师,2016-3-1 11:01 AM,"JackKoh 发表于 2016-2-29 10:05 PM 
老马，你沒有新招出了吗？
这是第一集。。。更精彩请注意下集。。。"
JackKoh,2016-3-1 12:04 PM,"杨国仁医师 发表于 2016-3-1 11:01 AM 
这是第一集。。。更精彩请注意下集。。。
让他们自咬尾巴吧，
我们也不能做什么。。。"
杨国仁医师,2016-3-1 01:10 PM,"JackKoh 发表于 2016-3-1 12:04 PM 
让他们自咬尾巴吧，
我们也不能做什么。。。
对，虽然我们不能做什么？但是他们越乱，对华人才有点好处"
james_slm,2016-3-3 04:12 AM,是不是想加如火箭？
SillyShiun,2016-3-3 05:34 PM,马哥嘴上说说而已吧 哪里会出
