username,date,text
论坛咨询,2016-3-3 12:10 PM,"2016-3-3 12:09 PM 上传
下载附件 (33.89 KB)






前副首相慕尤丁揭露，他有證據顯示，首相納吉涉及一馬發展公司弊案和和SRC案。





2016-3-3 12:11 PM 上传
下载附件 (47.23 KB)






“但還沒帶入法庭，我不能揭露。”

慕尤丁今天在記者會上，出示馬來西亞局內人報導，並點到為止的說“有證據顯示納吉涉及一馬公司弊案和SRC案。

他也說，和前總檢察長阿都干尼討論案情，只是履行他的本分，並非推翻首相的陰謀。

“總檢察長要不要採取提控行動，是他來提控，不是我。”

“對未來，我一點都不害怕，我會繼續更勇於發聲。”

慕尤丁也证实，會參與“327倒納吉集會”。

詢及若繼續待在巫統，只會等到被開除，他說，那就等著瞧吧！

他也說，目前談論是否會競逐巫統主席，還言之過早。

詢及慕尤丁還和納吉是朋友嗎，全場哄堂，慕尤丁表情尷尬，笑而不答。


新闻转载自：《中国报》
原文链接：http://www.chinapress.com.my/?p=598948"
SilverGold,2016-3-3 12:21 PM,"通常兄弟跟姐妹反目起来都是玩很大的。
那么大声说出来 很容易被盯上的"
杨国仁医师,2016-3-3 03:02 PM,口讲没有用~用行动来证明
ll基拉ll,2016-3-3 03:55 PM,"其实要倒NJ很容易,只要连手就行,这个时候缺马,"
loveryice,2016-3-3 05:58 PM,能不能安排一个团体保护阿慕阿？感觉他快死于非命了。
JackKoh,2016-3-3 06:45 PM,"法官与贪污会都是他的人，
有证据也沒有用，
马来西亚是沒有法律的！"
夜王神夜,2016-3-3 08:10 PM,自从他下台之后就讲了很多，可是做成的事情却没有一样
Soo_135,2016-3-3 10:51 PM,一直讲一直讲，博版面洗白自己，却什么都拿不出 鸡一倒，就成功洗白变英雄。 如果真有料在手，早就被人买单了。
cute2009,2016-3-4 11:43 AM,"loveryice 发表于 2016-3-3 05:58 PM 
能不能安排一个团体保护阿慕阿？感觉他快死于非命了。
我也那么认为嘢"
loveryice,2016-3-4 01:17 PM,"夜王神夜 发表于 2016-3-3 08:10 PM 
自从他下台之后就讲了很多，可是做成的事情却没有一样
坦白说他下台后，我才知道这世上原来有这个人的存在"
夜王神夜,2016-3-4 01:51 PM,"loveryice 发表于 2016-3-4 01:17 PM 
坦白说他下台后，我才知道这世上原来有这个人的存在
我也是看了这个贴之后才知道有这个人的"
noobpotm,2016-3-15 07:06 PM,如果是别人早就被。。
