Topic title: Another Pakatan Harapan Shadow Cabinet,"Topic posted on: 09 Jan 2017, 13:35:00",Topic link: https://forum.lowyat.net/topic/4170479,"Topic scraped on: 02 Aug 2017, 03:32:43",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170109,New Member,Group: Newbie,Posts: 0,201208,,https://www.facebook.com/photo.php?fbid=101...&type=3&theater
Baconateer,20170109,Meh..... (TM),Group: Senior Member,"Posts: 2,023",201306,From: Blue Planet,so if Oppo won..this is how it gonna be...interesting..
soowky,20170109,New Member,Group: Junior Member,Posts: 10,200907,From: /kay/,mohyiddin PM? how about no
joe_star,20170109,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,Lel siapa yg minum ketum & photoshop benda bi?
[Ancient]-XinG-,20170109,20k VIP club,Group: Senior Member,"Posts: 2,506",201201,,As long as they are tally to what their expert in I am ok. Ni kalao like maslan but become menterii I cannot brain.
guybrush,20170109,Getting Started,Group: Junior Member,Posts: 182,200609,,"No need so many ppl in the cabinet la, what for so many ministers in the Prime Minister office, please slim down and reduce the headcount."
joe_star,20170109,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,"Lel no ethnic tamils in the shadow cabinet, confirm mic will milk it kawkaw if this is true"
joe_star,20170109,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,Mydin paving the way for mamak jr
Baconateer,20170109,Meh..... (TM),Group: Senior Member,"Posts: 2,023",201306,From: Blue Planet,we dont need to be handing out position just so we can satisfy all msians...we elect whoever we deem suitable for the job..
gonzalo20,20170109,Enthusiast,Group: Senior Member,Posts: 792,201108,,rafizi no go to jail?
joe_star,20170109,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,With regard to general voting pattern you are wrong. Malaysians still vote based on racial lines.
St0rmFury,20170109,Getting Started,Group: Super Senior,Posts: 175,200705,From: KL,"Ok la, compared to 9 ministers in Jibby's department now."
Baconateer,20170109,Meh..... (TM),Group: Senior Member,"Posts: 2,023",201306,From: Blue Planet,the sad truth..
Noyoudontcare,20170109,Getting Started,Group: Junior Member,Posts: 155,200807,,Tian chua for transport?  Does kampung approve?
silent_stalker,20170109,Enthusiast,Group: Senior Member,Posts: 820,201204,,This is shadow cabinet la. Means each individual in that shadow cabinet will be in charge of foreseeing the works of the individual in the gov cabinet. It does not mean this will be the lineup when they takeover
Baconateer,20170109,Meh..... (TM),Group: Senior Member,"Posts: 2,023",201306,From: Blue Planet,well...it could also be the lineup..there's a possibility..no?
Binaryteo,20170109,New Member,Group: Junior Member,Posts: 29,201203,,"I spotted 4 Doctorate holders, I think one of the four Dr should be PM. Muhyiddin is great to stand up against Najib but don't think he is competent though and he has too much UMNO blood in him."
joe_mamak,20170109,Casual,Group: Junior Member,Posts: 333,200612,,This line up formulated by Pakatan Harapan or others?
stevenryl86,20170109,Regular,Group: Senior Member,"Posts: 1,272",200802,,Tak kisah cos it will never happen!Hidup BN!
badumtssss,20170109,New Member,Group: Junior Member,Posts: 5,201612,,ANUAR MANA?
dangerminimouse,20170109,Getting Started,Group: Junior Member,Posts: 95,201609,,"Eh bodo, any joker can print that thing and say it is pakatan announce shadow cabinet. If u want to post quality threads, put quotes by pakatan to recognize this poster.How can LGE be the minister when he is going to jail for the case."
Yamma,20170109,Enthusiast,Group: Senior Member,Posts: 710,201206,,I think by azmin's camp.or by someone who hate to see azmin too closed with Tun M.
joe_mamak,20170109,Casual,Group: Junior Member,Posts: 333,200612,,The one with LKS as DPM should be by others.
neoexcaliber,20170109,Getting Started,Group: Junior Member,Posts: 67,200501,,"Why do they even need 2 positions?   If this is legit and through some miracle they win, that means Azmin would be State MP, Parliamentary MP and hold 2 Ministerial positions?"
raul88,20170109,??Madridista ??,Group: Senior Member,"Posts: 2,047",200807,From: ?????,fotocop
Timemuffin,20170109,Getting Started,Group: Junior Member,Posts: 84,201107,,seriouslyits 2017do we really need a wimmenz ministrykinda regressive
shadow_walker,20170109,Regular,Group: Senior Member,"Posts: 1,022",201209,,most probably the state post will be given to other pakatan (other keadilan candidate lar)..for now they need someone of his stature in the state adun
forever1979,20170109,Regular,Group: Senior Member,"Posts: 1,644",201307,,"same shit like BN dont need so many ministerslimit to 20 is good for uswhy follow the BN way, will lead us to destroy"
Arata,20170109,New Member,Group: Newbie,Posts: 1,201607,,Rara for pm
fantasy1989,20170109,Microsoft LUMIA,Group: Senior Member,"Posts: 3,847",200805,,kesian kena hijack
Yamma,20170109,Enthusiast,Group: Senior Member,Posts: 710,201206,,"more towards family wise. We need that, especially when our society especially youth are losing direction.same shit like BN, need to please so many parties."
Strike,20170109,New Member,Group: Junior Member,Posts: 34,200301,From: KL,dis is not gunna happen  gaduh first
jishu,20170109,Getting Started,Group: Junior Member,Posts: 77,201604,,Lol mat sabu menteri pertanian
herojack41,20170109,Master Of Trouble Maker,Group: Senior Member,"Posts: 5,404",200711,From: A Place Where God And Master Of TroubleMaker Exist,even macai know they going to lose in coming GElulzzzz
slimey,20170109,,Group: Senior Member,"Posts: 4,874",200704,,Ts bodo
duckhole,20170109,Casual,Group: Junior Member,Posts: 339,200603,,LKS mana?
99FoxDemon,20170109,New Member,Group: Junior Member,Posts: 19,200603,From: East Coast of Cuba.,Lel... azmin tpm? Top kek..
happyking4ever,20170109,Getting Started,Group: Junior Member,Posts: 192,201502,,i thought upper right is one
joe_star,20170109,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,"Thats karpal singhs son, not ethnic tamil"
