Topic title: PM Najib   Tun Pehin Taib Mahmud Di,"Topic posted on: 12 Jan 2017, 12:34:00",Topic link: https://forum.lowyat.net/topic/4173013,"Topic scraped on: 02 Aug 2017, 03:32:15",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170112,New Member,Group: Newbie,Posts: 0,201208,,
lauyah,20170112,ViSiToR,Group: Senior Member,Posts: 796,200301,From: Equine Park,boasting who had the biggest donation?
haroldz123,20170112,Enthusiast,Group: Senior Member,Posts: 759,200805,,Asking the gabenor to install umno proxy as CM?The gabenor still keep his late wife photo?Berlakon ke?
adolph,20170112,Hail the hitler,Group: Senior Member,Posts: 832,201209,"From: Richmond, Oakland hills",
cedyy,20170112,Regular,Group: Senior Member,"Posts: 1,081",200906,,banyaknya emas
subaru555,20170112,Getting Started,Group: Junior Member,Posts: 61,201110,,Bye bye bee ann in soviet sarawak
roymustang,20170112,New Member,Group: Junior Member,Posts: 4,200710,From: Penang mai,tengah tu apa? replica hajarul aswad?
tsunade,20170112,Regular,Group: Senior Member,"Posts: 1,883",200301,From: Konoha,banyak sungguh!
galkelly,20170112,Getting Started,Group: Junior Member,Posts: 71,201206,,Discussing how many seats can contribute to BN win in the coming PRU election...Cash is King in discussion...
Reckoning,20170112,New Member,Group: Junior Member,Posts: 36,201310,,powerful people
Reckoning,20170112,New Member,Group: Junior Member,Posts: 36,201310,,najib masih berkuasa walaupun dibenci. so no...
forever1979,20170113,Regular,Group: Senior Member,"Posts: 1,644",201307,,2 bai mao that suck the most in the world
Hundred_Percent,20170113,New Member,Group: Junior Member,Posts: 12,201701,,support him.
alexcky,20170113,business Sifu,Group: Senior Member,Posts: 754,200711,,Both expert in songlap
goodiemangold,20170113,New Member,Group: Junior Member,Posts: 30,201608,,Wow...This place looks more grand than Buckingham palace
