Topic title: PBB  Abang Johari Ketua Menteri Sarawak Yang baru,"Topic posted on: 13 Jan 2017, 13:21:00",Topic link: https://forum.lowyat.net/topic/4174055,"Topic scraped on: 02 Aug 2017, 03:32:14",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170113,New Member,Group: Newbie,Posts: 0,201208,,"Timbalan Ketua Menteri Sarawak, Datuk Amar Abang Johari Abang Openg dipilih sebagai Ketua Menteri Sarawak yang baharu.Media melaporkan, Timbalan Presiden Parti Pesaka Bumiputera Bersatu (PBB) itu dijangka mengangkat sumpah sebagai Ketua Menteri di sini, jam 4 petang ini.Pelantikan Abang Johari sebagai Ketua Menteri keenam bagi menggantikan Allahyarham Tan Sri Adenan Satem yang meninggal dunia kelmarin akibat serangan sakit jantung.Menurut laporan media, Abang Johari akan mengangkat sumpah di hadapan Yang di-Pertua Negeri, Tun Abdul Taib Mahmud, di Astana Negeri.http://www.sinarharian.com.my/politik/aban...baharu-1.611140PBB sokong Abang JohariParti Pesaka Bumiputera Bersatu (PBB) menyokong Datuk Amar Abang Johari Abang Openg sebagai Ketua Menteri Sarawak yang baru.Naib Presiden Kanan PBB, Datuk Amar Awang Tengah Ali Hasan berkata, keputusan itu dicapai dalam mesyuarat parti itu, pagi tadi.Menurutnya, semua pihak perlu menunggu pengumuman petang ini berhubung siapa calon Ketua Menteri.""Kepimpinan PBB setuju Abang Johari menjadi Ketua Menteri yang baru.""Majlis angkat sumpah akan diadakan 4 petang ini,"" katanya ringkas ketika ditemui selepas mengadakan mesyuarat di kediaman Yang di-Pertua Negeri di Demak Jaya, di sini, hari ini.Usaha untuk menemubual Abang Johari dan kepimpinan lain tidak berhasil kerana mereka dilihat terus meninggalkan kediaman rasmi Tun Abdul Taib Mahmud.http://www.hmetro.com.my/node/196925"
St0rmFury,20170113,Getting Started,Group: Super Senior,Posts: 175,200705,From: KL,Ok ke abang ni?
Reckoning,20170113,New Member,Group: Junior Member,Posts: 36,201310,,Wooohoooo
ThirdSon,20170113,New Member,Group: Junior Member,Posts: 20,201006,From: kota kinabalu,bang jo bang jo jo low 2.0
desmond2020,20170113,Getting Started,Group: Junior Member,Posts: 280,200506,,Imminent umno infiltration of SarawakAyam had sadding
DarkAeon,20170113,Casual,Group: Junior Member,Posts: 452,201011,,nanti jadi tan sri ni
JohnLai,20170113,Skeptical Cat,Group: Senior Member,"Posts: 1,152",200604,,"Shit, this guy?Incoming UMNO infiltration.Project IC untuk Bangladeshi akan bermula....."
mohdyakup,20170113,Look at all my stars!!,Group: Senior Member,"Posts: 3,293",200910,"From: Bintulu, Sarawak",Tunggu jak official angkat sumpah petang tok... Borneo Post & Sarawak Tribune belum keluar apa2 news gik tang cepat jak Berita Harian...Siapa2 pun CM baru Sarawak harap UMNO sik akan masuk Sarawak...
ZeroSOFInfinity,20170113,New Member,Group: Junior Member,Posts: 38,200510,,His selection means the incoming of UMNO to Sarawak. What do you think?
citacitata,20170113,Getting Started,Group: Junior Member,Posts: 242,201601,From: Joined : 2008,Is he linked to umno?
St0rmFury,20170113,Getting Started,Group: Super Senior,Posts: 175,200705,From: KL,
ander7724,20170113,Getting Started,Group: Junior Member,Posts: 216,200610,From: Si Sa Ket,Inb4 sedak abe...
Sha91,20170113,Getting Started,Group: Junior Member,Posts: 107,200912,From: A place like no other,Awani pun dah keluar juak tadik.
ironmaid89,20170113,New Member,Group: Newbie,Posts: 0,201208,,"Naib Presiden Kanan Parti Pesaka Bumiputera Bersatu (PBB), Datuk Amar Awang Tengah Ali Hasan, ketika mengesahkan pemilihan itu, berkata keputusan dibuat sebulat suara dalam mesyuarat khas pemimpin kanan parti di kediaman peribadi Abdul Taib di Demak Jaya, di sini pagi tadi. ""Pengalaman Datuk Amar Abang Johari (Abang Openg) diyakini mampu meneruskan kesinambungan jentera pentadbiran negeri. ""Malah, pemilihan itu mendapat sokongan penuh pucuk pimpinan PBB dan segenap lapisan ahli di peringkat akar umbi,"" katanya sejurus meninggalkan kediaman Abdul Taib.http://www.bharian.com.my/node/234050"
