Topic title: MB Selangor  PKR keluar suppork Pasukan Merah,"Topic posted on: 15 Jan 2017, 16:05:00",Topic link: https://forum.lowyat.net/topic/4175464,"Topic scraped on: 02 Aug 2017, 03:31:50",
username,date,avatar_title,group,post_count,join_date,from,text
Zaxx_Yong,20170115,Getting Started,Group: Junior Member,Posts: 65,201611,,"Majlis Pelancaran Parti Pribumi Bersatu Malaysia di Stadium Malawati, Shah Alam malam yang laku ...Ini pasukan Merah yang Baik ... bukan yg pakai towel merajuk kat building orang"
ikankering,20170115,New Member,Group: Newbie,Posts: 3,201701,,umno v 2.0?
scorptim,20170115,Casual,Group: Junior Member,Posts: 378,200911,,"Damn, that many people go? No wonder umno 24/7 bashing mamak now le. It's obvious they sked of him. I don't think you even get that much Malay crowd even if you combine the attendance for pkr and amanah events."
s@ni,20170115,Gambar Di Lesen Kereta Saya,Group: Senior Member,"Posts: 2,682",200506,From: Seasaw,Yes even in the TV news
pobox,20170115,Casual,Group: Junior Member,Posts: 459,201305,,UMNO still win. Bodo
darthboyzzee,20170115,New Member,Group: Junior Member,Posts: 42,201502,,"type=""video/mp4"">Soso"
nuvi,20170115,New Member,Group: Junior Member,Posts: 25,200908,,MO1 must be pissing in the pants
quintesson,20170115,Casual,Group: Junior Member,Posts: 465,200610,,Alamak i'm confused...... merah is good or bad? Jamal please come clarify you under Pribumi or BN?
raulxiver,20170115,Getting Started,Group: Junior Member,Posts: 123,201110,,2x5 5x2
SweetPuff,20170115,Look at all my stars!!,Group: Senior Member,"Posts: 2,003",200301,,"So, this is the party for those who kennot cari makan in Amno"
dante1989,20170115,Getting Started,Group: Junior Member,Posts: 245,201009,,what is pribumi? pre-earth?
automan5891,20170115,New Member,Group: Junior Member,Posts: 16,200909,,UMNO vs UMNO
Mcdodo,20170115,New Member,Group: Junior Member,Posts: 18,201610,,Why red theme?
dextrouzst,20170115,New Member,Group: Junior Member,Posts: 22,200809,,So they can recycle their old umno baju melayu
stealthrider,20170115,New Member,Group: Junior Member,Posts: 6,201109,,"So now the term ""Red Monkey"" is no longer exclusive to UMNO?"
Zaxx_Yong,20170115,Getting Started,Group: Junior Member,Posts: 65,201611,,"Merah create api ...Api tu boleh guna untuk masak dan jugak boleh guna untuk bakar rumah ..Yg ini, ya tak ya lebih baik dari pegawai yg represent merah yg pakai towel tu"
neoexcaliber,20170115,Getting Started,Group: Junior Member,Posts: 67,200501,,UMNO v2 meeting UMNO v3.
andrekua2,20170115,Look at all my stars!!,Group: Senior Member,"Posts: 6,403",201201,,"Current UMNO is v2, created by Tun M himself. Now he create UMNO v3."
budakdegilz,20170115,Regular,Group: Senior Member,"Posts: 1,105",200612,,
magnesium,20170115,Casual,Group: Junior Member,Posts: 459,200605,,primary school got learn thismeans penduduk awal malaysia
Vape [On],20170115,Regular,Group: Senior Member,"Posts: 1,069",201511,,Kesian penjilar jubur bijan
Zaxx_Yong,20170116,Getting Started,Group: Junior Member,Posts: 65,201611,,Good photoshop
doppatroll,20170116,Getting Started,Group: Junior Member,Posts: 133,201309,,no matter how many you have ...in the election still umno wins....end of stories
Cloudx,20170116,(?°?°??? ???,Group: Senior Member,"Posts: 1,483",200410,From: Island where you get pearl,Sigh... what's the point of creating another 1 race party
SushiBurgerX,20170116,Casual,Group: Junior Member,Posts: 418,201008,,Jamal lose already....
khelben,20170116,I love my mum & dad,Group: Senior Member,"Posts: 5,819",200301,From: Suldanessellar,The current umno is already umno 2.0 kan?This one will be 3.0
l4nunm4l4y4,20170116,Getting Started,Group: Junior Member,Posts: 169,201108,,Early CNY celebration
azbro,20170116,Look at all my stars!!,Group: Senior Member,"Posts: 4,010",200701,From: Johor Bahru,"Gambar kena photochop, actually many empty seats"
azhan82,20170116,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,Dah Dah..Semua ahli PKR dan AMANAH tu..PPBM mana ada ahli...Owai
feralee,20170116,Enthusiastic (R)(C)(tm),Group: Senior Member,"Posts: 4,775",200508,,
lifeofkuli,20170116,New Member,Group: Junior Member,Posts: 32,201604,,pre = beforew/o pre = afterconclusion = siapa dtg dlu
unknown warrior,20170116,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,Fuuh Ramai tu.Habis la.
blur_goofy,20170116,Casual,Group: Junior Member,Posts: 342,200609,,pribumi?what age is this? another race exclusive parti?
natamhanjing,20170116,Getting Started,Group: Junior Member,Posts: 69,200907,,This is so Umno...   PH really work with them ka?
Flizzardo,20170116,??,Group: Senior Member,"Posts: 1,092",200503,From: Internet,pkr the party for those who cant cari makan in BNAMANAH cant cari makan in PAS
ikankering,20170116,New Member,Group: Newbie,Posts: 3,201701,,umno now umno( baru)this one umno v 3.0.
