Topic title: PM  Mahathir Jaguh Buat Pusingan U,"Topic posted on: 15 Jan 2017, 16:09:00",Topic link: https://forum.lowyat.net/topic/4175469,"Topic scraped on: 02 Aug 2017, 02:53:03",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170115,New Member,Group: Newbie,Posts: 0,201208,,"Perdana Menteri, Datuk Seri Najib Tun Razak menyifatkan Tun Dr Mahathir Mohamad sebagai jaguh pusingan U apabila sering mengubah pendiriannya sejak kebelakangan ini termasuk dalam isu pemberian Bantuan Rakyat 1Malaysia (BR1M).  Najib berkata pada 26 Disember lalu, Dr Mahathir sendiri pernah membuat kenyataan kononnya pemberian BR1M itu rasuah dan salah di sisi undang-undang, namun nadanya berubah sama sekali semalam apabila menyatakan pembangkang sanggup mempertimbangkan pemberian BR1M jika pembangkang menerajui kerajaan nanti.""Dalam tempoh tiga minggu sahaja beliau tukar pendirian dan buat pusingan Udengan menyatakan sekiranya pembangkang menang mereka sanggup mempertimbangkan pemberian BR1M.   ""Kebelakangan ini, Tun Mahathir terlalu banyak buat pusingan U dari segi pendiriannya, jadi kita boleh anggap Tun Mahathir sekarang ini jaguh pusingan U kerana tindakan dan kenyataan bercanggah sama sekali,"" katanya. Beliau berkata demikian kepada pemberita dalam sidang media selepas menyampaikan hadiah kecemerlangan Ujian Pencapaian Sekolah Rendah (UPSR) dan Pentaksiran Tingkatan 3 (PT3) 2016 serta bantuan 'Kembali Ke Sekolah' Parlimen Pekan di Dewan Konvensyen Sultan Ahmad Shah di sini hari ini. - Bernamahttp://www.sinarharian.com.my/politik/maha...ngan-u-1.611959"
pandah,20170115,On my way,Group: Senior Member,Posts: 537,201107,,"mana gambar lrt mendengar kesusahan rakyat?mahathir should not consider br1m, pakatan or anyone should scrap that shit scrap the election gula2 dun chibai"
acbc,20170115,Look at all my stars!!,Group: Senior Member,"Posts: 5,124",200301,,Senile already.
revious,20170115,New Member,Group: Newbie,Posts: 1,201306,From: Borneo Sabah Country Of The Great Wind,Najib pakar Songlap+U turn+cabut lari...
cicak.fakir,20170115,Getting Started,Group: Junior Member,Posts: 270,201605,,"eh, bijan kisah apa mahathir kata?"
nuvi,20170115,New Member,Group: Junior Member,Posts: 25,200908,,Pissed in the pants already?
darthboyzzee,20170115,New Member,Group: Junior Member,Posts: 42,201502,,No komen
JeremyLord,20170115,Getting Started,Group: Junior Member,Posts: 218,201211,From: Planet Earth,Huhuhu
will4848,20170115,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,Semua pun ahli umno ....
teongpeng,20170115,Justified and Ancient,Group: Senior Member,"Posts: 1,918",200710,,Got power what also can say.When no power one day...see how
kding2,20170115,Enthusiast,Group: Senior Member,Posts: 837,200704,,"Well, Najib can buat magik. BLACKOUT"
rabbitman5555,20170115,New Member,Group: Newbie,Posts: 0,201610,,Kena make fun liao
LOOLYAT,20170115,New Member,Group: Newbie,Posts: 2,201604,,Bodo or what. Trump even better than him.
Clement1001,20170115,On my way,Group: Senior Member,Posts: 591,201201,,Jibby jaguh ambil donasi!
Revamperz,20170115,im freaking IN! ™,Group: Senior Member,"Posts: 4,878",200301,,then those who didnt get br1m ? conlanfem dun have any xcuse la?
nothintodo,20170115,Getting Started,Group: Junior Member,Posts: 66,201008,,
Crovoseas,20170115,Getting Started,Group: Junior Member,Posts: 159,200503,,"Kek, expert bijan laugh at noob madey u-turn skill."
and85rew,20170115,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,ayam donation king
Lancewood,20170115,Getting Started,Group: Junior Member,Posts: 57,201502,,BN macai Sunday ot ka?
jay,20170115,Legendary,Group: Senior Member,Posts: 863,200301,From: Central Region Status: Safe Trader,i dun trust anyone who wear gold rimmed prescription glasses
MR_alien,20170115,Mr.Alien on the loss,Group: Senior Member,"Posts: 2,021",200710,From: everywhere in sabah,i think mo1 punya konco lagi pandai U-turn
1malaysiajib,20170115,New Member,Group: Junior Member,Posts: 33,201701,,#LoveMYPM#LoveMYPM
azbro,20170115,Look at all my stars!!,Group: Senior Member,"Posts: 4,010",200701,From: Johor Bahru,Just curious... Why not?  LoL
jasonlim,20170115,Bunga(R),Group: Senior Member,"Posts: 3,331",200301,"From: Kelana Jaya,Selangor/Muar,Johor",Chedet hypocrite
mamao,20170115,Getting Started,Group: Junior Member,Posts: 56,201012,,this mahathir ckap lain today lain in the future lain
No Reason,20170115,New Member,Group: Junior Member,Posts: 46,201108,,"Does anyone really listened to what Tun M said? He said, the brim can be considered by the government, but it cant be use as party manifestobecause it use federal fund, not party fund"
lmunyee,20170115,New Member,Group: Junior Member,Posts: 42,201101,From: Kuala Lumpur,Jaguh donasi keep quiet
Volfeed,20170115,Casual,Group: Junior Member,Posts: 356,200503,,What the old man said. No English subs though.VCQ0Sgb4BvY
1malaysiajib,20170115,New Member,Group: Junior Member,Posts: 33,201701,,lol
alexcky,20170115,business Sifu,Group: Senior Member,Posts: 754,200711,,U turn or goustan takpe.. Asal tumbang bee end next GE
smallcrab,20170115,Getting Started,Group: Junior Member,Posts: 82,200707,From: Puchong,Jibby pon sama jePak Lah juga
ikankering,20170115,New Member,Group: Newbie,Posts: 3,201701,,mahathir -----> jaguh diktator and jaguh u turn.
bugijun,20170116,On my way,Group: Senior Member,Posts: 500,200605,From: Seremban,Event sekolah pon mau citer politik ke?pffttt...seronok sgt latew...
yokoloco,20170116,On my way,Group: Senior Member,Posts: 594,201406,"From: CatCity, Sarawak",Jaguh sue WSJ selasa depan
JoLee,20170116,Getting Started,Group: Junior Member,Posts: 85,200301,,Bodoh takkan Kalau sudah masuk Jalan salah you tak mahu buat u-turn?So a fool is someone who continues to do wrong when he knows is wrong. A wiseman would correct his actions if he is wrong.
MechaLEE,20170116,Getting Started,Group: Junior Member,Posts: 139,200602,,
forever1979,20170116,Regular,Group: Senior Member,"Posts: 1,644",201307,,jaguh derma > everything cash is king
MRaef,20170116,Getting Started,Group: Junior Member,Posts: 98,200511,,Pusingan-U atau kitaran 360 darjah bukan budaya kita.Owai ...
hackwire,20170116,Look at all my stars!!,Group: Senior Member,"Posts: 4,180",200501,,U turn is budaya UMNO.
lylee73,20170116,"The mouse who wanders at /k all day, all night",Group: Senior Member,Posts: 639,201508,"From: Klang, Selangor","Yeah, saw one video of children saying ""Saya sokong GST.""DMzfvmsO3EQLike seriously, what the fuck is happening. Children know no shit about GST unless they are matured. I am 16, and act like 20. Damn, these kids had to really stay away from this shit."
syahmie8,20170116,New Member,Group: Junior Member,Posts: 4,201304,,Pemakan dedak le ni.
jay,20170116,Legendary,Group: Senior Member,Posts: 863,200301,From: Central Region Status: Safe Trader,d0ZXAWa9UCobecause Stephan Chou say so
Toyoi,20170330,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,so we got new Jaguh U-Turn now issit ??BN tidak akan bentang pindaan RUU 35529 Mar 2017https://forum.lowyat.net/topic/4242278https://forum.lowyat.net/topic/4241994
Toyoi,20170619,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"Dacing U-turn juga ??Subromaniam: Government Cancels GST Order On 60 Food Items 19 Jun 2017https://forum.lowyat.net/topic/4330372...The Customs Department has cancelled the order which would have seen over 60 food items, including staples such as noodles, potatoes and spinach, subject to the goods and services tax (GST)....The decision was made after the issue was referred to the finance ministry."
Toyoi,20170623,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"bump for another u-turn...After tiff with Nazri, S'wak minister says state will accept tourism tax22 Jun 2017https://forum.lowyat.net/topic/4336704...Sarawak Minister Abdul Karim Rahman Hamzah said the state government will now accept the implementation of the tourism tax which will see customers being charged between RM2.50 to RM20 per hotel room per night depending on the ratings."
Clement1001,20170623,On my way,Group: Senior Member,Posts: 591,201201,,Jibby jaguh........
