Topic title: Pakar ekonomi anggap BR1M kejayaan Najib,"Topic posted on: 17 Jan 2017, 11:12:00",Topic link: https://forum.lowyat.net/topic/4177099,"Topic scraped on: 02 Aug 2017, 03:21:09",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170117,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/369335MalaysiaKiniPakar ekonomi anggap BR1M kejayaan NajibGeraldine Tong     15 Jan 2017Pengagihan Bantuan Rakyat 1Malaysia (BR1M) dianggap satu daripada kejayaan pentadbiran Perdana Menteri, Datuk Seri Najib Razak, oleh Dr Jomo Kwame Sundaram.Kenyataan pakar ekonomi dihormati ramai itu dibuat ketika BR1M dianggap sesetengah pihak sebagai pemberian ""rasuah politik"" dan sekadar langkah sementara untuk menangani bebanan rakyat.""Saya rasa (BR1M) adalah satu daripada kejayaan kerajaan sekarang, tetapi hakikatnya ia adalah hasil daripada kempen berdekad-dekad oleh kesatuan sekerja dan NGO (pertubuhan bukan kerajaan) serta parti pembangkang untuk meningkatkan taraf sosial masyarakat,"" katanya di forum Integrasi Dengan Integriti di Kuala Lumpur hari ini.Bekas timbalan setiausaha agung PBB itu bagaimanapun berkata, kenyataan berkenaan tidak bermaksud pengagihan BR1M terlepas daripada sebarang masalah.Kata Jomo, beliau sangat bersetuju cara BR1M dan bantuan lain diuruskan ketika ini pasa dasarnya digunakan untuk ""merasuah"" seseorang namun kenyataan yang dibuat itu melihat kepada aspek lain.""Negara kita cukup kaya dan sepatutnya tidak ada sesiapa hidup di bawah paras kemiskinan, tidak sepatutnya ada sesiapa yang tidak mempunyai akses kepada perkhidmatan kesihatan lebih baik,"" katanya.Bekas perdana menteri Tun Dr Mahathir Mohamad sebelum ini mendakwa kerajaan menggunakan BR1M sebagai rasuah bagi mendapatkan sokongan pengundi.Bagaimanapun semasa pelancaran Parti Pribumi Bersatu Malaysia (BERSATU) malam tadi, beliau membayangkan pihaknya terbuka mengekalkan BR1M jika pembangkang menawan Putrajaya.Dr Mahathir yang juga pengerusi BERSATU berkata, skim berkenaan dikekalkan jika dasar itu didapati perlu.Bagaimanapun sebarang cubaan menggunakan bantuan berkenaan untuk memancing undi, katanya, tidak akan dibenarkan.""Jika BR1M didapati penting, maka wang itu akan diagihkan oleh pegawai kerajaan.""BR1M tidak bolah dimasukkan sebagai manifesto oleh mana-mana parti,"" katanya.Orang ramai yang memperoleh pendapatan kurang daripada RM3,000 dijangka menerima bantuan bernilai RM1,200 pada tahun ini."
joe_mamak,20170117,Casual,Group: Junior Member,Posts: 333,200612,,Eh...I post positive news for Najib and BN but the BN supporters no puji.  They only know how to rant when I post negative news about BN.
OldSchoolJoke,20170117,Getting Started,Group: Junior Member,Posts: 196,201003,,cukur ada BR1M
GibeDeMuny,20170117,New Member,Group: Junior Member,Posts: 12,201611,,"pakar IT, pakar ekonomijaguh sukan dan juga jutawan"
Kam Tze,20170117,New Member,Group: Junior Member,Posts: 26,200510,,this is one kek pakar ekonomi
cedyy,20170117,Regular,Group: Senior Member,"Posts: 1,081",200906,,salah.. 1MDB merupakan kejayaan paling besar MO1. Takde negara lain di dunia ni yang mampu lakukan
Kam Tze,20170117,New Member,Group: Junior Member,Posts: 26,200510,,berkereta jenama osama
perrrhhh,20170117,Getting Started,Group: Junior Member,Posts: 152,201212,From: Moon with my p car,Cukur dapat brim i supork
Lyu,20170117,Getting Started,Group: Junior Member,Posts: 157,201501,,So Bapak Brim?
pokchik,20170117,Casual,Group: Junior Member,Posts: 411,201003,From: JHB-MLK-KUL,'cukup kaya''tidak sepatutnya ada sesiapa yang tidak mempunyai akses kepada perkhidmatan kesihatan lebih baik'
GibeDeMuny,20170117,New Member,Group: Junior Member,Posts: 12,201611,,megan fox menyusur di tepi jalan
oathless,20170117,Getting Started,Group: Junior Member,Posts: 66,201407,,"Professor DR my ass. BR1M is giving fresh fish. U should give a fishing rod to rakyat, teach rakyat to fish. Not just feed them fish. BR1M once a year, sekali pakai beli rokok sudah habis. Choi...Just figure out your common sense la Dr cheap."
pokchik,20170117,Casual,Group: Junior Member,Posts: 411,201003,From: JHB-MLK-KUL,anak-anak terasuh mindanyalahir generasi dedak macai..
pokchik,20170117,Casual,Group: Junior Member,Posts: 411,201003,From: JHB-MLK-KUL,"""are you talking to me, boy?"""
azhan82,20170117,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,"Hmm.. last time PR liked this Prof a lot...and now suddenly he puji Br1M, and all hell breaks loose LOL"
MaGNiFiCo,20170117,weeeeeeeeeeeee,Group: Senior Member,"Posts: 1,570",200510,From: Penang,kejayaan najib? pundeq dia. last time claim this one suggested by BNM not him. so it should be kejayaan BNM or Zety to be precised
Timemuffin,20170117,Getting Started,Group: Junior Member,Posts: 84,201107,,who da frying fucukyimai is Dr Jomo Kwame Sundaram?
joe_mamak,20170117,Casual,Group: Junior Member,Posts: 333,200612,,Eh?  Just some PR supporters.  Not all.
kabuto12,20170117,Getting Started,Group: Junior Member,Posts: 82,201604,,Pakar lah sangat
GibeDeMuny,20170117,New Member,Group: Junior Member,Posts: 12,201611,,biar di kote atau pun duburkita semuapasti merasa nikmat
botlife,20170117,Getting Started,Group: Junior Member,Posts: 91,201210,,
oathless,20170117,Getting Started,Group: Junior Member,Posts: 66,201407,,"""let them fight""Godzilla 2014. Lol... He looks like Ken Watanabe"
cedyy,20170117,Regular,Group: Senior Member,"Posts: 1,081",200906,,sounds like Indon
azhan82,20170117,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,Ahha...Keep believing that Joe
ikankering,20170117,New Member,Group: Newbie,Posts: 3,201701,,better than mahathir time.
JokerNymous,20170117,Getting Started,Group: Junior Member,Posts: 196,201610,,IF jibi still stay in the politic sure he will demolish Malaysia thats pretty sure
raulxiver,20170117,Getting Started,Group: Junior Member,Posts: 123,201110,,1080 sli performance on top
LamboSama,20170117,Getting Started,Group: Junior Member,Posts: 67,201108,,if you use financial aids to buy cigarettes instead of fishing rods. Nothing government can do.
oathless,20170117,Getting Started,Group: Junior Member,Posts: 66,201407,,Haha..thats what most pakcik2 at kampung do...
pokchik,20170117,Casual,Group: Junior Member,Posts: 411,201003,From: JHB-MLK-KUL,"""the longer graph the better"""
slimey,20170117,,Group: Senior Member,"Posts: 4,874",200704,,Aroma also big success.
Special Agent,20170117,Getting Started,Group: Junior Member,Posts: 76,201503,,"BR1M tiru LGE punya,.."
ikankering,20170117,New Member,Group: Newbie,Posts: 3,201701,,duit free siapa tak nak.
Toyoi,20170327,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,BN tambah kuat walau Melayu makin marah - Jomo25 Mar 2017https://forum.lowyat.net/topic/4233478
mafioso,20170327,flower bridge,Group: Senior Member,"Posts: 3,711",201207,"From: Today, 00:01 AM",gaji tarak bayakwhat for want respond?
joe_mamak,20170327,Casual,Group: Junior Member,Posts: 333,200612,,
trencher10,20170327,Long-term AFK ...,Group: Senior Member,Posts: 572,200301,,"""Saya rasa (BR1M) adalah satu daripada kejayaan kerajaan sekarang, tetapi hakikatnya ia adalah hasil daripada kempen berdekad-dekad oleh kesatuan sekerja dan NGO (pertubuhan bukan kerajaan) serta parti pembangkang untuk meningkatkan taraf sosial masyarakat,"" katanya di forum Integrasi Dengan Integriti di Kuala Lumpur hari ini.Kenot support"
