Topic title: Najib   Donasi RM10 mil for Rohingya,"Topic posted on: 19 Jan 2017, 15:04:00",Topic link: https://forum.lowyat.net/topic/4179059,"Topic scraped on: 02 Aug 2017, 03:31:43",
username,date,avatar_title,group,post_count,join_date,from,text
Left4Dead2,20170119,Getting Started,Group: Junior Member,Posts: 216,200911,,"http://www.thestar.com.my/news/nation/2017...manitarian-aid/KUALA LUMPUR: Malaysia will contribute RM10mil to assist humanitarian efforts and social rehabilitation projects for the Rohingya community in Myanmar's Rakhine state.Datuk Seri Najib Tun Razak, who announced the assistance in his speech at the extraordinary session of the Organisation of Islamic Cooperation (OIC) Council of Foreign Ministers on the Rohingya, said the fund would be used to build infrastructure such as educational and medical institutions.""As a true and long-standing friend of Myanmar, I say this from the bottom of my heart – it is time to end this crisis,"" said the Prime Minister in his keynote address.Najib said that the international community, including bodies such as the OIC, must work together to put a stop to the killing of the Rohingya.""The violation of women and girls must stop,"" said Najib.The Prime Minister said the persecution of the Rohingya and the denial of their basic rights – just because they were Muslim – must also be stopped.Najib delivered his speech with OIC secretary-general Dr Yousef Ahmed AL-Othaimeen in attendance.Also present were foreign ministers and representatives from the OIC's 57 member countries."
and85rew,20170119,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,yaaaaayyyyyyyyyywell donereally...
Aftermaths,20170119,Getting Started,Group: Junior Member,Posts: 205,201204,,Duno reach there remain how much leh  (Hope efficient & didn't disappear)
Clement1001,20170119,On my way,Group: Senior Member,Posts: 591,201201,,"Meanwhile, Government budget RM 50Million for education purposes fund stuck somewhere? and need to plea to Jibby, where does he lost too."
DarkAeon,20170119,Casual,Group: Junior Member,Posts: 452,201011,,"semua potong tapi aku punya jet, allowance, budget untuk tolong org lain jangan sentuh"
Crovoseas,20170119,Getting Started,Group: Junior Member,Posts: 159,200503,,"Kekeke, biar tengok duit tu sampai tangan rohingya tinggal berape? GE is kambing lo."
kimsim,20170119,Let Me ?? You,Group: Senior Member,"Posts: 5,847",201011,From: Malaysia ??,Oh yeah
Songlap,20170119,New Member,Group: Junior Member,Posts: 28,201302,From: Putrajaya,ironmaid89 = rohingya
Perfect.Stranger,20170119,New Member,Group: Junior Member,Posts: 27,201604,,9 mil goes to proxies
alwinnng,20170119,"To love at all, is to be vulnerable.",Group: Senior Member,"Posts: 3,875",200912,From: ¯\(°_o)/¯,WtfWe ownself also not enuff edi u still simply spend
Nub!,20170119,Casual,Group: Junior Member,Posts: 403,200705,,Nice la. Something to brag about in Islamic world.
