Topic title: DAP JILAT PAS BACK ekeke,"Topic posted on: 23 Jan 2017, 16:06:00",Topic link: https://forum.lowyat.net/topic/4181848,"Topic scraped on: 02 Aug 2017, 03:30:56",
username,date,avatar_title,group,post_count,join_date,from,text
LivingActive,20170123,New Member,Group: Junior Member,Posts: 10,201504,From: RobotPencariEmel.com,"Pemimpin veteran DAP Lim Kit Siang hari ini menegaskan salam perdamaian yang dihulurkan kepada PAS adalah ikhlas dan bukan hanya sekadar tindakan berpura-pura.Lim berkata keutamaan bagi Malaysia sekarang adalah untuk menangani masalah kleptokrasi.""Berhubung dakwaan DAP bersikap hipokrit sekiranya kami kembali bekerjasama dengan PAS, saya serahkan kepada orang ramai untuk menilainya.https://m.malaysiakini.com/news/370217Dap pkr pan too weak to win election? Ekekeke"
rzam,20170123,New Member,Group: Junior Member,Posts: 49,201608,,so u wan najib to win izzit?
joe_mamak,20170123,Casual,Group: Junior Member,Posts: 333,200612,,"Well done LKS, for trying to make peace."
dagnarus,20170123,Getting Started,Group: Junior Member,Posts: 270,200807,,Together we can make Malaysia great again.
rayzy22,20170123,Casual,Group: Junior Member,Posts: 386,200611,"From: Sri Kembangan, Putrajaya, K.Terengganu, Butterworth",Bollocks politic
PahMahSeng,20170123,New Member,Group: Newbie,Posts: 0,201701,,PAS have a large supporter.Pembangkang may lose 60% of vote without PASor even more
azhan82,20170123,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,"It is easy to survive. Winning on the other hand, is totally a new ball game"
jacckl,20170123,New Member,Group: Junior Member,Posts: 49,201211,,"even if dap officially want to work again with pas, i dont think many non-muslim can accept pas back."
lepo,20170123,Casual,Group: Junior Member,Posts: 330,200607,,"Hahahahaa...Weak PH, need to pujuk PAS back..."
budakdegilz,20170123,Regular,Group: Senior Member,"Posts: 1,105",200612,,new favourite wordKLEPTOCRACYno moreREFORMASICRONYISMDICTATORSHIPAUTOCRACY
myvi_dog,20170123,New Member,Group: Junior Member,Posts: 16,200804,,lks weak
otua,20170123,Casual,Group: Junior Member,Posts: 490,201305,,PAS already takut until terkencing when mahathir said opposition will move forward without them.
LivingActive,20170123,New Member,Group: Junior Member,Posts: 10,201504,From: RobotPencariEmel.com,Ekekeke
less1234,20170123,New Member,Group: Junior Member,Posts: 12,201310,,topkek from the people that replied opposition is weak. If STRONG then still in OPPOSITION?
pandah,20170123,On my way,Group: Senior Member,Posts: 537,201107,,"dap pkr pas amanah bersatu watever shitif they can not close door and fck each other kaw2 then reach an agreement to come out and fight bn, all of them can go fck themselves and hand their own ass to bn and lick bn's boot fck the power hungry, wayang lebih, sembang kencang egoistic politikus"
lepo,20170123,Casual,Group: Junior Member,Posts: 330,200607,,Donno this PH macai or BN macai..hahahhaa
joe_mamak,20170123,Casual,Group: Junior Member,Posts: 333,200612,,Nowhere as lame as jolokia.
Dreadstar,20170123,New Member,Group: Newbie,Posts: 3,200903,,Ermm no surprise there. wayang before GE. Its DAP. hopefully PAS knew they have all their balls. all of them.
TrustULoveU,20170123,Casual,Group: Junior Member,Posts: 372,201004,,"rubbish dap, same old thing"
ashportal,20170123,Enthusiast,Group: Senior Member,Posts: 739,200810,,KAH KAH KAH
ikankering,20170123,New Member,Group: Newbie,Posts: 3,201701,,surprise surprise.
Stigonboard,20170123,New Member,Group: Junior Member,Posts: 20,201408,,Suddenly they just realised amanah fighting pas is bad news for them
NeoMnemonic,20170123,On my way,Group: Senior Member,Posts: 627,200806,,"Harum, apa macam mana dengan hudud?"
wcg6548,20170123,Getting Started,Group: Junior Member,Posts: 199,200703,,Got ball to loose
