Topic title: Dewan Ulama PAS cabar DAP saman ,"Topic posted on: 29 Jan 2017, 13:36:00",Topic link: https://forum.lowyat.net/topic/4185587,"Topic scraped on: 02 Aug 2017, 03:30:20",
username,date,avatar_title,group,post_count,join_date,from,text
darthboyzzee,20170129,New Member,Group: Junior Member,Posts: 42,201502,,You guys think DAP will bite at this provocation?
Sirmacai,20170129,Getting Started,Group: Junior Member,Posts: 213,201604,,Cabar kit siang saman. I wanna c kit siang cry when he kalah.
automan5891,20170129,New Member,Group: Junior Member,Posts: 16,200909,,Send LOD
acbc,20170129,Look at all my stars!!,Group: Senior Member,"Posts: 5,124",200301,,Saman only.
LookOut!,20170129,New Member,Group: Junior Member,Posts: 12,201106,From: Behind you!,kit siang no bola
king99,20170129,Enthusiast,Group: Senior Member,Posts: 885,200412,,"When all fail , use religion card"
herojack41,20170129,Master Of Trouble Maker,Group: Senior Member,"Posts: 5,404",200711,From: A Place Where God And Master Of TroubleMaker Exist,
ikankering,20170129,New Member,Group: Newbie,Posts: 3,201701,,if tak undi pas?that why i don't need religion base party.
kcchong2000,20170129,New Member,Group: Newbie,Posts: 3,200901,,"I half hope they said ""kita tunggu kat padang masyar(dunno the spelling"""
giorno9,20170129,New Member,Group: Junior Member,Posts: 18,201303,,It's good... go ahead...
and85rew,20170129,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,Bodo pas
Big Balls Jackson,20170129,New Member,Group: Junior Member,Posts: 7,201402,,"Everyone is anti islam other than PAS , that's their motto."
nuvi,20170129,New Member,Group: Junior Member,Posts: 25,200908,,"Those brainwashed will follow anything their leader say, because it's same as command from god."
