Topic title: Masihkah PAS mahu menentang kleptokrasi ,"Topic posted on: 31 Jan 2017, 11:05:00",Topic link: https://forum.lowyat.net/topic/4186471,"Topic scraped on: 02 Aug 2017, 03:21:59",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170131,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/370903Masihkah PAS mahu menentang kleptokrasi?Edry Faizal Edry Yusof     30 Jan 2017ULASAN | Skandal korupsi bertahap mega, salah guna kuasa dan tadbir urus buruk pemerintahan Datuk Seri Najib Razak dan BN sudah diketahui umum.Namun rakyat tetap menunggu satu gabungan yang kuat untuk menggantikan BN sebagai kerajaan Persekutuan.Dari sinilah timbulnya hasrat di kalangan rakyat untuk melihat pembangkang persekutuan bersatu tenaga menewaskan BN dan membentuk kerajaan baru.Atas keperluan yang mendesak bagi menyelamatkan Malaysia daripada tangan para kleptokrat, Lim Kit Siang telah menghulurkan salam perdamaian kepada PAS.Beliau mengajak agar usaha menyelamatkan Malaysia ini diutamakan terlebih dahulu.Ia sepatutnya meletakkan agenda bersama barisan pembangkang negara - yang disokong oleh kebanyakan rakyat - lebih ke atas berbanding perkara-perkara lain.Malang sekali, salam perdamaian itu ditepis dengan kasar sekali. Dengan alasan Lim dan DAP anti-Islam. Sebelum ini tuduhan itu biasanya dilontarkan hanya oleh Umno.Namun, apakah sebenarnya keutamaan pembangkang ketika ini?Sebagai seorang yang pernah berada dalam kelompok usrah PAS dan mengalami sendiri tarbiyah parti itu di kampus, saya masih ingat dalam tamrin demi tamrin kami, sering kali diselitkan bahawa menentang pemimpin zalim itu adalah keutamaan gerak kerja siasah atau politik jemaah.Rakyat ingin tahuBerulang kali kami diingatkan bahawa Allah berfirman (bermaksud): ""Janganlah kamu cenderung kepada orang yang zalim yang menyebabkan kamu disentuh api neraka."" (Hud: 113)Malah sering diulang-ulang - baik ketika tamrin mahupun kuliah - kata-kata Sufyan at-Tsauri bahawa, tukang jahit baju pemimpin yang zalim itu sendiri termasuk dalam kelompok zalim.Jika diturut apa yang diajarkan itu, keutamaan PAS tentulah senada dengan seruan Lim iaitu untuk menyelamatkan negara dari kezaliman-kezaliman Umno dan BN.Apakah bagi PAS, Umno di zaman Najib sudah tidak zalim lagi meskipun pelbagai undang-undang mengarut digunakan untuk menekan pejuang-pejuang rakyat, manakala kleptokrat berleluasa menyamun kekayaan negara?Kerusi-kerusi DAP tidak akan terjejas teruk tanpa kerjasama dengan PAS pada pilihan raya akan datang. Namun atas jiwa besar dan mahu melihat pembangkang berada dalam satu saf yang kukuh atau sekurang-kurangnya mengelakkan pertembungan tiga penjuru, DAP menghulurkan salam perdamaian.Sekiranya PAS di Selangor boleh duduk dalam satu mesyuarat yang sama dihadiri DAP dan mengutamakan isu lebih penting dan dipersetujui bersama, tiada sebab mengapa perdamaian paling minimum tidak boleh dicapai di peringkat persekutuan ketika keperluannya jauh lebih mendesak.Apakah PAS Selangor tidak cukup PAS kerana masih sanggup duduk semeja - meski tanpa kerjasama politik - dengan mereka yang dituduh musuh Islam?Tentu rakyat ingin tahu, adakah PAS setuju bahawa Malaysia di bawah pemerintahan kleptokrasi?Adakah PAS mahu bersama blok pembangkang - termasuk DAP - untuk menentang kleptokrasi itu?Salam perdamaian sudah dihulur dan ditepis dengan tuduhan buruk dan menghina. Kini biarlah rakyat menghakimi, siapa yang menjunjung kepetingan rakyat dan negara, dan siapa pula yang tidak.EDRY FAIZAL EDRY YUSOF ialah Ahli Jawatankuasa DAP Selangor dan ahli Majlis di Majlis Perbandaran Selayang, Ini adalah pandangan peribadi penulis dan tidak semestinya melambangkan pendirian Malaysiakini"
homicidal85,20170131,Getting Started,Group: Junior Member,Posts: 139,200606,From: JB,janji orang kite...
s.c,20170131,New Member,Group: Junior Member,Posts: 42,201006,,'kleptokrasi' tu menatang apa?
billylks,20170131,Getting Started,Group: Junior Member,Posts: 89,201005,,No evidence maa
MsGaijin,20170131,New Member,Group: Junior Member,Posts: 29,200812,,"Mkini favourite disclaimer and they even warned fellow journalists to be professional and yet they failed to walk their own talk.https://www.facebook.com/tenteratrollkebang...laysia/?fref=nf» Click to show Spoiler - click again to hide... «Jangan putar belit berita, wahai Malaysiakini.Baru beberapa hari editor Malaysiakini menerbitkan artikel mengingatkan rakan media supaya jangan sebar maklumat palsu. Boleh baca di sini : http://www.malaysiakini.com/news/370572Walau bagaimanapun, Malaysiakini juga melakukan perkara yang sama. Dengan melakukan sedikit putar belit yang cuma melibatkan beberapa patah perkataan, Malaysiakini berjaya melakukan perkara yang sepatutnya dilakukan oleh media arus perdana lain, iaitu mereka kini sebaris dengan mereka, menjadi media propaganda pihak tertentu.Ini boleh dilihat bagaimana Malaysiakini melaporkan isu Hadi menolak pelawaan DAP untuk berkerjasama beberapa hari lepas yang juga kebetulan turut disiarkan penerbitan lain.Berita dari Malaysiakini yang bertajuk ""Hadi: DAP tidak, BERSATU mungkin"" yang boleh dicapai di pautan ini https://www.malaysiakini.com/news/370696 menunjukkan dengan jelas bagaimana Malaysiakini melakukan putar belit berita.Ini transkrip kenyataan Hadi, anda boleh dengar sendiri video dari Terengganukini di sini (https://www.youtube.com/watch?v=FM3k1VAu8E0) :""Dia (Lim Kit Siang) acap kali dah nak berbaik ini, keluar pun acap kali dah. Dia tidak ada tunjuk bukti yang dia terima secara positif, dia masih menentang Negara Islam termasuk Rang Undang-Undang (RUU) Akta 355 pun dia tak setuju. Itu benda yang berkait dengan prinsip, kita kena sedar. Sekadar untuk menang pilihan raya? Kita bukan nak menang pilihan raya sahaja, kita nak buat perubahan,” - Hadi Awang.Dan ini pula yang dilaporkan Malaysiakini, ""Hadi berkata, PAS berpendirian begitu kerana DAP masih* menolak Islam..""(*Malaysiakini melakukan typo pada versi asal, mereka menggunakan perkataan ""masing"". Sedangkan sepatutnya mereka menggunakan perkataan ""masih"", iaitu sama erti dengan versi english - ""still againt islam"" - TTKM)Dan ini Malaysiakini versi English :""The PAS president said DAP was ""still against Islam""....""Jika diteliti transkrip Hadi di atas, jelas maksud Hadi adalah LKS menolak Negara Islam- iaitu konsep perjuangan PAS, dimana perjuangan DAP adalah Malaysian Malaysia. Manakala RUU Hadi juga ditentang oleh LKS. Jadi perkara ini memang semua orang sudah tahu.Jadi di mana kenyataan Hadi yang mengatakan ""DAP masih menolak Islam""?Menolak konsep ""Negara Islam"" dan ""Menolak Islam"" adalah dua perkara yang sangat berbeza, agak pelik bagaimana perkara ini gagal difahami oleh Malaysiakini.Dengan melakukan putar belit yang cuma beberapa perkataan itu, akibatnya Lim Kit Siang panas punggung (butthurt) dan mengatakan beliau bukan anti-islam, sedangkan tiada pun dalam kenyataan Hadi yang menyatakan sedemikian. LKS kini menimbang untuk melakukan saman terhadap Hadi berhubung perkara ini.Untuk rekod juga, TTKM bukan pro-PAS, pro kerajaan atau pro pembangkang, atau atau pro-Amerika, atau pro-Yahudi, atau pro-Cina,atau pro-Soros, atau pro-liberal, atau pro-Syiah dan macam-macam “pro” lagi. TTKM cuma pro rakyat.TTKM juga pro laporan yang objektif, adil dan profesional.NOTA PENGARANG: Ya, artikel ini melambangkan pendirian rasmi TTKM.cc Malaysiakini Malaysiakini (BM Version) Dato' Seri Tuan Guru Haji Abdul Hadi Awang Lim Kit Siang (???)"
ashestoashes,20170131,New Member,Group: Junior Member,Posts: 26,200905,,dulu tendang2 PAS macam anjingsekarang...
joe_mamak,20170131,Casual,Group: Junior Member,Posts: 333,200612,,Not going to get into the stuff you posted in the spoiler. You should start a thread on that.  But what is wrong with the disclaimer?  This is the Edry's personal views.  MalaysiaKini also publishes views from BN. The articles are not written by MalaysiaKini reporters.
MsGaijin,20170131,New Member,Group: Junior Member,Posts: 29,200812,,"Yeah I do agree with their right to use dislaimer, but the irony to publish an individual review which was initially a respond to their own set of articles is kinda funny itself."
ikankering,20170131,New Member,Group: Newbie,Posts: 3,201701,,next time don't vote pas.
Toyoi,20170202,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,TPM buka ruang seluas-luasnya pada SPRM untuk siasat ahli politik27 Jan 2017https://forum.lowyat.net/topic/4184815
Toyoi,20170322,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"22Mar17 : Breaking News from WSJ WallStreetJ22 Mar 2017https://forum.lowyat.net/topic/4230715...U.S. authorities intend to file criminal charges against a financier in connection with an international scandal rooted in Malaysia that they believe could be one of the largest financial frauds ever, according to people familiar with the matter.Report: US preparing criminal charges against Jho LowMkini 22 Mar 2017 SoS...Plans involve charges of wire fraud and money-laundering against Low and some of his associates, WSJ quotes sources....The United States authorities are preparing to file criminal charges against Penang-born billionaire Low Taek Jho, better known as Jho Low, for involvement in what they believe to be ""one of the largest financial frauds in history""."
ikankering,20170322,New Member,Group: Newbie,Posts: 3,201701,,hudud first.economy no.100pas mentality.
Pete the great,20170322,Getting Started,Group: Junior Member,Posts: 204,201307,,The only person is pas working is tuan ibrahim n that guy in kedah The rest too focus on the religous issues instead of national issues
bangaubagus,20170322,Getting Started,Group: Junior Member,Posts: 162,201608,,"""Fool me once, shame on you.Fool me twice, shame on me.""Bodo do you think PAS would ever be in bed again with someone who shitted in his front door, split his family and step on his face?LKS/ DAP can talk cock and fly kite until world end also PAS wont budge one.Better for PAS to be alone and become king maker, whoever gives most will get PAS support, like what Likud party did.This Edry also bodo duduk dalam longkang, want to politik but office politik also cannot understand, that y opposition is always splintered. Bodo duduk longkang pon sudah bagus for this guy, asking rhetoric question but not understanding the crux of the problem in the first place."
natamhanjing,20170322,Getting Started,Group: Junior Member,Posts: 69,200907,,Pas lawan la ni. Both BN and Dap
Toyoi,20170323,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,PRU14: Adakah PAS masih relevan di Kelantan?23 Mar 2017https://forum.lowyat.net/topic/4231866
