Topic title: Ex law minister Zaid set to join DAP  sources say,"Topic posted on: 03 Feb 2017, 10:46:00",Topic link: https://forum.lowyat.net/topic/4188498,"Topic scraped on: 02 Aug 2017, 03:28:53",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/371256MalaysiaKiniEx-law minister Zaid set to join DAP, sources say3 February 2017Former law minister Zaid Ibrahim looks set to make a return to active politics, for the third time since quitting Umno.Though the former Kota Bharu lawmaker is keeping his cards close to his chest, sources claimed he would be joining DAP.For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in.  Incoming scorn from the other side."
MR_alien,20170203,Mr.Alien on the loss,Group: Senior Member,"Posts: 2,021",200710,From: everywhere in sabah,"For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in."
yeelong,20170203,K for /K,Group: Senior Member,"Posts: 1,168",200707,"From: Sibu, Cheras Selangor",lalang la tu oran
~Sherlock~,20170203,New Member,Group: Junior Member,Posts: 39,201010,,Join ma join lor. Not like grassroot Malays really like him in the 1st place.
Big Balls Jackson,20170203,New Member,Group: Junior Member,Posts: 7,201402,,BARUAH DAP
khelben,20170203,I love my mum & dad,Group: Senior Member,"Posts: 5,819",200301,From: Suldanessellar,Why Malay join Chinese party
Jas2davir,20170203,Casual,Group: Junior Member,Posts: 388,200710,From: Kuala Mud,"For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in.as if im going to pay money to be fed propaganda."
slimey,20170203,,Group: Senior Member,"Posts: 4,874",200704,,what salt zaid have with umno?
rayzy22,20170203,Casual,Group: Junior Member,Posts: 386,200611,"From: Sri Kembangan, Putrajaya, K.Terengganu, Butterworth",Just give him sure win post and constituency...surely he join
ikankering,20170203,New Member,Group: Newbie,Posts: 3,201701,,"dap ,pas no no no.bn yes.hidup umno!"
natamhanjing,20170203,Getting Started,Group: Junior Member,Posts: 69,200907,,"if pay rm150 more, later only add extra paragraph how?"
JRocket,20170203,New Member,Group: Newbie,Posts: 3,201409,,bayarlah. kami mahukan cerita penuh!!!
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,You can get access for one whole year.  No rugi one.
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,You bayarlah sendiri.
COOLPINK,20170203,Getting Started,Group: Junior Member,Posts: 248,201010,,copy paste fail....
patt_sue,20170203,Enthusiast,Group: Senior Member,Posts: 792,200502,,umno>pkr>kita>dapcan fight with ibrahim ali
SushiBurgerX,20170203,Casual,Group: Junior Member,Posts: 418,201008,,TS go dai. I don't want to pay RM150.
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,Cannot.  He need to join PAS first.
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,"Don't want, don't want lah.  No one forcing you.  No need to tell me to go dai. Chinese New Year somemore....tsk-tsk."
jonn zee,20170203,Getting Started,Group: Junior Member,Posts: 228,201107,,"For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in."
Blofeld,20170203,Look at all my stars!!,Group: Senior Member,"Posts: 2,445",201203,,can share ID and password?
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,Cannot.
