Topic title: MCA might shoot their own foot this time  for,"Topic posted on: 03 Feb 2017, 14:14:00",Topic link: https://forum.lowyat.net/topic/4188668,"Topic scraped on: 02 Aug 2017, 03:29:32",
username,date,avatar_title,group,post_count,join_date,from,text
gsem984,20170203,Getting Started,Group: Junior Member,Posts: 126,201510,,"what if there is no such formula in the first place....MCA today urged the government to disclose the formula on fuel price calculation to prevent the opposition from misleading the public.Publicity bureau deputy chairperson Lau Chin Kok said the government needs to handle the fuel price increase issue in an open and transparent manner, so that the opposition ""will not have a chance to distort the facts"".""After the recent increase in fuel prices, the public may start to believe hearsay. This will eventually lead the whole issue to be spun out of control.""There are opposition leaders disguised as experts and give irresponsible comments. This has caused great harm to the government,"" Lau claimed in a press statement.Read more: https://www.malaysiakini.com/news/371294#ixzz4XbGelg5s"
teehk_tee,20170203,#crushingit ?,Group: Senior Member,"Posts: 5,201",200504,From: KUL/BKK/HKG/JKT,your master ask u diam diam sit down and jgn persoal then u diam 7 la better.
lorrydriverrocks,20170203,Getting Started,Group: Junior Member,Posts: 187,201405,,MCA lawan boss ke
Toyoi,20170203,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,Huehuehuehuehue::::
MR_alien,20170203,Mr.Alien on the loss,Group: Senior Member,"Posts: 2,021",200710,From: everywhere in sabah,there is no formula in the first place.....its based on saya suka saya naik formula
harrychoo,20170203,Look at all my stars!!,Group: Senior Member,"Posts: 3,586",200503,From: Bolehland,"makin biadap mca ni, umno suruh u diam, u jgn menyalak"
keny2020j,20170203,Getting Started,Group: Junior Member,Posts: 276,200906,,the formula is oil price base on rosmah target - (najib wallet + bank account)
neoFluidic,20170203,New Member,Group: Junior Member,Posts: 47,201408,,Hahaha it's so obvious the gov dun wanna exposed ....mca jadi hero bagus
joe_mamak,20170203,Casual,Group: Junior Member,Posts: 333,200612,,Huehuehue.....later BN Strategic Communications Team fire at MCA like how they fire at Tony Pua and Azizah.
siaoand1,20170203,Getting Started,Group: Junior Member,Posts: 164,201010,,"lagi jawab tambah terukumno belum cakap, mca pula jawab"
bereev,20170203,Getting Started,Group: Junior Member,Posts: 53,201112,,"diam lah , boss mkm nasi lemak at kuala selangor"
samftrmd,20170203,Interface 2037,Group: Senior Member,"Posts: 1,403",200711,From: Planet Earth,tak keluar gaji lagi ke?
Toyoi,20170203,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"Reveal how fuel prices calculated, economists urge Putrajaya2 Feb 2017https://forum.lowyat.net/topic/4187825"
