Topic title: Charge sex offenders again  says MCA s Heng,"Topic posted on: 04 Feb 2017, 17:51:00",Topic link: https://forum.lowyat.net/topic/4189577,"Topic scraped on: 02 Aug 2017, 03:28:34",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170204,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.thestar.com.my/news/nation/2017...says-mcas-heng/The StarSaturday, 4 February 2017Charge sex offenders again, says MCA’s HengPETALING JAYA: The principles of double jeopardy should not apply for sex offenders, to keep them away from children and underage girls, says Wanita MCA chief Datuk Heng Seai Kie.Commenting on what she called outrage and anxiety among Malaysians over the deportation of convicted serial rapist Selva Kumar Subbiah from Canada back to Malaysia, she said Wanita MCA wanted the double jeopardy clause waived for such offenders, especially paedophiles.Double jeopardy is a procedural defence that disallows an accused person from being tried again on the same or similar charges and on the same facts, following a valid acquittal or conviction.“Wanita MCA is gravely concerned that Selva Kumar may end up as another Richard Huckle roaming and lurking on our streets, in particular, among the illiterate and destitute,” she said in a media statement yesterday.Owing to this, she said “although they have served time behind bars abroad for offences committed overseas, they must face similar charges and conviction on home soil”.While acknowledging that the Inspector-General of Police Tan Sri Khalid Abu Bakar’s assurance that police will keep tabs on Selva Kumar, Heng said there are no laws to restrict his movement.“We recommend that legislation be enacted to disallow convicted rapists, sexual molesters, paedophiles, in short, any sex offender, from being in the same enclosed premises with underage children,” she said.Datuk Heng Seai KieShe added that the law should also include a restraining order to ensure convicted sex deviants maintain a minimum distance from their victims.Heng noted that there could be circumstances to allow freedom of movement of such offenders in specific places only under supervision of appointed officers.“Where necessary, sex offenders should be made to wear a tracking device,” she said, adding that sex grooming of minors must also be made a crime.Wanita MCA recommended that courses be conducted in upper primary or lower secondary schools to teach students to be alert for signs of sexual grooming.Heng also called for the implementation of the Sex Offenders’ Registry but cautioned that society must not resort to vigilantism once they discover a sex offender in their midst.Selva Kumar will be back in the country in two days after serving a 24-year prison sentence for sexually assaulting dozens of women in Toronto."
azhan82,20170204,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,Fixed...
chinti,20170204,Journey to become a great Cosgrapher,Group: Senior Member,"Posts: 1,159",200808,From: My Fantasy World,"Yea, put a bracelet gps on their dick."
blueblueoutofblue,20170204,Enthusiast,Group: Senior Member,Posts: 878,201112,,I tot can detention without trial ?
99FoxDemon,20170204,New Member,Group: Junior Member,Posts: 19,200603,From: East Coast of Cuba.,have his face picture??
joe_mamak,20170204,Casual,Group: Junior Member,Posts: 333,200612,,What she is suggesting isn't right.
idoblu,20170204,Lazada Investigation Unit,Group: Senior Member,"Posts: 8,058",200802,,castrate him lah
L_nette,20170204,New Member,Group: Junior Member,Posts: 37,201311,,Lol tracking device. How to stick it? Staple to the balls?
deejay_krish,20170204,You're Just Another Part Of Me,Group: Senior Member,Posts: 809,200507,From: Neverland,
joe_mamak,20170206,Casual,Group: Junior Member,Posts: 333,200612,,"Another one who's suggestion isn't right.  http://www.malaysiakini.com/news/371497PKR echoes MCA’s urging to jail returning serial rapist6 February 2017PKR Wanita chief Zuraida Kamaruddin has urged that convicted serial rapist Selva Kumar Subbiah be arrested on arrival in Malaysia.“Selva should be detained immediately when he lands on Malaysian soil.“For the sake of all women and children, this man should be under lock and key and not be allowed to roam the streets,” she said in a statement last night.For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in."
neoexcaliber,20170206,Getting Started,Group: Junior Member,Posts: 67,200501,,Creating an exception under the law? Then they argue against having 2 sets of law in the country.
aliesterfiend,20170206,Enthusiast,Group: Senior Member,Posts: 712,200803,,Dia dah insap tu. Berapa lama dah dalam jel. He wont probably be interested in girls/women nowadays.
incubus_skj,20170206,Casual,Group: Junior Member,Posts: 384,200902,,macam mirip je
joe_mamak,20170208,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.freemalaysiatoday.com/category/...at-convictions/‘Dangerous’ MCA proposal means no end to repeat convictionsFMT Reporters | February 4, 2017It's also unconstitutional to charge someone for the same offence twice, says DAP MP about the proposal to charge a Malaysian serial rapist here after he has already served his time in Canada for convictions there.PETALING JAYA: A proposal from MCA for convicted serial rapist Selva Kumar Subbiah and other sex offenders to face charges for the same offence twice has been shot down by DAP MP Ramkarpal Singh.In a statement, Ramkarpal, a lawyer, said such a move was not only unconstitutional but also dangerous “as this may be abused and may result in repeated convictions of offenders for the same offence with no end in sight”.Yesterday, Wanita MCA chief Heng Seai Kie called for a new law which would see sex offenders who committed their crimes overseas to be tried in Malaysia as well.She said this when commenting on the return of Malaysian Selva Kumar. The 56 year-old, dubbed “Canada’s worst rapist”, will return to Malaysia from Canada this weekend after spending 24 years in jail there.Ramkarpal said there was no doubt that sexual offences are possibly “the most heinous of crimes” which should be severely punished but Heng’s suggestion can’t be entertained as it went against Article 7 (2) of the Federal Constitution.Article 7 (2) of the Federal Constitution states that “a person acquitted or convicted of an offence shall not be tried again for the same offence except where the conviction or acquittal has been quashed and a retrial ordered by a court superior to that by which he was acquitted or convicted”.This rule – known as double jeopardy – was a constitutional guarantee that no one could be tried for the same offence twice.Ramkarpal said abolishing the double jeopardy rule required a constitutional amendment.“Heng and the MCA should concentrate on efforts to avoid the recurrence of sexual offences such as, perhaps, the introduction of a national registry of sex offenders or placing tracking devices on repeat offenders to ascertain their whereabouts.“There can be no doubt that all parties, regardless of political affiliation, would be united in such a cause but demanding the abolishment of the rule against double jeopardy is certainly a step in the wrong direction.”Selva Kumar returns to Malaysia as a free man this weekend but the police have said they would monitor him."
joe_mamak,20170208,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/371567Wanita MCA: DAP MP's 'defence' of serial rapist regrettable6 Feb 2017Wanita MCA has rebuked Bukit Gelugor MP Ramkarpal Singh for dismissing its proposal to charge serial rapist Selva Kumar Subbiah a second time for the offences he was convicted of in Canada.Its chief Heng Siai Kie in a statement said it was regrettable that the DAP MP had defended Selva and instead diverted Wanita MCA's intention to safeguard would-be victims irrespective of gender as contravening the Federal Constitution.""If Wanita MCA’s urgings are seen as ultra vires to the Federal Constitution, then DAP must similarly Rocket to blitz Wanita PKR chairperson Zuraida Kamaruddin as likewise breaching the Federal Constitution...,"" said Heng who cited Zuraida's proposal last night for Subbiah to be arrested upon arrival from Canada where he had served a 24-year prison sentence.For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in.Beh tahan this woman."
