Topic title: Satay najib   ,"Topic posted on: 09 Feb 2017, 23:24:00",Topic link: https://forum.lowyat.net/topic/4193766,"Topic scraped on: 02 Aug 2017, 03:28:24",
username,date,avatar_title,group,post_count,join_date,from,text
KannaSai1,20170209,Look at all my stars!!,Group: Senior Member,"Posts: 6,351",201006,"From: Today, 00:00 AM",Najib will buy or not ?
silent_stalker,20170209,Enthusiast,Group: Senior Member,Posts: 820,201204,,"Actually losmah when she was young, quite good looking yo"
beetch,20170209,Getting Started,Group: Junior Member,Posts: 230,200301,,U mata ada setem.
rabbitman5555,20170209,New Member,Group: Newbie,Posts: 0,201610,,She is a gem yo.... i guess she also help her husband alot to
silent_stalker,20170209,Enthusiast,Group: Senior Member,Posts: 820,201204,,
GOPI56,20170209,Casual,Group: Junior Member,Posts: 460,201212,,Rosmah is Najib's second wife.
Arata,20170209,New Member,Group: Newbie,Posts: 1,201607,,
darosha,20170209,Casual,Group: Junior Member,Posts: 382,200301,"From: UM, KL, PJ, 14",no lahnajib divorced his 1st wife to be with rosmahwhere got loyal one
haroldz123,20170209,Enthusiast,Group: Senior Member,Posts: 759,200805,,"When he was defense minister, got rumour he kena tangkap basah with stewardess turned singer...Rumour je so dont belip 100%"
cikalakacikaci,20170209,Getting Started,Group: Junior Member,Posts: 69,201306,From: kl.klang.,good old time babylets piapowai
ashestoashes,20170209,New Member,Group: Junior Member,Posts: 26,200905,,they said it was in PDas someone from PD we all       slander is easier now because we have so many free media
EarendurFefalas,20170210,Getting Started,Group: Junior Member,Posts: 88,201209,,if not mistaken got even better picture than that. but lazy find
RGRaj,20170210,New Member,Group: Junior Member,Posts: 40,201304,,The reverse is oso tru.
KannaSai1,20170210,Look at all my stars!!,Group: Senior Member,"Posts: 6,351",201006,"From: Today, 00:00 AM",What happen to her? She plastic phailed ka?
spamfish,20170210,Getting Started,Group: Junior Member,Posts: 142,200705,From: Penang,najib setia pada rosmah?...lol more like she got something holding his bola la...
stupiak07,20170210,Getting Started,Group: Junior Member,Posts: 214,200710,"From: broken heart land, single forever~",Why kena cucuk macam satay
StarScream01,20170210,Getting Started,Group: Junior Member,Posts: 53,201102,,"The question is, what happened?"
pakmulau,20170210,Getting Started,Group: Junior Member,Posts: 128,201603,,yeah lebih cantik than adira or fashaespecially during her time at UM
shelby_yong,20170210,On my way,Group: Senior Member,Posts: 541,200906,,najib is rosmah husband ke berapa?
maxpudding,20170210,New Member,Group: Junior Member,Posts: 46,200703,,Second also
SliparJepun,20170210,Getting Started,Group: Junior Member,Posts: 87,201306,,This?
kakiberbulu,20170210,New Member,Group: Newbie,Posts: 2,201106,,
shelby_yong,20170210,On my way,Group: Senior Member,Posts: 541,200906,,"if not mistaken, is 3rd"
jGuyz,20170210,New Member,Group: Junior Member,Posts: 14,201002,From: ????,Botol Nasik troopers inkambings
stephankaan,20170210,Getting Started,Group: Junior Member,Posts: 128,200503,,lawak hambar
maxpudding,20170210,New Member,Group: Junior Member,Posts: 46,200703,,Farid is not her second husband liao
mousqy,20170210,Casual,Group: Junior Member,Posts: 492,200808,,satay jibby mahal tapi senang beli daging kepit takde tulang belakang
Amuro_Ray,20170210,New Member,Group: Junior Member,Posts: 41,201304,From: Londo Bell,some say its belak majik
