Topic title: Trump backs One China policy,"Topic posted on: 10 Feb 2017, 16:00:00",Topic link: https://forum.lowyat.net/topic/4194192,"Topic scraped on: 02 Aug 2017, 03:28:23",
username,date,avatar_title,group,post_count,join_date,from,text
Lumiaaa,20170210,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,"US President Donald Trump has agreed to honour America's ""One China"" policy in a phone call with Chinese president Xi Jinping, the White House said.The ""One China"" policy is the diplomatic acknowledgement that there is only one Chinese government.Mr Trump had placed the long-standing policy in doubt when he spoke with Taiwan's president in December.Previous US leaders have followed China's lead in not recognising Taiwan as an independent nation.Under the ""One China"" policy, the US recognises and has formal ties with China rather than the island of Taiwan, which China sees as a breakaway province to be reunified with the mainland one day.The White House said the two leaders discussed a wide range of issues during a lengthy call on Thursday night.A statement described the call as ""extremely cordial"" and said the two leaders had invited each other to visit.The call followed a letter sent by Mr Trump to Mr Xi on Thursday - the president's first direct approach to the Chinese leader.Mr Trump baited China throughout his campaign, accusing it of unfair trade practices and threatening to challenge its military build up in the South China Sea.Beijing responded cautiously, expressing ""serious concern"" about Mr Trump's position on the One China policy and urging the US to maintain close ties with China."
doppatroll,20170210,Getting Started,Group: Junior Member,Posts: 133,201309,,Trump now also hand down....sked of china....heil china
Vape [On],20170210,Regular,Group: Senior Member,"Posts: 1,069",201511,,I swear i saw 1 child policy there
xperiaDROID,20170210,Dahnald Trump,Group: Senior Member,"Posts: 1,572",201406,"From: KL, Mahresia",Heil China!
news channel,20170210,New Member,Group: Newbie,Posts: 0,201607,,Even China won't believe Trump words. kekekekekekekeke
TreyLey,20170210,Getting Started,Group: Junior Member,Posts: 249,201103,From: CCCP SARAWAK,China so powerful even scared of Taiwan The irony
duckhole,20170210,Casual,Group: Junior Member,Posts: 339,200603,,"Cambodia also never recognize taiwan as a country. It is illegal to put taiwan flags here. and any events by taiwan people using their flag also illegal.This is why cambodians are not granted tourists visa to visit taiwan, banned, lol."
danielmckey,20170210,Casual,Group: Junior Member,Posts: 367,200801,,"As usual, US will said many things in the past... But it is not a formal signing and only in verbal talk. They will secretly run on the back door to support Taiwan in any way for the Democracy..."
Min Hyo,20170210,Getting Started,Group: Junior Member,Posts: 194,200910,,U-Trump policy.
ihatemynahs,20170210,New Member,Group: Junior Member,Posts: 33,201012,"From: Kota Tinggi, Johor",trump test water and try to gain leverage jerbut he bodo indirectly show his allies their posititon can b negotiated away when it benefits USnao we know y putin wants him in the white haus
