Topic title: War Of Words Erupts Between DAP s Teng And Liew,"Topic posted on: 13 Feb 2017, 13:24:00",Topic link: https://forum.lowyat.net/topic/4196129,"Topic scraped on: 02 Aug 2017, 03:27:04",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170213,New Member,Group: Newbie,Posts: 0,201208,,"(From left) The four who quit DAP Sunday are Sim Tong Him, Goh Leong San, Lim Jack Wong and Chin Choong Seong. It is “highly inappropriate” to say that the four DAP leaders from Malacca quit the party because they lost in the party elections, said Datuk Teng Chang Khim.The Selangor DAP vice-chairman said that the party election was sometime ago and that some of the four had been suspended for a year before quitting.“It is not a sincere to say ‘thank you’ by claiming that they have left the party after losing in the election,” said Teng, who is also Sg Pinang state assemblyman.He was responding to a statement by DAP central executive committee member Liew Chin Tong who said the four DAP leaders from Malacca quit the party because they lost in the party elections that was held in December, 2015.On Sunday, Kota Melaka MP Sim Tong Him and three state assemblymen dropped a bombshell by quitting the party.Sim said the four quit because the DAP now has no proper direction and that it has deviated from its core objectives.The other three who quit are former Malacca DAP chairman Goh Leong San (DAP-Duyong), Lim Jak Wong (DAP-Bachang) and Chin Choon Seong (DAP-Kesidang).“Liew has also forgotten that most of them are far more senior than him in the party struggle,” said Teng.http://www.thestar.com.my/news/nation/2017...ohxEJvVgrfBm.99"
eksk,20170213,Casual,Group: Junior Member,Posts: 382,200410,,"of course Teng will say something, he and Guan Eng don't get along hehehe"
bereev,20170213,Getting Started,Group: Junior Member,Posts: 53,201112,,Thanks to the fallen hero.
MsGaijin,20170213,New Member,Group: Junior Member,Posts: 29,200812,,And another krik...krik...krik... thread~
alexcky,20170213,business Sifu,Group: Senior Member,Posts: 754,200711,,I wonder how much donation these four receive?
and85rew,20170213,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,Traitor !!!
unknown warrior,20170213,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,They resign because cannot accept Mahathir and Parti Pri-Bumi.that's all.
Danielle Lav,20170213,Getting Started,Group: Junior Member,Posts: 85,200810,,sim tong him can work one lei.. his resignation is a loss
Vape [On],20170213,Regular,Group: Senior Member,"Posts: 1,069",201511,,Unlike you la.You are paid.You think people here really get paid to talk good about dap?Bodo la ko.I never even voted DAP before.How? Inbe4 you also never voted bee end before
azhan82,20170213,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,"Sim said the four quit because the DAP now has no proper direction and that it has deviated from its core objectives.someone should really ask, what are DAP's so called Core Objectives...Only then we can judge these people accordingly..."
ZeroSOFInfinity,20170213,New Member,Group: Junior Member,Posts: 38,200510,,"DAP in turnmoil. PKR contemplating whether to remain in PH, or ally with PAS, and Amanah is new and untested. While Primbumi is just another UMNO in disguise.Guess Dear Leader Bijan will become emperor for life."
FauxHawk,20170213,Ryohei <3,Group: Senior Member,"Posts: 1,311",200609,From: Selangor,You really think there is a political party that doesn't pay people to help maintain a good online presence for the party?
MsGaijin,20170213,New Member,Group: Junior Member,Posts: 29,200812,,"""You are paid""~ ""I never even voted DAP before""~""How?""No correlation and mudah terasa~""Bodo la kau"" seems to suit you more, o dear retard~"
aLittleMisfit,20170213,Honorary Lifetime Misfit,Group: Senior Member,Posts: 788,200606,From: MSG Land,this... most old timer malaccan still prefer him
DarkNite,20170213,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,“The enemy of my enemy is my friend” and one wonder how these four can become politicians?
MilitaryMadness,20170213,New Member,Group: Newbie,Posts: 0,201010,From: Over your shoulder,"Cina sama cina gaduh, melayu tepuk tangan."
TheHitman47,20170213,Regular,Group: Senior Member,"Posts: 1,000",200909,From: In Your Mind,agenda BN menjatuhkan chinks
Strike,20170213,New Member,Group: Junior Member,Posts: 34,200301,From: KL,agenda madey menjatuhkan dapig oh wai
khelben,20170213,I love my mum & dad,Group: Senior Member,"Posts: 5,819",200301,From: Suldanessellar,And the plot thickens!
