Topic title: MACC probes GM for giving RM1 million in projects,"Topic posted on: 16 Feb 2017, 01:37:00",Topic link: https://forum.lowyat.net/topic/4198291,"Topic scraped on: 02 Aug 2017, 03:27:03",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170216,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.freemalaysiatoday.com/category/...to-wifes-firms/MACC probes GM for giving RM1 million in projects to wife’s firmsBernamaFebruary 15, 2017He is believed to have abused his power in the government agency to give 50 projects to his wife's companies.KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) has arrested a general manager of a government agency here on suspicion of having abused his power in giving over 50 projects worth almost RM1 million to two companies belonging to his wife.According to a source, the 62-year-old suspect was picked up at his office at 11am today.“The two companies belonging to his wife were established in 2010 and 2015.“The suspect was believed to have abused his power since he was appointed as the agency’s deputy general manager in 2014 before he was promoted to general manager in September 2016,” he told Bernama here today.The source said the suspect was also believed to be involved directly in the request for quotation process, based on the agency’s prescribed procurement procedures, while having the officer-in-charge approve all payments to his wife’s company.“The MACC has also carried out inspections on the general manager’s office and house, as well as his wife’s companies in the city.“We have also seized several documents related to the projects awarded to his wife’s companies for further investigations,” he said.MACC Investigation Department director Simi Abd Ghani, when contacted, confirmed the arrest."
RicoT,20170216,Getting Started,Group: Junior Member,Posts: 75,200902,,Mass immediate migration of kronies family inkambing.
KLboy92,20170216,Getting Started,Group: Junior Member,Posts: 50,201508,From: Cherasboy,"1 million? Pocket changeAnybody in the industry can testify how incredibly inflated the ""markup"" has become since BijanInb4 tongsimen inkambing"
MasBoleh!,20170216,Regular,Group: Senior Member,"Posts: 1,079",200906,From: MYBoleh.NET,Bijan? Ohh.. reminded me of NS last time
Azurues,20170216,????,Group: Senior Member,Posts: 934,200708,From: forum.lowyat.net,lul what's new
adren1,20170216,New Member,Group: Junior Member,Posts: 49,200811,From: P.J,what is gm?
olman,20170216,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,general maid
automan5891,20170216,New Member,Group: Junior Member,Posts: 16,200909,,macc so hardworking suddenly. Victims are Mahathir cronies?
KLboy92,20170216,Getting Started,Group: Junior Member,Posts: 50,201508,From: Cherasboy,"MRTAnd the new Mrdeka parkPlus that bodoh tower... apa nama dahWhy dyou think they so eager to do the project? ""Demi maruah + kemajuan negara"" ke.... ptui"
MasBoleh!,20170216,Regular,Group: Senior Member,"Posts: 1,079",200906,From: MYBoleh.NET,MRT still boleh tolerate since public are benefited from itThe rest..literary..
Mr. Najib Razak,20170216,Getting Started,Group: Junior Member,Posts: 67,201606,,Ah yelah If not demi apa?
kcchong2000,20170216,New Member,Group: Newbie,Posts: 3,200901,,Nama GM? Always takde nama one
Vape [On],20170216,Regular,Group: Senior Member,"Posts: 1,069",201511,,Kalau tak songlap mana nak kaya?
bereev,20170216,Getting Started,Group: Junior Member,Posts: 53,201112,,"why so stupid give money , buy LV branded hand bag lah , invite oversea to shopping mah  btw just another"
L_nette,20170216,New Member,Group: Junior Member,Posts: 37,201311,,Nice. Catch small fish is de best
SliparJepun,20170216,Getting Started,Group: Junior Member,Posts: 87,201306,,ikan bilis
azbro,20170216,Look at all my stars!!,Group: Senior Member,"Posts: 4,010",200701,From: Johor Bahru,Rm1Mil?I'm disappointed at his performance.
ohhisee,20170216,Getting Started,Group: Junior Member,Posts: 51,200901,,50 projects for just 1Mil? bad songlap performance..members of songlap society will laughing hard to them..
alieN_005,20170216,New Member,Group: Newbie,Posts: 1,200812,,bilis semua masuk pukat.just to make some news so people forget about the whale
kurangak,20170216,certified /k addict,Group: Senior Member,Posts: 701,201104,From: here and there,"x-H1T7ny2Uwkesian...orang baru start songlap 3 tahun, untung xsampai sejuta dh kena tangkap...vuba belajar dari sorg tu... rm42 million, yg org tau, ntah berapa bilion yg org xtw, dh bertahun songlap tak kena tangkap2 lg, siap org puji lagi dia tiap2 hariowait"
alexcky,20170216,business Sifu,Group: Senior Member,Posts: 754,200711,,Donate project ape sarah lge
Toyoi,20170216,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,if donuts to wife tabuli kah ??
loki,20170216,Regular,Group: Senior Member,"Posts: 1,602",200301,"From: Damansara Damai, PJ",kes lembu pun tak kena tangkap..
homicidal85,20170216,Getting Started,Group: Junior Member,Posts: 139,200606,From: JB,nice to see MACC doing their work. good job MACC! keep up the good work! Bring these low-lifes to justice!!!
neoFluidic,20170216,New Member,Group: Junior Member,Posts: 47,201408,,ikan bilis
Cruxs,20170217,On my way,Group: Senior Member,Posts: 528,200506,,GM = game master
sakuraba,20170217,Getting Started,Group: Junior Member,Posts: 153,201012,,"good with MCMC action but what about the impeachment ? sport ministry , Sabah  water , dbkl why so quiet ??"
mamata,20170217,better get laid early then regret later on,Group: Senior Member,Posts: 684,200605,,Ini menunjukkan kerajaan barisan Nasional telus dalam membenteras jenayah.Bukan seperti pembangkang yang hanya tahu mencanang di media sosial berkenaan rasuah
