Topic title: Demo RUU355 pictures,"Topic posted on: 18 Feb 2017, 10:21:00",Topic link: https://forum.lowyat.net/topic/4200015,"Topic scraped on: 02 Aug 2017, 03:26:36",
username,date,avatar_title,group,post_count,join_date,from,text
darius!,20170218,New Member,Group: Junior Member,Posts: 9,201609,,
silent_stalker,20170218,Enthusiast,Group: Senior Member,Posts: 820,201204,,Belum. Depa tgh gi bank cashkan voucher br1m dulu
HJ_Ishimori,20170218,New Member,Group: Junior Member,Posts: 35,201610,From: Kuala Lumpur (Malaysia) | Ashikaga (Japan),Orang takda turun..pi bank cek brim..hahaha..duit penting dari demo..demo bukan budaya kita (version BN)..
smallcrab,20170218,Getting Started,Group: Junior Member,Posts: 82,200707,From: Puchong,BR1M>all
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,2:30pm
darius!,20170218,New Member,Group: Junior Member,Posts: 9,201609,,"amboi, Kelantan bagi cuti supaya ramai ""sek kito"" mari KL"
Wan,20170218,Glory Hunter,Group: Elite,"Posts: 4,118",200301,From: Gua,Bodo ni sabtu morning pon busy. How much they pay you?
JessicaAlba,20170218,Getting Started,Group: Junior Member,Posts: 58,200910,,just search hashtag 355 berlambak gambo kuar....
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,"Najwa ARNajwa AR BALING - Bekas Ketua Kumpulan Mujahidin Malaysia( KMM) hari ini memulakan kayuhan basikal secara solo dari Masjid Pekan Baling ke Padang Merbok, Kuala Lumpur bagi menyatakan sokongan terhadap Himpunan Raksasa 355, Sabtu ini.Zainon Ismail, 60, berkata, kayuhan menggunakan mini basikal jenis B 201 dijangka tiba di Padang Merbok pagi hari himpunan.""Usaha kayuhan ini lebih kepada menyedarkan umat Islam agar turun ke H355 sabtu selain merayu kepada seluruh ahli parlimen Islam untuk menyokong usul Rang Undang-Undang (RUU) 355 apabila dibentang nanti.""Bermula dari Baling saya akan melalui jalan Gerik dan mungkin akan bermalam di Masjid Felda Lawin, Gerik Perak malam ini. Pagi esok selepas subuh saya akan bergerak mengikut melalui jalan Pekan Kati ke Sungai Siput dan seterusnya menuju ke Lebuh Raya Jelapang,"" katanya di Masjid Pekan Baling, hari ini.Terdahulu, Zainon dengan berbekalkan buah kurma, madu dan air mineral memulakan kayuhan pada jam 10 pagi.Menurutnya, latihan diambil bagi melaksanakan misi kayuhan ini adalah selama dua bulan dengan mendaki dan menuruni bukit.""Latihan mendaki dan menuruni bukit Gadong di Kampung Kuala Kedua Mukim Siong selama dua bulan diharap membantu meningkatkan daya ketahanan fizikal.""Kayuhan saya turut diiringi semangat seruan perang Tabok di zaman Rasulullah, semangat jihad sewaktu berperang di Afhganistan 1988 serta semangat istiqamah ustaz Ibrahim Libya dalam menegakkan syiar Islam,"" katanya.Beliau yang bekas tahanan Akta Keselamatan Dalam Negeri( ISA) 2001-2006 berkata, tazkirah penjelasan RUU 355 akan diadakan di setiap masjid disinggahi .""Sesuai dengan matlamat kayuhan, saya akan adakan tazkirah mengenai kepentingan melaksanakan RUU 355 kepada umat Islam,""katanyaKatanya lagi, dia bersedia melakukan kayuhan dari Kuala Lumpur ke Baling sekiranya pelaksanaan RUU 355 diluluskan dalam Dewan Parlimen.""Itu adalah cara saya mengucapkan terima kasih kepada ahli parlimen dan kerajaan Malaysia,"" katanya .Sementara itu, isteri, Siti Rokiah Hassan, berkata, misi kayuhan suaminya hanya diketahui saat-saat akhir.""Saya dan keluarga tidak menyangka dia akan melakukan kayuhan secara berseorangan, mohon doa seluruh masyarakat agar perjalanannya pergi dan balik selamat,""katanya.Bagi pihak berminat untuk mendengar pencerahan RUU 355 di lokasi persinggahan, boleh hubungan Zainon Ismail di talian 013-4405713.https://www.facebook.com/thesiakapkeli/phot...?type=3&theater"
RGRaj,20170218,New Member,Group: Junior Member,Posts: 40,201304,,"""Kayuhan saya turut diiringi semangat seruan perang Tabok di zaman Rasulullah, semangat jihad sewaktu berperang di Afhganistan 1988 serta semangat istiqamah ustaz Ibrahim Libya dalam menegakkan syiar Islam,"" katanya.Y Malaysia need a kumpulan mujahideen?"
nuvi,20170218,New Member,Group: Junior Member,Posts: 25,200908,,Since when if the punishment is not enforced means you can't practice your faith fully?This is PAS game of politicising religion issue to gain support.
HJ_Ishimori,20170218,New Member,Group: Junior Member,Posts: 35,201610,From: Kuala Lumpur (Malaysia) | Ashikaga (Japan),"Later eksiden, basikal takda safety.."
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,Not 2:30PM yet but....Click the link for more pic.   https://www.facebook.com/tv14.my/photos/pcb...?type=3&theater
JeremyLord,20170218,Getting Started,Group: Junior Member,Posts: 218,201211,From: Planet Earth,Macam carnival je
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,"Himpunan bukan demonstrasi. Tak payah berarak macam Bersih. Duduk sambil dengar ceramah, konsert, soal-jawab je."
MoonRider,20170218,It's Me That Sound Cute,Group: Senior Member,"Posts: 2,266",200801,From: From My Mummy Stomach,peaceful assembly ...
ikankering,20170218,New Member,Group: Newbie,Posts: 3,201701,,no.i don't go.better basuh baju.
silent_stalker,20170218,Enthusiast,Group: Senior Member,Posts: 820,201204,,I wonder how much they are paid
slimey,20170218,,Group: Senior Member,"Posts: 4,874",200704,,good for nothing law
small-jeff,20170218,Regular,Group: Senior Member,"Posts: 1,617",200706,,Expected men and women would be separated at opposite sides of the field and everyone would dress as if there would be sandstormAyam disappointed
nuvi,20170218,New Member,Group: Junior Member,Posts: 25,200908,,You don't want support your orang kampung?
gladfly,20170218,Casual,Group: Junior Member,Posts: 466,201003,,Ehh bukan ke Konsert tu bukan budaya PAS?
nuvi,20170218,New Member,Group: Junior Member,Posts: 25,200908,,"Last picture. Look more like carnival, jom heboh?"
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,"Yeah, I wonder how much they ""paid"" this Pakcik too? Kalau aku, bayar RM 1000 pun tak nak."
slimey,20170218,,Group: Senior Member,"Posts: 4,874",200704,,
nuvi,20170218,New Member,Group: Junior Member,Posts: 25,200908,,"Yup, purple is a well known gays colour.Maybe PAS leaders actually have some hidden meaning"
DoragonHunter,20170218,New Member,Group: Junior Member,Posts: 15,201504,,"These people don't want election, freedom and security, Hudud only benefits the elites as they can do whatever they want. Only the rakyat suffer under Hudud. Women going there are asking to get raped and the men get away with it."
Ibrahimovic,20170218,*HolyHunk*,Group: Senior Member,"Posts: 1,516",200708,From: Johor-Singapore,Can call JAWI/Jais?  I saw too many opposite sex in close proximity!
Binaryteo,20170218,New Member,Group: Junior Member,Posts: 29,201203,,"Apa hal semua macam tidak ada semangat je ? Muka macam ""wth i am doin here"" lel"
azbro,20170218,Look at all my stars!!,Group: Senior Member,"Posts: 4,010",200701,From: Johor Bahru,Geng Baju Merah mana? Dah join purple ke?
Zaryl,20170218,Hardcore Casual Gamer,Group: Senior Member,"Posts: 1,040",200301,From: Kedah Khap Khoun Khap (4K),Perhimpunan aman RUU355 > BERSHITPAS > allPAS for ALL!
weretiger,20170218,FuuSuperuSenioruyuh,Group: Senior Member,"Posts: 1,100",200301,,
smallcrab,20170218,Getting Started,Group: Junior Member,Posts: 82,200707,From: Puchong,"I terbaca PENGKID MALAYSIAKetua dia mesti Azalina ...kemudian baca lagi, silap"
xpole,20170218,Personal satisfaction,Group: Senior Member,Posts: 864,200912,From: Scotland,Saya sokong perjuangan PAS. Saya sokong RUU35» Click to show Spoiler - click again to hide... «RUN
gladfly,20170218,Casual,Group: Junior Member,Posts: 466,201003,,Dah 2.30pm dah.. Mana gambar tunjuk 200k? Kalau ada I also pergi soon
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,"Banyak sangat gambar, malas nak link.  https://www.facebook.com/pg/MalaysiaKini/ph...154225223915906"
whyamiblack,20170218,New Member,Group: Junior Member,Posts: 18,201402,,Hari sukan?
Ibrahimovic,20170218,*HolyHunk*,Group: Senior Member,"Posts: 1,516",200708,From: Johor-Singapore,Someone butt hurt report me
RicoT,20170218,Getting Started,Group: Junior Member,Posts: 75,200902,,Nampak sama je... Kenapa warna purple?
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,
hickups,20170218,Casual,Group: Junior Member,Posts: 437,200301,From: Klang,The BeginningThe Ending
Ibrahimovic,20170218,*HolyHunk*,Group: Senior Member,"Posts: 1,516",200708,From: Johor-Singapore,TOLONG JANGAN BIADAP!
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,Tolong jangan fitnah.
AllnGap,20170218,[ Modding with Passion(tm) ],Group: Senior Member,"Posts: 3,735",200301,From: Penangites,"i dah cakap banyak kali dah, melayu sendiri tak sokong hudud.cuma geng geng alim PAS je yang nak hudud."
nuvi,20170218,New Member,Group: Junior Member,Posts: 25,200908,,Difference is those people not championing about men and women can't be in close proximity.
toughguy,20170218,New Member,Group: Junior Member,Posts: 45,200708,,Majority Malay have spoken laud and clear today.Malay turn out on bersih 4 also more than this RUU.Bersih 5 have even more Malay turned out than bersih 4.Edit: Demo time is 2pm to 11pm. Malaysian always late. More will come.
Vape [On],20170218,Regular,Group: Senior Member,"Posts: 1,069",201511,,How many mangsa banjir still in kelantan?Minta derma kat depa la.
Reckoning,20170218,New Member,Group: Junior Member,Posts: 36,201310,,Kesian PAS. /k/ very bias
Special Agent,20170218,Getting Started,Group: Junior Member,Posts: 76,201503,,"Law that spoiling family life with absurd reason,.. morality is subjective, can't make it as law,.."
and85rew,20170218,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,Hahahaha 300k my foot
KLboy92,20170218,Getting Started,Group: Junior Member,Posts: 50,201508,From: Cherasboy,Gaythering of bajet alim talibans
Arata,20170218,New Member,Group: Newbie,Posts: 1,201607,,What all this about?
Pete the great,20170218,Getting Started,Group: Junior Member,Posts: 204,201307,,Yeah that stupid party. Other bigger issue like high rate abandon babies....inflation...jobs tak kisah.They want to make more leeews so they get to use religious guilt to fish more votes.
azhan82,20170218,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,confirm budak sekolah tahfiz kena pergi...inb4.. who cares about our forest
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,More pic   Soso
alanyuppie,20170218,Look at all my stars!!,Group: Senior Member,"Posts: 2,629",200607,From: here,"Ladies sit there forced to join otherwise talak 3 incoming by their husband.thats why remained quiet ala peaceful, just behave like sheeps dunt mbek mbek stay put.  Nak compare with bersih konon. ....."
Zaryl,20170218,Hardcore Casual Gamer,Group: Senior Member,"Posts: 1,040",200301,From: Kedah Khap Khoun Khap (4K),why all the hatred by /k?if bersih or PKR or DAP rally all support pulak.
and85rew,20170218,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,"They want law enforcementBut care little abt other issues like corruption, forest clearing, rising costs etc"
KLboy92,20170218,Getting Started,Group: Junior Member,Posts: 50,201508,From: Cherasboy,"1 demand fair election1 demand chop handIf you still don't understand, better go bomb yourself"
mlab88,20170218,New Member,Group: Junior Member,Posts: 5,200703,,"Ok, now Kelantan can go Independence, since supporters so many, BN can give the independence?"
HJ_Ishimori,20170218,New Member,Group: Junior Member,Posts: 35,201610,From: Kuala Lumpur (Malaysia) | Ashikaga (Japan),Ingat kan 300K. Haha. Cukup lah untuk karnival duduk heboh..
and85rew,20170218,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,Last time said demo haram wooIf demo against israel or this one..no issue..why?
darthboyzzee,20170218,New Member,Group: Junior Member,Posts: 42,201502,,Soso
Aerobrain,20170218,New Member,Group: Junior Member,Posts: 20,201011,,Tarak hype pond
