Topic title: Without PAS  PH wont win,"Topic posted on: 19 Feb 2017, 07:59:00",Topic link: https://forum.lowyat.net/topic/4200624,"Topic scraped on: 02 Aug 2017, 03:26:59",
username,date,avatar_title,group,post_count,join_date,from,text
LivingActive,20170219,New Member,Group: Junior Member,Posts: 10,201504,From: RobotPencariEmel.com,"Seeing ruu355 turnout yesterday.U like it or not,Hate it or not,PAS is still has the biggest malay votes bank.So ph wont go anywhere without pas.BN will win again bekos oppo like children fighting for candy"
sohailayhun,20170219,New Member,Group: Junior Member,Posts: 25,201101,,I dun care
~Sherlock~,20170219,New Member,Group: Junior Member,Posts: 39,201010,,"Even with PAS, PH wont win. PAS is over rated."
xperiaDROID,20170219,Dahnald Trump,Group: Senior Member,"Posts: 1,572",201406,"From: KL, Mahresia",Why Oppo like children fight for candy?They managed to sell a lot of their crappy phones what.
and85rew,20170219,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,so little..hahahahaha
DarkNite,20170219,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,EXACTLY!For sure PAS wont be able to win Kedah and Terengganu!Once bitten twice shy.There is feelings in their stronghold Kelantan this coming GE is going to be a close call for them.It is gonna be a good chance for UMNO to rule Kelantan.
Timemuffin,20170219,Getting Started,Group: Junior Member,Posts: 84,201107,,I've got a feeling there is pact where umno fill field half past six candidates @ kelantan so that pas gets an easy win
damonlbs,20170219,Casual,Group: Junior Member,Posts: 371,200505,From: KL,see can pas still hold to kelantan
keown83,20170219,Getting Started,Group: Junior Member,Posts: 166,200909,From: penang wit love,"& i doubt about selangor too becos PKR rely heavily on PAS ground support last GEnow u know why azmin wanna keep PAS in selangoryup, i think BN gonna win big this time around but i dun think PAS worry about itbtw, Kelantan is still PAS stronghold based on what happened last night..terengganu maybe will remain UMNO"
epsonstylux,20170219,"I said ""Good Day!""",Group: Senior Member,"Posts: 1,024",200710,From: Damansara,that is malay supporters from all over MALAYSIAtry contesting see majority malay at their constituent will give them win or not
DarkNite,20170219,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,"After 15+ years, time is ripe for UMNO to win Kelantan and why should they throw it away?   win a battle to lose a war?  Dun forget the enormous Kelantan oil royalty that UMNO could use to sweeten their victory!"
and85rew,20170219,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,it will be bloodbath to non BN parties for surevery likely only Penang & maybe Selangor the only opposition state left
keown83,20170219,Getting Started,Group: Junior Member,Posts: 166,200909,From: penang wit love,"why shud UMNO jeorpadize coorperation with PAS by defeating PAS in kelantan while they can just let Kelantan to remain under PAS & UMNO win big in other every area nationwide with help from PAS? or PAS will just declare coorperation with UMNO to setup state gomen when PAS + UMNO seats reached enough number to form state gomen..PAS know they wont get enough seat alone to get to federap, so why try hard for it? better focus on realistic goalnow thats a strategy of ""losing a battle but wins the war""so, bye2 PH..may they happy flirting with Tun M until he died without achieving anything"
automan5891,20170219,New Member,Group: Junior Member,Posts: 16,200909,,
desmond2020,20170219,Getting Started,Group: Junior Member,Posts: 280,200506,,Pas fag come here with their over inflated ego againBring it onGo back to umno
nuvi,20170219,New Member,Group: Junior Member,Posts: 25,200908,,"Yup, turn out is only 0.22% of the total people."
MonsterPips,20170219,Casual,Group: Junior Member,Posts: 320,201306,,"No, umno will not worry if pas win kelantan, terangganu and maybe kedah againMost important is to make split vote to win federal."
Faidzal,20170219,Getting Started,Group: Junior Member,Posts: 234,200808,From: From JB to KL!,sadly I have to agree with this assessment.that's why I applaud LKS' effort to offer that olive branch which sadly PAS turned down.to me PAS is not at fault but the current ulama' faction leading the party is.
will4848,20170219,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,20k teletubbies can decide malaysia ge14 ??Then we should import more hobbit n smurf so malaysia can becum alice in wonderland....
desmond2020,20170219,Getting Started,Group: Junior Member,Posts: 280,200506,,Pas fag with usual retard logicSo 20k turn up = all Malays support ruu355
Reckoning,20170219,New Member,Group: Junior Member,Posts: 36,201310,,Agree with ts. PH without pas is shit.
