Topic title: Malaysia beat Bloomberg forecasts  TAHNIAH BN ,"Topic posted on: 22 Feb 2017, 17:42:00",Topic link: https://forum.lowyat.net/topic/4204132,"Topic scraped on: 02 Aug 2017, 03:26:01",
username,date,avatar_title,group,post_count,join_date,from,text
bg12,20170222,Getting Started,Group: Junior Member,Posts: 154,201607,,"January inflation climbs on higher petrol price, exceeds forecastNotice the YELLOW LINE below :  KUALA LUMPUR: The consumer price index (CPI) for January 2017 rose 3.2% from a year ago, mainly due to the increase in petrol prices and food and   exceeding a Bloomberg survey of a 2.7% rise.  The Statistics Department said on Wednesday the inflation rate rose 1.1% from December 2016.It said the CPI rose 3.2% to 118.2 in January 2017 from 114.5 a year ago. Among the major groups which recorded increases were the indices for transport (+8.3%), food & non-alcoholic beverages (+4.0%).  Recreation services & culture recorded a  3.2%  increase; health (+2.5%), restaurants and hotels (+2.1%); education (+2%) and housing, water, electricity, gas & other Fuels (+1.9%) “The index of transport group showed a significant increase of 8.3% on a year-on-year basis in January 2017, after falling 0.6% and 1.5% in December 2016 and November 2016,” it said. The department said the average price of one litre of RON95 petrol was RM2.10 in January 2017 compared to RM1.85 in January 2016. As for RON97, the average price increased to RM2.40 in January 2017 from RM2.25 in January 2016. The index for food & non-alcoholic beverages which accounted for 30.2% in the CPI weights, increased 4.0% in January 2017.Core inflation rose 2.3% in January 2017 from a year ago due to a 3.3% increase in trqnsport and also a 3.3% rise in food & non-alcoholic beverages.http://www.thestar.com.my/business/busines...ceeds-forecast/"
Mikken,20170222,#,Group: Senior Member,"Posts: 1,056",200803,,Misleading title. Darn ts
EarendurFefalas,20170222,Getting Started,Group: Junior Member,Posts: 88,201209,,malaysia boleh!
deathTh3Cannon,20170222,Getting Started,Group: Junior Member,Posts: 159,201108,,tealive long queue yo
nikita zuleica,20170222,Casual,Group: Junior Member,Posts: 402,201008,,Rising Inflation indicate the State Economy doing well.... We need more worried about deflation instead
GarubaSwey,20170222,Getting Started,Group: Junior Member,Posts: 87,201306,From: Subang,"Lel, Najib lowballing"
sonic31s,20170222,Getting Started,Group: Junior Member,Posts: 85,201604,,"BN ministry said ""we're the best ministry in the world""."
empatTan,20170222,On my way,Group: Senior Member,Posts: 684,201603,,Thr goes my brim...
otua,20170222,Casual,Group: Junior Member,Posts: 490,201305,,hidup bn !! hidup umno !!
kamfoo,20170222,Getting Started,Group: Junior Member,Posts: 173,201011,,pls increase brim help poor
SushiBurgerX,20170222,Casual,Group: Junior Member,Posts: 418,201008,,I am proud of Bijan!
bg12,20170222,Getting Started,Group: Junior Member,Posts: 154,201607,,but for corrupt countries ...inflation brings us same direction as zimbabwe and venezuela
evilsmile,20170222,Getting Started,Group: Junior Member,Posts: 63,200909,,Not trueRising inflation = low purchasing power; high household debt; salary not growing; crime rate increaseeconomy is very bad right now
neoFluidic,20170222,New Member,Group: Junior Member,Posts: 47,201408,,kan ada BR1M
Special Agent,20170222,Getting Started,Group: Junior Member,Posts: 76,201503,,"beribu ribu cukur to bijan,.."
KLboy92,20170222,Getting Started,Group: Junior Member,Posts: 50,201508,From: Cherasboy,"terima kasih Barang Naik supporters kerana menjahanamkan negarajanji kepsi penuh, belum ada mati kebuluran, minum air paip ya"
AmeiN,20170222,???????,Group: Senior Member,"Posts: 3,688",201002,From: ~Starlight~            ???????,orang kampung mana paham
kurtkob78,20170222,Do your best,Group: Senior Member,"Posts: 3,723",200610,From: Shah Alam,household debt to disposable income was at 198% and increasinghousehold debt to GDP was at 89.1% and increasing
strace,20170222,Ayy,Group: Senior Member,Posts: 700,200508,,do they have CPI numbers excluding food & energy? i know US use that benchmark
Toyoi,20170223,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"BR1M causing inflation, not sustainable!12 May 2014https://forum.lowyat.net/topic/3221870‘GST inflationary impact will fade within 2 years’NST 30 June 2014 SoS...THE inflationary impact of the Goods and Services Tax (GST) that will be rolled out in April next year will likely fade within two years of its implementation....Malaysian Rating Corp Bhd (MARC) estimated that the GST will push the headline Consumer Price Index (CPI) to above four per cent temporarily and the inflation level will then normalise within two years, based on the experience of Singapore, Australia and China."
Timemuffin,20170223,Getting Started,Group: Junior Member,Posts: 84,201107,,BRIM sustain your life for 3 months out of 12!kadar inflasi is just another yahudi tool to supress Msia's prosperity
ikankering,20170223,New Member,Group: Newbie,Posts: 3,201701,,umno better than pas.so cukur even high living cost.
