Topic title: Najib  no one else but us can mess with you,"Topic posted on: 09 Mar 2017, 20:09:00",Topic link: https://forum.lowyat.net/topic/4218432,"Topic scraped on: 02 Aug 2017, 03:24:08",
username,date,avatar_title,group,post_count,join_date,from,text
MohdPuskas,20170309,Getting Started,Group: Junior Member,Posts: 130,201411,,"Dear Najib, we Malaysians like to make fun of you. But only we can mess with you. If other people mess with you, we stand with you.#BeStrongMyPM#BerdiriTegangBelakangPM"
statikinetic,20170309,Warm up. Go hot.,Group: Senior Member,"Posts: 1,159",201001,,"Waiting for him to say the hero line ""Let them go. Take me as your hostage instead!"""
KoChun,20170309,On my way,Group: Senior Member,Posts: 688,201402,,So TS want to mess with US after US confiscated 1bil of jibby's fund ?
myasiahobby,20170309,Casual,Group: Junior Member,Posts: 455,200912,From: Russia,"If other people mess with you, we push u forward."
MENimalist,20170309,New Member,Group: Junior Member,Posts: 12,201507,,nah mate. i hope one day when he goes overseas interpol just nab him lel
kiasunkiasi,20170309,On my way,Group: Senior Member,Posts: 538,200711,,"please define ""we"""
loon90,20170309,Getting Started,Group: Junior Member,Posts: 136,201003,,I'm waiting for him to say let them go I give you bik mama
PortgasDerekAce,20170309,New Member,Group: Junior Member,Posts: 46,201103,,Opportunity to jilat lettew
olman,20170309,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,sniff so sentimental
Mr. Najib Razak,20170309,Getting Started,Group: Junior Member,Posts: 67,201606,,Good macai
sonic31s,20170309,Getting Started,Group: Junior Member,Posts: 85,201604,,
MohdPuskas,20170309,Getting Started,Group: Junior Member,Posts: 130,201411,,Ninja cut onion
wcnew,20170309,Getting Started,Group: Junior Member,Posts: 182,200910,,#BerdiriTegangBuntutPM
Toyoi,20170310,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,Dewan tolak soalan siapa bayar #RespectMyPM9 Mar 2017https://forum.lowyat.net/topic/4218650https://forum.lowyat.net/topic/4218333
