Topic title: DAP s  naughtiness  strengthened PAS,"Topic posted on: 11 Mar 2017, 22:40:00",Topic link: https://forum.lowyat.net/topic/4220376,"Topic scraped on: 02 Aug 2017, 03:23:39",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170311,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/375305DAP's 'naughtiness' strengthened PAS to pursue Act 355 amendments10 Mar 2017DAP's ""naughtiness"" has strengthened PAS enough for them to push for their proposed amendments to the Syariah Courts (Criminal Jurisdiction) Act 1965 (Act 355), said MIC treasurer-general S Vell Paari.""Due to PAS' success in the last general election by virtue of being supported by DAP, PAS is now a major component to the Selangor state government and also still a member of the opposition bloc in this country.""This strength has allowed PAS to submit their amendment to Act 355 with respect to the syariah courts,"" Vell Paari said in a statement today.For the rest of this story and more, subscribe for only RM150 a year. If you're already a subscriber, please sign in."
Lucifer96,20170311,Getting Started,Group: Junior Member,Posts: 257,200806,,MIC's still around?
IMORTALfatahL2401,20170311,New Member,Group: Junior Member,Posts: 27,201305,,"lol dont spread lies lar we all know the act need the ""ok"" by a lot of parliment leader to go thru"
DarkAeon,20170311,Casual,Group: Junior Member,Posts: 452,201011,,whoa same script as mca
SweetPuff,20170311,Look at all my stars!!,Group: Senior Member,"Posts: 2,003",200301,,Share same scriptwriter already.
joe_mamak,20170311,Casual,Group: Junior Member,Posts: 333,200612,,It is WHACK DAP season.
DarkAeon,20170311,Casual,Group: Junior Member,Posts: 452,201011,,have to save cost la...can only afford 1 writer
nearlee,20170311,Getting Started,Group: Junior Member,Posts: 103,200905,From: iNearly,lulz MCA & MICNearlee
lylee73,20170311,"The mouse who wanders at /k all day, all night",Group: Senior Member,Posts: 639,201508,"From: Klang, Selangor","If one party gets stronger, the other party will get stronger until the end."
pakmulau,20170312,Getting Started,Group: Junior Member,Posts: 128,201603,,ramai pulak orang pandai dalam kepimpinan mic huehuehue
arubin,20170312,Holy Pastafarian,Group: Senior Member,Posts: 619,200710,From: Church of the Flying Spaghetti Monster,"Ya ya, DAP's fault.Totally not your partner UMNO's fault for supporting the bill in Parliament. I mean hey...Azalina is actually a member of DAP instead of UMNO."
ikankering,20170312,New Member,Group: Newbie,Posts: 3,201701,,ok.lulus.
kcchong2000,20170312,New Member,Group: Newbie,Posts: 3,200901,,Sebelum tu MIC ada menyalak tak? Takde cakap pun..lepas sudah pass now menyalak gila.
Toyoi,20170313,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"Menteri hadir himpunan 355, MIC mahu jumpa PM21 Feb 2017https://forum.lowyat.net/topic/4202513Subra also to quit cabinet if hudud implementedMkini 29 May 2016 SoS...MIC president S Subramaniam has joined the chorus of BN leaders who said they would quit the cabinet if hudud is implemented....""If after all our efforts hudud is still implemented, then I will relinquish my post in the government,"" Subramaniam said at the MIC extraordinary general meeting in Subang Jaya today."
