Topic title: Najib   Jack Ma   4 month    ,"Topic posted on: 23 Mar 2017, 02:19:00",Topic link: https://forum.lowyat.net/topic/4231392,"Topic scraped on: 02 Aug 2017, 03:22:00",
username,date,avatar_title,group,post_count,join_date,from,text
darthboyzzee,20170323,New Member,Group: Junior Member,Posts: 42,201502,,Soso
Legendary Big Boss,20170323,New Member,Group: Junior Member,Posts: 24,200906,,I'm not clear what is this DFTZ all about?basically there will be no taxation on any transaction made via digital trade?But last time I heard they gonna taxes every single f*cking online trader in Malaysia.Contradict.
ikankering,20170323,New Member,Group: Newbie,Posts: 3,201701,,wow! factor to make orang kg vote bn.
ahter,20170323,Getting Started,Group: Junior Member,Posts: 126,200807,,Mara Digital Mall > DTFZ
fabianz03,20170323,aviation enthusiast with an attitude,Group: Senior Member,"Posts: 4,433",200808,From: T?maki Makaurau,"I don't get why people on Facebook got so riled up about investments from China.If no investors come to Malaysia = government running the country is shit, not attracting foreign investorsChinese investors/Arab investors come to Malaysia = fucking government selling Malaysia to foreign hands.WTF DO YOU WANT"
big[1],20170323,On my way,Group: Senior Member,Posts: 588,201506,,"new law, below rm1200 no tax for online shopping"
DarkNite,20170323,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,This one will be beneficial to Malaysian? Or just certain Malaysian? Care to clarify?
eXTaTine,20170323,To Tongsan we bow!!,Group: Senior Member,Posts: 746,200301,,This is Jibby we're talking about. It will never be for the rakyat's benefit.
Matrix,20170323,King of Char Siew!,Group: Senior Member,"Posts: 14,991",200301,From: Damansara Jaya/Bandar Utama,THIS.
DarkAeon,20170323,Casual,Group: Junior Member,Posts: 452,201011,,wtf. i stand in awe of the truth in this single sentence
beetch,20170323,Getting Started,Group: Junior Member,Posts: 230,200301,,"Dftz = caina buy proton car no tax. Merehsia buy china car, eg: cloned Evoque no tax."
pikacu,20170323,male tag rosak,Group: Senior Member,"Posts: 7,278",200606,From: Some Yih,bumi ni milik sape?
rcracer,20170323,?????,Group: Senior Member,"Posts: 3,437",200301,,Fucking truth
vin_ann,20170323,Look at all my stars!!,Group: Senior Member,"Posts: 9,871",200602,,I think it's for oversea shipment... Just LCCT become venue as fulfilment warehouse centre dispatch to worldwide...
fabianz03,20170323,aviation enthusiast with an attitude,Group: Senior Member,"Posts: 4,433",200808,From: T?maki Makaurau,Fair enough
toothgnasher,20170323,Getting Started,Group: Junior Member,Posts: 190,200711,,"Special treatment to Ma and China. See when china wants our palm oil, terus subsidy for cooking oil removed."
patienceGNR,20170323,? Ride All Day ?,Group: Senior Member,"Posts: 1,568",201103,From: Autofreaks.NET Poking The Bikes,Not everyone is smart when it comes to economics.
bereev,20170323,Getting Started,Group: Junior Member,Posts: 53,201112,,"invest is good i also support exp: build factory , joint local company on RnD etc. but dun buy land and develop then sell high"
KoChun,20170323,On my way,Group: Senior Member,Posts: 688,201402,,New PM. Limit USD260 You must be new here. Since when got policy benefit all ?? It's to cover MO1's ass so don't have to answer for 2mdb. Too late. Prices over inflated already. Poorfags rent forever.
azhan82,20170323,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,"bagi Ali Baba pioneer status with 17 year tax free just like forest city...not to forget, free flow of foreign labor + No GST on goods exported or imported...Of course Jack Ma kissing Bijan's Hand.."
Timemuffin,20170323,Getting Started,Group: Junior Member,Posts: 84,201107,,"uol not seeing the game najib playinby giving very generous tax breaks to China corporation to setup shop over here. whether we will benefit, your guess is as good as minehe trying to re-write his legacyhe will not go down as bapa 1mdb but bapa FDI"
limfreelance,20170323,Getting Started,Group: Junior Member,Posts: 277,201107,From: Land of SaberLion :3,Sini apo lagi cinis tsunami mau! Sana selamat datang cinis  prc. Double standard.
IReallyNeed Answers,20170323,Krazeybender,Group: Senior Member,Posts: 887,200801,From: Cheras,"muka pondan, aksi pondan,cakap pun mcam pondan.#respekmyPM"
vearn29,20170323,New Member,Group: Junior Member,Posts: 16,201009,,customs and lhdn enjoice
AllnGap,20170323,[ Modding with Passion(tm) ],Group: Senior Member,"Posts: 3,735",200301,From: Penangites,"china investment hardly use local expertise.labour, material, managers, sales all import from China. that is what happens at johor at the moment. and because jibby relays on china he also don't dare to impose restrictions on them like materials n such.overall tongsan is here to rule over us"
Heroicage,20170323,New Member,Group: Junior Member,Posts: 24,201301,,"another possible grey area, that makes no sense, as long as it gets to withdraw out all the citizen funds, possibly risk ruining the country entirely like to Greece....and etc...i am amazed by the cover ups done so far....it's like everyone forgot all the crap that has befallen the country....and the 4.5 we stand now...from 3.3 3 years ago......are we aiming for 10.5 now?."
jonn zee,20170323,Getting Started,Group: Junior Member,Posts: 228,201107,,"what DFTZ, DFTZ is so old, now eDFTZ lah..."
jonn zee,20170323,Getting Started,Group: Junior Member,Posts: 228,201107,,yup. even the makci canteen oso come from PRC...
