Topic title: Rosmah speech interrupted,"Topic posted on: 24 Mar 2017, 22:00:00",Topic link: https://forum.lowyat.net/topic/4233039,"Topic scraped on: 02 Aug 2017, 03:21:33",
username,date,avatar_title,group,post_count,join_date,from,text
Lumiaaa,20170324,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,https://forum.lowyat.net/topic/4232610https://forum.lowyat.net/topic/4232610https://forum.lowyat.net/topic/4232610
SerioseCat,20170324,Getting Started,Group: Junior Member,Posts: 295,200805,,tong simen untuk beliau dan keluargabakar kampungnyagadai keretanya
BlueButtBaboon,20170324,FEEL WITH IT,Group: Senior Member,Posts: 516,201408,From: hutan lipor,Baik arwah emc
ic no 851025071234,20170324,Regular,Group: Senior Member,"Posts: 1,116",201503,,Tomorrow no need come work
superbike,20170324,New Member,Group: Junior Member,Posts: 12,201411,From: Hell,after watch this video suddenly demam liao. dunno why.
olman,20170324,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,habislah emcee - brace urself
azbro,20170324,Look at all my stars!!,Group: Senior Member,"Posts: 4,010",200701,From: Johor Bahru,Fired immediatelyCompany need to close. Organizers also firedMany heads went rolling after that speech.
MoonRider,20170324,It's Me That Sound Cute,Group: Senior Member,"Posts: 2,266",200801,From: From My Mummy Stomach,she is so awesome .. great speech datin rosmah
urnicksux2,20170324,New Member,Group: Junior Member,Posts: 31,201307,,why nobody gonna plotek2 the emcee and hail him as hero?
siaoand1,20170324,Getting Started,Group: Junior Member,Posts: 164,201010,,when she walks of....*darth vader music* tongsimen inkambing
vans1088,20170324,Getting Started,Group: Junior Member,Posts: 67,201010,,Dear god that face... stuff of nightmares... i think as shee grow older she would look more like Lucifer
thesoothsayer,20170324,Casual,Group: Junior Member,Posts: 425,200612,,RIP MC.Arwah baik orangnya.
shinkawa,20170324,parttime otaku,Group: Senior Member,Posts: 816,200806,,MC or the organizer made mistake. sometime organizer give wrong signal.
sonic31s,20170324,Getting Started,Group: Junior Member,Posts: 85,201604,,
guilt79,20170324,Getting Started,Group: Junior Member,Posts: 127,201104,,Matilah
ihatemynahs,20170324,New Member,Group: Junior Member,Posts: 33,201012,"From: Kota Tinggi, Johor",RIP MC
mrgentleman,20170324,New Member,Group: Newbie,Posts: 0,201605,,After rosmah continue her speech ... the emcee brain start flashing back his whole life
piecec8,20170324,New Member,Group: Newbie,Posts: 2,201702,,"Wif the power of this universe, his company will inside the tong simen for sure."
alexcky,20170324,business Sifu,Group: Senior Member,Posts: 754,200711,,Emcee saving everyone.. What a hero
Robin Hood,20170324,Getting Started,Group: Junior Member,Posts: 169,201011,From: sunny bikini yard,Mc.4
HaiiSuan,20170324,New Member,Group: Newbie,Posts: 3,201509,,someone shouted woi hahahaha
yokoloco,20170324,On my way,Group: Senior Member,Posts: 594,201406,"From: CatCity, Sarawak",imma let u finish....
billylks,20170324,Getting Started,Group: Junior Member,Posts: 89,201005,,MC sounded macam sudah kecut bola
mafioso,20170324,flower bridge,Group: Senior Member,"Posts: 3,711",201207,"From: Today, 00:01 AM",RIP emcee tu
Lifeblurboi,20170324,New Member,Group: Junior Member,Posts: 6,201703,,ham ka already MC
silent_stalker,20170324,Enthusiast,Group: Senior Member,Posts: 820,201204,,How can that mc make such a mistake. Usually will wait a person move away from podium only start talk. N its obvious the mc didnt listen to the speech
bugijun,20170324,On my way,Group: Senior Member,Posts: 500,200605,From: Seremban,Esok emcee kena mc...
WhyAmISoPoor,20170324,New Member,Group: Junior Member,Posts: 31,201606,,Her hair still astonished-ed-ed-ed-ed-ed-ed me to no end dafaq
alexcky,20170324,business Sifu,Group: Senior Member,Posts: 754,200711,,Emcee saving everyone.. What a hero
PzGman,20170324,Getting Started,Group: Junior Member,Posts: 212,201206,From: Petaling Jaya,What Insolence is this?!!Lol
quintesson,20170324,Casual,Group: Junior Member,Posts: 465,200610,,rip emcee hope yours afterlife will not be so confused.
Lumiaaa,20170324,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,https://forum.lowyat.net/topic/4232610
