Topic title: Najib meets  superstar  Rajnikanth  snaps selfie,"Topic posted on: 31 Mar 2017, 15:03:00",Topic link: https://forum.lowyat.net/topic/4243974,"Topic scraped on: 02 Aug 2017, 03:20:03",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170331,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/377639Najib meets 'superstar' Rajnikanth, snaps selfie31 March 2017Prime Minister Najib Abdul Razak, who is visiting India, met with Tamil movie icon Rajnikanth at the latter's residence in Chennai.Najib also posted a selfie of the two, with the caption: ""Just had a very warm and friendly meeting with Mr Rajnikanth the Tamil superstar at his home.""On Wednesday, Malaysiakini quoted an Indian news portal The Telegraph as stating that Najib and his wife Rosmah Mansor had requested to meet Rajnkanth during their visit.The portal said the couple became fans of the actor, who is known as the ""superstar"" of Indian cinema, during his stay in Malacca for the filming of the movie ""Kabali"".Following this, Rosmah's aide Rizal Mansor denied that such a request was made.""Datin Sri Rosmah Mansor has the greatest respect for Rajinikanth and understands how huge a star that he is - both in India and in Malaysia.""However, there is no truth in recent news reports that there was a request to meet M Shivaji (referring to Rajinikanth's real name).""Neither is it scheduled for this visit to the country with one of the world's fastest economic growth this year.""Speculation from unfounded sources is not helpful,"" Rizal posted on his Facebook page."
moolala,20170331,New Member,Group: Newbie,Posts: 0,201703,,why they looks the same in the photo?deja vu
will4848,20170331,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,
Exquisite,20170331,Getting Started,Group: Junior Member,Posts: 73,200602,,so we need to bangga la?
BlueButtBaboon,20170331,FEEL WITH IT,Group: Senior Member,Posts: 516,201408,From: hutan lipor,U got selfi with rajnikanth?
mamata,20170331,better get laid early then regret later on,Group: Senior Member,Posts: 684,200605,,nape dalam filem nampak macho je?dalam real life nampak tua
CTU,20170331,Getting Started,Group: Junior Member,Posts: 197,201003,,Where is the selfie?
cikalakacikaci,20170331,Getting Started,Group: Junior Member,Posts: 69,201306,From: kl.klang.,"sekalo rajnikanth flip credit card jibby ,2.6bil in account terus missing"
kable2509,20170331,New Member,Group: Junior Member,Posts: 38,201410,,How many of you know about his recent tweet being trolled by his own fans because he was not extending any support during the recent protests across the state.Check his tweet: https://twitter.com/superstarrajini/status/...765999094120451Some replies might be tamil. May be google translator can help
komag,20170331,Getting Started,Group: Junior Member,Posts: 290,200503,,
soowky,20170331,New Member,Group: Junior Member,Posts: 10,200907,From: /kay/,
teikboon,20170331,Casual,Group: Junior Member,Posts: 484,201002,,"the PM that like to selfie with everyone.anyway, what's phone jibby is using? trump still using Sammy s3 you know"
