Topic title: How did BN get my phone number,"Topic posted on: 07 Apr 2017, 15:51:00",Topic link: https://forum.lowyat.net/topic/4254249,"Topic scraped on: 02 Aug 2017, 03:18:41",
username,date,avatar_title,group,post_count,join_date,from,text
Lumiaaa,20170407,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,How did BN get my phone numberand the caller id shows it as BN Political Surveyanyone kena before this phone callwhat do they askI didnt answer the call but then they left a voice message i sked liao
Rusty Nail,20170407,Why am I still here?,Group: Senior Member,"Posts: 4,551",200301,From: Petaling Jaya,Najib is watching you
amxpayne67,20170407,The Coon,Group: Senior Member,Posts: 683,201003,From: Puchong Extreme,survey first before tong simengood bye ts
HongKi,20170407,Getting Started,Group: Junior Member,Posts: 111,201311,,Dh bayar tax ke belom?
sonic31s,20170407,Getting Started,Group: Junior Member,Posts: 85,201604,,BN are everywhere like virus...
comfyguy8,20170407,New Member,Group: Junior Member,Posts: 45,201702,,just tell them got money got vote. no money no vote. if get contract then whole family vote.
Songlap,20170407,New Member,Group: Junior Member,Posts: 28,201302,From: Putrajaya,must be from angelgeminiin b4 TS will have to pay survey tax
wilson0416,20170407,Getting Started,Group: Junior Member,Posts: 212,201107,,Hacked ur hp
Lumiaaa,20170407,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,
Ayambetul,20170407,New Member,Group: Junior Member,Posts: 6,201703,,BN knew what u did last PRU..
hollyweed,20170407,New Member,Group: Junior Member,Posts: 19,201505,,RIP tstong simen inkambing
Matrix,20170407,King of Char Siew!,Group: Senior Member,"Posts: 14,991",200301,From: Damansara Jaya/Bandar Utama,I will ask how much get paid to become BN Trooper in /k...
Lumiaaa,20170407,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,have not voted beforejust registered last year
HongKi,20170407,Getting Started,Group: Junior Member,Posts: 111,201311,,Whos That?
Songlap,20170407,New Member,Group: Junior Member,Posts: 28,201302,From: Putrajaya,"A pro jilater, possibly even better than ironmaid89"
