Topic title: Rafizi  Hadi mentioned  1MDB  only once in,"Topic posted on: 11 Apr 2017, 00:36:00",Topic link: https://forum.lowyat.net/topic/4261413,"Topic scraped on: 02 Aug 2017, 03:03:36",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170411,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/378625Rafizi: Hadi mentioned '1MDB' only once in Parliament since mid-201310 April 20171MDB has been a hot topic for opposition lawmakers during Dewan Rakyat sittings since 2013, except for PAS president Abdul Hadi Awang, according to PKR vice-president Rafizi Ramli.Rafizi said he went through the Dewan Rakyat records and established that the number of times Hadi mentioned ""1MDB"" amounted to a grand total of just one.""Since June 2013 until now, (records) show that he appears to be avoiding the 1MDB issue.""The Marang MP only mentioned '1MDB' once, although (the issue) has been the source of Malaysia's problems since 2011,"" he added in a statement today...For the rest of this story and more, subscribe for only RM150 a year (full news access)or RM420 a year (full news + full archive access). If you're already a subscriber, please sign in."
and85rew,20170411,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,90m man
ikankering,20170411,New Member,Group: Newbie,Posts: 3,201701,,"pas main objective in life is hudud.dont agree, don't vote."
natamhanjing,20170411,Getting Started,Group: Junior Member,Posts: 69,200907,,Lulz got MP say 'ayam' x 3 more important.
silent_stalker,20170411,Enthusiast,Group: Senior Member,Posts: 820,201204,,Janji 90m
desmond2020,20170411,Getting Started,Group: Junior Member,Posts: 280,200506,,90 million well spent
neoexcaliber,20170411,Getting Started,Group: Junior Member,Posts: 67,200501,,That's because the RUU355 amendments and Hudud will solve all problems.
Exiled_Gundam,20170411,On my way,Group: Senior Member,Posts: 531,200701,,Itupun nak kecoh
ogiveyakuza,20170411,huh..????,Group: Senior Member,"Posts: 2,661",201006,,"Well, something is better than nothing."
natamhanjing,20170411,Getting Started,Group: Junior Member,Posts: 69,200907,,Need something to taint Hadi more. Desperate dah.??
adj3,20170411,New Member,Group: Newbie,Posts: 0,201407,,apa si pondan ni1mdb not related to hadi pun
desmond2020,20170411,Getting Started,Group: Junior Member,Posts: 280,200506,,How many time he demand work on river to tackle flood problem at kelatan?
pagi makan roti,20170411,Getting Started,Group: Junior Member,Posts: 64,201606,,This.Pas was against it right from the start right?Shows maturity and firmness to me
Toyoi,20170411,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,PAS menyokong Tun Mahathir membongkar 1mdb7 Jun 2015https://forum.lowyat.net/topic/3601753
Toyoi,20170411,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,Kenapa PAS Tak Serang Isu 1MDB? Ini Jawapan Mursyidul Am PAS.19 Oct 2016https://forum.lowyat.net/topic/4086629
arubin,20170411,Holy Pastafarian,Group: Senior Member,Posts: 619,200710,From: Church of the Flying Spaghetti Monster,"Dis why Kelantan so backward.Economic matters not important. Asal ada hudud, all is well.Like religion can put food on your table...but its OK...if you starve to death or die from dysentry, can go enjoy heaven early."
pandah,20170411,On my way,Group: Senior Member,Posts: 537,201107,,"He is all out ruu, 1mdb not his problem"
joe_mamak,20170411,Casual,Group: Junior Member,Posts: 333,200612,,I am guessing he went through the Hansard.
joe_mamak,20170411,Casual,Group: Junior Member,Posts: 333,200612,,The Hansard is readily accessible.  Why don't you go look through?  Shouldn't be too difficult. You can then report back to HQ that Rafizi is wrong.  Who knows? You might even get a medal.
joe_mamak,20170411,Casual,Group: Junior Member,Posts: 333,200612,,"Focus, focus.  Maybe you don't want medal, but want cash......"
joe_mamak,20170411,Casual,Group: Junior Member,Posts: 333,200612,,I don't want medal or cash too.
Toyoi,20170427,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"End 'denial syndrome' over 1MDB, gov't told27 Apr 2017https://forum.lowyat.net/topic/4276681...The PAS ulama (clerics) wing has urged Putrajaya to end its denial syndrome over the 1MDB scandal....Its chief Mahfodz Mohamad also urged for investigations into the matter to continue."
Toyoi,20170503,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"PAS tangani rasuah, 1MDB dengan cara tersendiri - Hadi29 Apr 2017https://forum.lowyat.net/topic/4278512"
LamboSama,20170503,Getting Started,Group: Junior Member,Posts: 67,201108,,If others already talk about 1MDB what for wants him to say also?Want 1MDB echo all over?
poseidon33,20170503,Getting Started,Group: Junior Member,Posts: 126,201003,From: Bima Sakti,pas only minat on Hudud law.....they don't care who they work with...they confirm dun care bout Malaysians.....as long as they can have hudud
Toyoi,20170620,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,PAS suka Umno kerana perjuangan martabat Islam - Najib19 Jun 2017https://forum.lowyat.net/topic/4331799
