Topic title: DAP working with US ,"Topic posted on: 12 Apr 2017, 12:10:00",Topic link: https://forum.lowyat.net/topic/4264169,"Topic scraped on: 02 Aug 2017, 03:15:37",
username,date,avatar_title,group,post_count,join_date,from,text
n0kur0,20170412,New Member,Group: Junior Member,Posts: 16,201408,,"“Sedangkan dia berunding dengan Amerika… dengan negara asing pun dia berunding …dengan kedutaan asing pun dia berunding. Berunding dengan negara asing untuk mengubahkan politik Malaysia.“Kita tidak sampai tahap itu..nak suruh negara asing campurtangan negara ini. Kita berunding dengan UMNO sahaja sama-sama Melayu, Islam, itu salah? Dia berunding dengan Amerika tak apa, berunding dengan negara asing tak apa.“Politik Malaysia biar orang Malaysialah yang buat perubahan. Tidak perlu jemput Amerika mari, tak perlu jemput negara asing mari.. Ini saya dedah di sini, kalau ada pemberita siar, biar orang tahu,” katanya.» Click to show Spoiler - click again to hide... «sCV6SMaRH_8"
silent_stalker,20170412,Enthusiast,Group: Senior Member,Posts: 820,201204,,Hahaha... n till now we all quite about china sea dispute. Wonder y
dangerminimouse,20170412,Getting Started,Group: Junior Member,Posts: 95,201609,,"MOD please bomb this rubbish thread, don't even have links. Mana SOSAll lies from keyboard warriors."
Emimarson,20170412,Casual,Group: Junior Member,Posts: 390,201208,,"Better than Najib sold nation's assets for his own purpose, bodo."
COOLPINK,20170412,Getting Started,Group: Junior Member,Posts: 248,201010,,so whats new?close thread please....
keny2020j,20170412,Getting Started,Group: Junior Member,Posts: 276,200906,,"mana boleh macam ni, berunding dengan us. cuma boleh berunding dengan tongsan"
Toyoi,20170412,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"pandai buli kelentong rakyat sendiri saja...tapi kat luar bila Tiongkok, Korut, TPPA gertak sikit dah angguk2 setuju demand..."
toothgnasher,20170412,Getting Started,Group: Junior Member,Posts: 190,200711,,Jadi bijan jual tanah msia kepada China. Takda juga umno bising
Toyoi,20170412,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"tak payah lah, biar saja DakCai tu semua syok sendiri... kalau sendiri fake news, sendiri cilok lahSebenarnya.my portal launched in a battle against false newsSebenarnya.my portal semak kesahihan berita palsu, berita kopitiam jgn percaya17 Mar 2017https://forum.lowyat.net/topic/4222695https://forum.lowyat.net/topic/4226366Najib launches BN's news portal e-Rakyat, www.therakyat.com30 Mar 2017https://forum.lowyat.net/topic/4242058...He said e-Rakyat will share information about Barisan Nasional's projects, activities and events....""It is easy to read, anywhere and anytime and it is for the convenience of the rakyat,"""
Toyoi,20170412,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"nantilah pandai DakCai cakap bukan jual tanah tapi strata title jer... tanah atas angin, dont worry Tiongkok lar"
n0kur0,20170412,New Member,Group: Junior Member,Posts: 16,201408,,"jgn pancut awal sangat. skit2 terus report. da la cepat pancut, kaki report lak tu.lel.https://m.youtube.com/watch?v=sCV6SMaRH_8"
M4A1,20170412,[*#^?SONE?^#],Group: Senior Member,"Posts: 1,171",200508,,SMLJ THREAD???NO HEAD NO TAIL CB BODO
n0kur0,20170412,New Member,Group: Junior Member,Posts: 16,201408,,agenda dap menjatuhkan malaysia mengalahkan agenda yahoodi
joe_mamak,20170412,Casual,Group: Junior Member,Posts: 333,200612,,inb4 LGE plays golf with Trump.
desmond2020,20170412,Getting Started,Group: Junior Member,Posts: 280,200506,,Fiftnah th budaya kita
dangerminimouse,20170412,Getting Started,Group: Junior Member,Posts: 95,201609,,"bodo TS sendiri syok, pancuk muka sendiri la"
n0kur0,20170412,New Member,Group: Junior Member,Posts: 16,201408,,kesian hang ni
dangerminimouse,20170412,Getting Started,Group: Junior Member,Posts: 95,201609,,"*ambil tapak kasuk, slap TS kerana tak post SOS sejak awal lagi*"
arubin,20170412,Holy Pastafarian,Group: Senior Member,Posts: 619,200710,From: Church of the Flying Spaghetti Monster,"Entire speech can be summed up in 3 words.""Janji orang kite"""
cangkui,20170412,Getting Started,Group: Junior Member,Posts: 175,201003,,"the problem with Pas, whoever do it without Pas, u are traitor.. but if you do it with Pas, u are good to go... DAP and PKR was dealing with the foreign embassy since RPK was in PKR... dulu tak salah.. sekarang bila dah gaduh baru tau salah?u just came out from basement parking lot ka?"
KLboy92,20170412,Getting Started,Group: Junior Member,Posts: 50,201508,From: Cherasboy,"Pak Arab come and offer Islamisation, takkan Hadi will say no?never mind, already know the answer: ""oh uh yang tu tak kira yang tu religion card"""
Toyoi,20170412,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"its wrong to deal with USA that help us investigate the Donuts cool story??DOJ comments on Donuts:""Unfortunately and tragically, a number of corrupt officials treated this public trust as personal bank account.""US DOJ full press conference on 1MDB21 Jul 2016https://forum.lowyat.net/topic/4009798slNIgAhxh5g"
ikankering,20170412,New Member,Group: Newbie,Posts: 3,201701,,"selangor ppl who support pas,dont vote dap."
Sickness8,20170412,New Member,Group: Junior Member,Posts: 49,201104,,DAP + PKR = 50/50 to winDAP + PKR + PAN + BERSATU = No chance to win.
