Topic title: PAS yakin bentuk kerajaan di Perak,"Topic posted on: 13 Apr 2017, 23:48:00",Topic link: https://forum.lowyat.net/topic/4265717,"Topic scraped on: 02 Aug 2017, 03:13:11",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170413,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/379017PAS yakin bentuk kerajaan di Perak13 April 2017Pemimpin PAS Perak sekali lagi menarik perhatian apabila membuat komen ringkas mengenai perancangan masa depan parti itu menjelang pilihan raya umum (PRU) ke-14 nanti.Hari ini, Pesuruhjaya PAS Perak, Razman Zakaria, membayangkan mereka benar-benar bakal mentadbir negeri itu daripada BN.Caranya - PAS akan meletakkan calon di 30 daripada 59 kerusi Dewan Undangan Negeri (DUN) Perak dan berdoa supaya Umno tidak meletakkan calon mereka di situ.Razman juga berdoa supaya orang Umno akan mengundi PAS.""Selepas PRU14 insya-Allah PAS bentuk kerajaan. Usahakan sebelum terlambat,"" katanya di Facebook hari ini.PAS pernah mempunyai wakil sebagai menteri besar pada 2008 apabila parti itu bersama DAP dan PKR menguasai majoriti di DUN Perak.Walaupun mempunyai kerusi yang lebih rendah berbanding PKR dan DAP, pakatan tersebut bersetuju menamakan wakil rakyat PAS sebagai menteri besar.Bukan parti khadamBagaimanapun melalui percaturan politik pihak lawan, Datuk Seri Mohamad Nizar Jamaluddin diketepikan daripada jawatan berkenaan dan BN kembali menguasai Perak.Ahli Dewan Undangan Negeri Pangkor, Datuk Seri Dr Zambry Abdul Kadir kemudian dilantik mengisi jawatan berkenaan.Mohamad Nizar bagaimanapun diketepikan pewakilan PAS pada muktamar parti itu di Kuala Selangor pada 2015 bersama ramai tokoh lain, termasuk Mohamad Sabu.Semalam Naib Presiden PKR, Rafizi Ramli, meminta PAS menyatakan pandangan secara jelas berhubung 'sifir politik' Razman.Kata Rafizi, kenyataan dibuat Razman itu meresahkan kerana dia mempunyai jawatan tinggi dalam PAS.Katanya, ia juga menimbulkan keresahan ramai kerana mengesahkan kebimbangan sebahagian besar rakyat Malaysia bahawa ada anasir dalam PAS masih berangan-angan untuk bergabung dengan Umno - sama ada secara langsung atau melalui muslihat halus - dan mengambil alih Putrajaya.Berdasarkan kedudukan semasa, sesebuah parti boleh menguasai DUN Perak dengan majorti mudah jika mendapat 30 kerusi.Menurut Razman, dengan 30 calon diletakkan di Perak, ia cukup untuk membentuk kerajaan negeri.""PAS Perak bukan khadam DAP,"" katanya."
nearlee,20170413,Getting Started,Group: Junior Member,Posts: 103,200905,From: iNearly,GTFO la PAS from PerakNearlee
patt_sue,20170414,Enthusiast,Group: Senior Member,Posts: 792,200502,,umno wont give seats to pas ....
~Sherlock~,20170414,New Member,Group: Junior Member,Posts: 39,201010,,
pakmulau,20170414,Getting Started,Group: Junior Member,Posts: 128,201603,,ketum made in perak memang pior kome
creep,20170414,Casual,Group: Junior Member,Posts: 301,200301,From: Cheras,pesuruhjaya PAS Perak & Ganu cannot pakai one ....their fb post selalu mcm mabuk ketum
ALeUNe,20170414,I'm the purebred with aristocratic pedigree,Group: VIP,"Posts: 9,582",200301,From: Mongrel Isle,You don't say.PAS gonna turn Perak into Mosul. Kek.
ikankering,20170414,New Member,Group: Newbie,Posts: 3,201701,,ok.pas win perak.
wanritsu,20170414,Getting Started,Group: Junior Member,Posts: 242,201207,From: live and let live,I also yakin that PAS will win.
Jay Chua CC,20170414,~Dont settle for good. Demand great~,Group: Senior Member,"Posts: 4,172",201212,"From: Taiping,Perak",major towns in Perak ady conquered by dap
and85rew,20170414,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,Drunk tapai?
olman,20170414,Pukimon,Group: Senior Member,"Posts: 1,845",200301,From: PukiDex 150: SlowMon,Dlm alam maya kau ada la
Donphatz,20170414,New Member,Group: Junior Member,Posts: 26,200901,From: PJ,confidentnyaaaaaaaaaaaaaaaaaaaaaaaaa UMNO tak letak calon.
rulerhot,20170414,New Member,Group: Newbie,Posts: 0,201106,,No need drink arak...pas pipul always mabuk
