Topic title: Najib  Don t vote those who don t want Islam,"Topic posted on: 17 Apr 2017, 11:54:00",Topic link: https://forum.lowyat.net/topic/4268045,"Topic scraped on: 02 Aug 2017, 03:16:07",
username,date,avatar_title,group,post_count,join_date,from,text
xcxa23,20170417,Enthusiast,Group: Senior Member,Posts: 796,201011,,"DUNGUN: Prime Minister Najib Razak today reminded the people to not choose an opposition that is willing to be in cahoots with parties which have leaders who do not wish to see the development of Islam and the Malays in the country.He said the opposition practiced an “ends justify the means” concept simply to unseat the Barisan Nasional (BN) government.“The goal must be noble, the method must also be correct. If it’s not done in the right way, God will not accept our worship. Everything must be right, if the method is not right, our worship despite our good intentions will not be accepted by God, and even in politics we have to hold to the principles of Islam.“If you know the person does not like the development of Islam in our country, why associate with him or her,” he said when launching the Terengganu state-level “Jom Bantu Rakyat” programme and groundbreaking ceremony for the Rumah Idaman Rakyat (RIR) project at Kampung Santong, Paka here, yesterday.Also present were Higher Education Minister Idris Jusoh, Terengganu Menteri Besar Ahmad Razif Abd Rahman and Syarikat Perumahan Negara Berhad (SPNB) group chief executive Ahmad Azizi Ali.The RIR project to be developed by SPNB Idaman Sdn Bhd, involves 229 units of various types of houses and shophouses on 26 acres of land known as Taman Desa Idaman, Kampung Santong.Najib said Umno on the other hand, always fought for Islam, and had received recognition from other countries.“If people say Umno’s policies are contrary to Islam, for sure, the King of Saudi Arabia, King Salman Abdulaziz Al Saud would not allow his name to be used at the King Salman Centre for Global Peace,” he said.The Prime Minister said that in addition to fighting for Islam, Umno and BN also strived to help the bumiputera and non-bumiputera through various economic and social agendas, including the development of housing projects.“However, if the person who comes into power as prime minister later, his intentions are not to help people, especially in rural areas, then do not hope, do not dream, that all this is going to be implemented. Realise, that the truth is we (BN) are the best choice for government,” he said.Najib also expressed confidence that Terengganu would continue to be led by the Barisan Nasional government based on the current development and the persistence of local leaders in maintaining the welfare of the people.He added that victory in the Dungun parliamentary constituency was also possible if there was unity among leaders in the region and no longer any “backstabbing” among Umno leaders.In his speech, Najib advised Dungun parliamentary development officer Din Adam, former Dungun Umno division chief Rosli Mat Hassan and Bukit Besi assemblyman Roslee Daud to maintain unity to sweep the Dungun parliamentary and four state assembly seats in the next general election (GE14).The four seats are Sura, Bukit Besi, Paka and Rantau Abang.“If these three people are together, we can win in Dungun. If we want to win big we have to work hard and together. Don’t backstab. Make sure the committee members go down to the polling district centres (PDM) and the PDM go down to the branch chiefs.“Branch chiefs to the village chiefs. All should be in one team because we need to have a strong government as I have a big vision for Malaysia,” he said.http://www.freemalaysiatoday.com/category/...slam-developed/Cant wait for pm najib potong GST Potong ArakPotong rokokPotong genting JudiOh wait.. semua tu gomen BN yg buatkan.Potong budget tuk kesihatan dan perlajaran."
RGRaj,20170417,New Member,Group: Junior Member,Posts: 40,201304,,Curi wang rakyat tak haram ka?
SushiBurgerX,20170417,Casual,Group: Junior Member,Posts: 418,201008,,Religion card is out!!!
otua,20170417,Casual,Group: Junior Member,Posts: 490,201305,,this can be put under akta hasutan
Boom Mortar,20170417,Getting Started,Group: Junior Member,Posts: 145,201309,,leader camni la baru perosak negara...
Timemuffin,20170417,Getting Started,Group: Junior Member,Posts: 84,201107,,why TSu really panai2 cut title topic
taiping...,20170417,Getting Started,Group: Junior Member,Posts: 80,201604,,Sigh...Still so backward
xcxa23,20170417,Enthusiast,Group: Senior Member,Posts: 796,201011,,It's lowyat forum systemTry it n see
buysellaccount,20170417,Getting Started,Group: Junior Member,Posts: 116,201110,,"baik, dato seri."
MR_alien,20170417,Mr.Alien on the loss,Group: Senior Member,"Posts: 2,021",200710,From: everywhere in sabah,so we're voting based on religion not based on capability?
xcxa23,20170417,Enthusiast,Group: Senior Member,Posts: 796,201011,,Janji org kite
ashburn98,20170417,Runaway train,Group: Senior Member,"Posts: 1,549",200511,,"No need waste time, just repeat below everthing settle.LwNLT428PqU"
roadrunner0,20170417,Getting Started,Group: Junior Member,Posts: 61,201306,,"Cash is king, no matter what religion also have to give in."
neoFluidic,20170417,New Member,Group: Junior Member,Posts: 47,201408,,bagus ada PM macam nihhhhow abt those ppl who dont want other than Islam ??? biar je sbb tak penting ?? kan kan kan ??
teehk_tee,20170417,#crushingit ?,Group: Senior Member,"Posts: 5,201",200504,From: KUL/BKK/HKG/JKT,fuhhhnice card bro
Ichibanichi,20170417,Getting Started,Group: Junior Member,Posts: 221,200811,,Kecian.Dont dare to use his FGV project as selling point.Takut kena baling telur busuk.
Vape [On],20170417,Regular,Group: Senior Member,"Posts: 1,069",201511,,Next card in queueRace card.
everest,20170417,Getting Started,Group: Super Senior,Posts: 61,200709,,
SinzChan,20170417,New Member,Group: Junior Member,Posts: 12,201110,,sosma apply tak?
Red_rustyjelly,20170417,Getting Started,Group: Junior Member,Posts: 183,201702,,"there u go again, use religion cards in politics."
soowky,20170417,New Member,Group: Junior Member,Posts: 10,200907,From: /kay/,x pakai tudung tolak islam x?
keny2020j,20170417,Getting Started,Group: Junior Member,Posts: 276,200906,,"health care, development, education, and economy card also fail. so need use religion card"
wkn,20170417,New Member,Group: Junior Member,Posts: 37,200812,,what happen if religion card also fail?
keny2020j,20170417,Getting Started,Group: Junior Member,Posts: 276,200906,,race card
Lumiaaa,20170417,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,kesian Malay no freedom of choosing religion
sonic31s,20170417,Getting Started,Group: Junior Member,Posts: 85,201604,,
jamilselamat,20170417,Getting Started,Group: Junior Member,Posts: 87,201107,,"While your claims are yet to be proven(gotta watch my back these days), many more Malays are getting affected by this thought. It probably wont change which party they cross in the election, but its growing in their conscience.And since our bottomline is also slowly being affected(price of goods), the stakes for the regular people in the coming election is actually high this time. Its shaping up to be some of the most divisive election in history."
pisces88,20170417,Look at all my stars!!,Group: Senior Member,"Posts: 2,392",200711,,Play religion card ke
gundamsp01,20170417,Getting Started,Group: Junior Member,Posts: 104,200910,,"So sad, this card is so effective which show that the stupidity of msian are still remain all time high"
xcxa23,20170417,Enthusiast,Group: Senior Member,Posts: 796,201011,,Must add 1 moreBr1m
Prometric,20170417,Getting Started,Group: Junior Member,Posts: 216,201008,,Tsunami Cina 2.0 is coming
United Rulez,20170417,On my way,Group: Senior Member,Posts: 543,200609,,Religion card sudah mariErection sudah mari
xcxa23,20170417,Enthusiast,Group: Senior Member,Posts: 796,201011,,Meh..High time most Malay still will choose org kiteJanji org kiteReligion card is and always will be super effectiveD future of msia n msian is determined by malay
ikankering,20170417,New Member,Group: Newbie,Posts: 3,201701,,cukur.bn 2/3 please.
narf03,20170417,Look at all my stars!!,Group: Senior Member,"Posts: 3,647",200412,"From: Metro Prima, Kuala Lumpur, Malaysia, Earth, Sol","Lol religion used again, why not say don't vote those anti corruption."
manjacat,20170417,New Member,Group: Junior Member,Posts: 27,201312,,face up ke face down position?
