Topic title: Pakatan  Won t Abolish GST,"Topic posted on: 24 Apr 2017, 07:29:00",Topic link: https://forum.lowyat.net/topic/4273662,"Topic scraped on: 02 Aug 2017, 03:13:42",
username,date,avatar_title,group,post_count,join_date,from,text
PappyBoyington,20170424,Getting Started,Group: Junior Member,Posts: 142,201606,,"SOS CiliU-Turn disease infectious Pakatan now says it won't abolish GST if it wins GE14TASEK GELUGOR: Pakatan Harapan will not abolish the Goods and Services Tax (GST) if it comes into power in the 14th General Election.Instead, PKR vice-president Nurul Izzah Anwar said Pakatan will not continue with the current ""high"" percentage.""We are mindful of the hardship faced by the people.""We will not impose such a high percentage and further burden the people,"" she said in her speech during a ceramah organised by Penang Parti Pribumi Bumiputera Malaysia (PPBM).Present was PPBM chairman Tun Dr Mahathir Mohamad.This marks an about turn by the opposition coalition, which had previously stressed that it would remove the GST if it were to take Putrajaya.Pakatan had even organised an anti-GST rally in KL last April.As recently as January this year, DAP secretary-general Lim Kit Siang was quoted as saying that the opposition would scrap the GST if it were to assume control of the Federal government.Opposition leader Datuk Seri Dr Wan Azizah Wan Ismail had in 2015 also proposed that the coalition would propose to abolish the GST in its Alternative Budget for 2016.Dr Mahathir, at PPBM's launch early this year, had also declared that should the opposition win the general election, the GST would be abolished gradually and replaced with a sales tax ""according to the people's will.""The GST is currently fixed at six per cent.It replaced the Sales and Services Tax (SST) of up to 10 per cent."
xpmm,20170424,Regular,Group: Senior Member,"Posts: 1,440",200301,From: bukit mertajam,"Pakatan will not continue with the current ""high"" percentage.good enough"
palgo47,20170424,Getting Started,Group: Junior Member,Posts: 196,200610,,Flip flop budaya kita...oh wai
ihatemynahs,20170424,New Member,Group: Junior Member,Posts: 33,201012,"From: Kota Tinggi, Johor",3%
will4848,20170424,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,Kan mereka ni semua ahli umno ?? ...
PappyBoyington,20170424,Getting Started,Group: Junior Member,Posts: 142,201606,,"Funny lah reading the excruciating back-pedaling. Take a step back, and ask what you have been supporting lah :Wonder how these people will feel"
Duperaider,20170424,New Member,Group: Junior Member,Posts: 17,201605,,"lol if it is so easy to remove gst, the most possible outcome is a reduction of gst"
Proton Supir-ma S,20170424,New Member,Group: Newbie,Posts: 2,201308,,They will say gst helps to support the falling price of oil
Thrust,20170424,Power To The People!!!,Group: Senior Member,"Posts: 2,515",200510,,"To be fair, Pakatan is using their brains. They cannot simply abolish GST when the current regime had given the country massive debt. What they can do is probably reduce the rate."
alexcky,20170424,business Sifu,Group: Senior Member,Posts: 754,200711,,U turn budaya Malaysia.. PAKATAN oso learn from dumbno
will4848,20170424,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,"Sama saja, dulu sebelum election, bijan pun cakap, u help me, i help u .....Lepas election, u help me, i gst sama u ...... dan semua harga barang pun naik....apa lancaio ni ???Kan semua pun abang adik ?? Ahli umno sama saja..."
L_nette,20170424,New Member,Group: Junior Member,Posts: 37,201311,,I will vote the party that promise to increase gst to 15%-20%Too many poorfags lansi nowadays. Tax bayar cukai tapi boleh beli barang mahal. Cibai punya orang. Should let these tax avoiders feel the pain
marlick25,20170424,Casual,Group: Junior Member,Posts: 375,201101,,So they werent using their brains when they demanded to abolish GST?
wanritsu,20170424,Getting Started,Group: Junior Member,Posts: 242,201207,From: live and let live,Dont really care about gst. What I care is I am not voting for PAS
PappyBoyington,20170424,Getting Started,Group: Junior Member,Posts: 142,201606,,ok
Vape [On],20170424,Regular,Group: Senior Member,"Posts: 1,069",201511,,Dapat ker samsung a9?
PappyBoyington,20170424,Getting Started,Group: Junior Member,Posts: 142,201606,,"So, back in 2013 the very same MP says ""GST is regressive""http://www.freemalaysiatoday.com/category/...n-says-pakatan/PETALING JAYA: Pakatan Rakyat has urged Putrajaya to consider structural reforms to address current weaknesses in the economy instead of rushing into implementing the much-debated goods and services tax (GST).“Something as major as the implementation of GST must be brought down to the average consumer and debated in parliament in order to get a full standing,” Lembah Pantai MP Nurul Izzah said during the forum “GST: Cure or Addiction” hosted by Pakatan last night."
PappyBoyington,20170424,Getting Started,Group: Junior Member,Posts: 142,201606,,aku tahu la engkau dapat S8+
Thrust,20170424,Power To The People!!!,Group: Senior Member,"Posts: 2,515",200510,,"Biasalah, politician's marketing.."
Spectreoutreach,20170424,Casual,Group: Junior Member,Posts: 348,200801,,fair enough.even they reduce by half. if already good enough
shinkawa,20170424,parttime otaku,Group: Senior Member,Posts: 816,200806,,cannot remove already. the whole eco system get use to it
Jackie-Cham,20170424,Getting Started,Group: Junior Member,Posts: 180,200601,,"So whose fault is it that the gst had to be implemented in the first place.BarangNaik caused a massive debt with all the corruption, I'm not surprised if they lose in the upcoming GE , the next party that takes over won't be able to immediately remove the gst."
ciwi1166,20170424,~~~Prestissimo~~~,Group: Senior Member,"Posts: 2,000",200612,From: In your head...,u believe all these politicians ah?   later simply capati. need higher GST due to bla bla bla...
