Topic title: Tuan Ibrahim  PAS Mahu Terajui Pemerintahan,"Topic posted on: 28 Apr 2017, 11:00:00",Topic link: https://forum.lowyat.net/topic/4277324,"Topic scraped on: 02 Aug 2017, 03:12:49",
username,date,avatar_title,group,post_count,join_date,from,text
ironmaid89,20170428,New Member,Group: Newbie,Posts: 0,201208,,"Tuan Ibrahim Tuan Man (tengah) bergandingan tangan dengan Nik Mohamad Abduh Nik Abdul Aziz (dua dari kiri) dan Timbalan Ketua Dewan Pemuda Pas, Muhammad Khalil Abdul Hadi (dua dari kanan) selepas perasmian Muktamar Dewan Pemuda Pas Malaysia Ke-58Pas hari ini tanpa berselindung menyatakan keinginan untuk menerajui pemerintahan di Selangor yang kini di bawah tampuk kuasa PKR selain bercita-cita menawan Kedah, Terengganu, Pahang serta mengekalkan pemerintahan di Kelantan pada Pilihan Raya Umum Ke-14 (PRU-14).Timbalan Presidennya, Datuk Tuan Ibrahim Tuan Man berkata, perkara itu merupakan sebahagian daripada misi yang ditetapkan kepemimpinan tertinggi parti termasuk Presiden Pas, Datuk Seri Abdul Hadi Awang di samping penumpuan terhadap 40 kerusi Parlimen yang diyakini mampu dimenangi.“Saya tak fikir hasrat kami ini akan menimbulkan sebarang masalah terhadap hubungan dengan PKR kerana sebelum ini pun Pas sememangnya menerajui Selangor dengan memenangi 15 kerusi berbanding 13 yang dimenangi PKR pada pilihan raya umum lalu.“Cumanya kami memberi laluan kepada PKR untuk menjadi Menteri Besar dengan Pas masih bersama mereka mentadbir Selangor,” katanya dalam sidang akhbar selepas merasmikan Muktamar Dewan Pemuda Pas Ke-58, hari ini.Ditanya adakah perkataan ‘menerajui’ seperti yang dinyatakannya itu membawa maksud Pas akan mengambil alih kerusi Menteri Besar yang kini disandang Datuk Seri Mohamed Azmin Ali, Tuan Ibrahim tidak mengiya atau menafikannya.“Ini tentang masa depan, kita akan tengok keputusan selepas PRU-14 nanti. Apa pun, kami akan cuba semaksimum mungkin untuk menerajui Selangor kerana memiliki kekuatan di sana,” katanya.Menjawab soalan sama ada kerjasama bersama PKR akan diteruskan pada PRU-14, beliau berkata, perkara itu adalah di bawah bidang kuasa Majlis Syura Ulama Pas dan parti akan mematuhi sebarang keputusan yang mengenainya.“Setakat ini, kami masih berhubungan dengan PKR di seluruh negara kerana Majlis Syura Ulama masih belum membuat keputusan. Kita tengoklah macam mana selepas ini,” katanya.Mengulas dakwaan Pengerusi Parti Pribumi Bersatu Malaysia (PPBM), Tun Dr. Mahathir Mohamad semalam kononnya tindakan Pas berseorangan hanya akan meranapkan impian pembangkang untuk memerintah negara, Tuan Ibrahim berkata, perkara itu tidak akan berlaku sekiranya Pakatan Harapan diketuai DAP tidak mengganggu kerusi-kerusi ditandingi Pas.“Pertamanya, mereka perlu sedar bahawa Pas bukan sendiri kerana kami bersama Gagasan Sejahtera yang turut disertai Parti Ikatan Bangsa Malaysia (Ikatan). Keduanya, masih banyak lagi kerusi yang perlu diberi perhatian berbanding kerusi yang mana Pas telah mempunyai kekuatan di situ sejak sekian lama,” katanya.Dalam pada itu beliau menegaskan, pergolakan yang berlaku sebelum ini membawa nikmat kepada Pas di mana suasana parti menjadi lebih harmoni tanpa ada kekecohan seperti yang berlaku dalam pemilihan parti 2015.“Lihat saja pemilihan kali ini yang mana tidak berlaku keadaan saling buruk-memburuk antara satu sama lain. Ini adalah nikmat ukhwah yang kita terima selepas berlaku pergolakan seperti itu,” katanya.http://www.utusan.com.my/berita/politik/pa...5#ixzz4fVcBaLqk"
desmond2020,20170428,Getting Started,Group: Junior Member,Posts: 280,200506,,Daytime don't dream so muchwithout non Muslim vote they can kiss goodbye to all their seat in selangor
joe_mamak,20170428,Casual,Group: Junior Member,Posts: 333,200612,,"HuehuehuePAS wants to win Kelantan, Kedah, Perak.  Also wants to be top gun in Selangor."
keny2020j,20170428,Getting Started,Group: Junior Member,Posts: 276,200906,,weed too much. got halal weed ar?
alanyuppie,20170428,Look at all my stars!!,Group: Senior Member,"Posts: 2,629",200607,From: here,Its like a   pedo trying to find  job  in a kindergarten. They think they are the best employee to handle the sweet young kids. syok sendiri only waiting for chance orgy in classrooms.
ikankering,20170428,New Member,Group: Newbie,Posts: 3,201701,,hudud in selangor can?
Zanei Gundan,20170428,New Member,Group: Junior Member,Posts: 32,201008,From: Universal Century,selangor? pas?kilang carlsberg will cease its operation?
blueblueoutofblue,20170428,Enthusiast,Group: Senior Member,Posts: 878,201112,,"selangor business ppl has much to lose if PAS win selangor...so, definitely a NO"
soowky,20170428,New Member,Group: Junior Member,Posts: 10,200907,From: /kay/,muktamar ada jual ketum ke?
Spectreoutreach,20170428,Casual,Group: Junior Member,Posts: 348,200801,,Okay besok kena 1st prize
DarkAeon,20170428,Casual,Group: Junior Member,Posts: 452,201011,,selangor folks will be happy to put u back in place to where u belog
wanritsu,20170428,Getting Started,Group: Junior Member,Posts: 242,201207,From: live and let live,habislah selangor if pas memerintah
Nafirii,20170428,New Member,Group: Newbie,Posts: 1,201307,,no pls
VoidDance,20170428,New Member,Group: Junior Member,Posts: 7,201703,,"No la. All those states will fall back under BN since there will be 3 way fight in possibly each seat contested by PAS. In 3 way fight in malay majority area, UMNO will always win. Bodo PAS. BN/UMNO don't need PAS to join them. They only need PAS to compete against them and PH which will benefit UMNO more."
99FoxDemon,20170428,New Member,Group: Junior Member,Posts: 19,200603,From: East Coast of Cuba.,They forgot how they can get the seat izit?Ge 13...  1 vs 1... Ge 14... 1 vs 2 or 3....Ge 13 theme is ABU. Ge 14... pas for life izit?
ikankering,20170428,New Member,Group: Newbie,Posts: 3,201701,,mean selangor oredi pas state?
