Topic title: Musuh utama ialah DAP  bukan UMNO   PAS,"Topic posted on: 30 Apr 2017, 15:37:00",Topic link: https://forum.lowyat.net/topic/4279124,"Topic scraped on: 02 Aug 2017, 03:12:21",
username,date,avatar_title,group,post_count,join_date,from,text
CeDhhVss,20170430,Getting Started,Group: Junior Member,Posts: 58,201206,From: hurr-durr,XjMN5R8WD8w
ikankering,20170430,New Member,Group: Newbie,Posts: 3,201701,,please pas contest in penang.
keown83,20170430,Getting Started,Group: Junior Member,Posts: 166,200909,From: penang wit love,OK OKPAS contest in Penang & DAP contest in KelantanDeal?
Vape [On],20170430,Regular,Group: Senior Member,"Posts: 1,069",201511,,"You makan bkt , i makan rendang.Deal?Bodo bahlol."
popice2u,20170430,Regular,Group: Senior Member,"Posts: 1,017",201104,,musuh yg paling besar ialah kamu sendiri
DarkAeon,20170430,Casual,Group: Junior Member,Posts: 452,201011,,musuh utama ko adalah ketiadaan cermin tengok muka sendiri
kcchong2000,20170430,New Member,Group: Newbie,Posts: 3,200901,,HIV tu musuh utama Kat kelantan. Settle that first before talk rubbish.
observ,20170430,New Member,Group: Junior Member,Posts: 7,201610,,I wonder if Tok Guru Nik Aziz just turned in his grave.
SomethingSweet,20170430,New Member,Group: Newbie,Posts: 3,201204,,Jangan cakap banyakNanti panggil North Korea kasi u satu bomb baru tahu
DarkNite,20170430,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,
hotjake,20170430,Getting Started,Group: Junior Member,Posts: 82,201011,,"Buang bayi, main jubor, nyah, dadah tinggi juga kan?"
ikankering,20170430,New Member,Group: Newbie,Posts: 3,201701,,good.opp hate each other.what a lovely day.
ikankering,20170430,New Member,Group: Newbie,Posts: 3,201701,,asal bukan dap.
ibnunarsim,20170430,Getting Started,Group: Junior Member,Posts: 211,201201,From: Klang - KL - Klang,Sudah la tu macai.. wait for GE la ok.. itu jam kasi pangkah mana u suka.. puihhh!!
kira_mha,20170430,Getting Started,Group: Junior Member,Posts: 129,200905,,Wakil penang mmg musuh dgn DAP sbb kat penang UMNO mcm pupus dah
silent_stalker,20170430,Enthusiast,Group: Senior Member,Posts: 820,201204,,So now ABU becomes ABD
MasBoleh!,20170430,Regular,Group: Senior Member,"Posts: 1,079",200906,From: MYBoleh.NET,"I am actually perplex, how can people defy the very legacy of their tok guru so easily and then still can every day sprouting out nonsense? I know DAP isn't saint and may be a threat to muslim. But seriously, there are times we need to put down religion and look at a bigger picture. Don't get the priorities wrong seriously.. don't be too indulge into religion and forgo without using common sense and logic."
limfreelance,20170430,Getting Started,Group: Junior Member,Posts: 277,201107,From: Land of SaberLion :3,sedak bes sedak.
hotjake,20170430,Getting Started,Group: Junior Member,Posts: 82,201011,,"Don't show your sourness to all to see that others r strong while sendiri being weak like hell, the glory days of Islam wasn't forged with this sissy undersieged mentality"
BlueButtBaboon,20170430,FEEL WITH IT,Group: Senior Member,Posts: 516,201408,From: hutan lipor,Bright future la bodo
DarkAeon,20170430,Casual,Group: Junior Member,Posts: 452,201011,,i'm actually quite interested to know how dap is a threat to muslims?are there examples?
Exiled_Gundam,20170430,On my way,Group: Senior Member,Posts: 531,200701,,their tok guru's dream is to make Malaysia fully practice Islamic law.
Vape [On],20170430,Regular,Group: Senior Member,"Posts: 1,069",201511,,How can dap a threat to muslim?Are you a threat to muslim?
ibnunarsim,20170430,Getting Started,Group: Junior Member,Posts: 211,201201,From: Klang - KL - Klang,"Becoz of ""put down religion"", rakyat lost rm2.6b... hahahaha.."
samftrmd,20170430,Interface 2037,Group: Senior Member,"Posts: 1,403",200711,From: Planet Earth,haih.... cainis salah again...
Mikken,20170430,#,Group: Senior Member,"Posts: 1,056",200803,,90mil can deal already. Whole party can be boughtApa tunggu lagi DAP
khelben,20170430,I love my mum & dad,Group: Senior Member,"Posts: 5,819",200301,From: Suldanessellar,
Annoynimous,20170430,Casual,Group: Junior Member,Posts: 330,201204,,Musuh paling besar sperma kau.Kalaulah kau kongkek dapat anak nescaya kebodohan tu akan tersebar.
