Topic title: Rafizi dakwa penasihat PM  penganjur zikir terima,"Topic posted on: 03 May 2017, 17:55:00",Topic link: https://forum.lowyat.net/topic/4281010,"Topic scraped on: 02 Aug 2017, 03:11:45",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170503,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.freemalaysiatoday.com/category/...-penerima-wang/Rafizi dakwa penasihat PM, penganjur zikir terima wang akaun NajibKhairil Ashraf | May 3, 2017Beliau turut menyebut sebuah kedai menjual barang kemas mewah di Itali dalam dakwaanya yang lebih RM10 juta wang daripada akaun peribadi Najib.KUALA LUMPUR: Naib Presiden PKR Rafizi Ramli hari ini menamakan tiga pihak yang menurutnya menerima wang berkait 1MDB daripada akaun peribadi Datuk Seri Najib Razak, sambil berkata pendedahannya supaya memberi tekanan kepada Suruhanjaya Pencegahan Rasuah Malaysia (SPRM) membuka semula siasatan terhadap perdana menteri.“(Ia) sebagai tindakan nekad agar SPRM buka semula siasatan terhadap berhubung skandal 1MDB,” kata Rafizi kepada wartawan di badan kaji selidiknya Invoke Malaysia.Memetik blog “SPRM Insider”, Rafizi menamakan Datuk Amhari Effendi Nazaruddin, yang menurutnya menerima sebanyak RM2 juta.Rafizi berkata carian Suruhanjaya Syarikat Malaysia (SSM) mendapati Amhari merupakan pengarah dan memegang 50% saham dalam Orb Solution Sdn Bhd, syarikat yang bertanggungjawab membangunkan aplikasi telefon pintar “Najib Razak” yang dilancarkan Oktober tahun lalu.Rafizi berkata Amhari, yang merupakan rakan sekolahnya dahulu, merupakan penasihat kanan di Pejabat Perdana Menteri, dan turut terlibat dalam rundingan menyelesaikan hutang 1MDB dengan IPIC baru-baru ini.“Sekiranya beliau penerima wang 1MDB, sudah tentu beliau tidak layak terlibat dalam rundingan penyelesaian hutang 1MDB, kerana wujud pertembungan kepentingan,” katanya sambil menyeru Amhari tampil menjawab dakwaan itu.Pihak kedua dinamakan oleh Rafizi adalah Najib, di mana beliau mendakwa transaksi sebanyak RM449,586.95 berlaku daripada kad kredit di bawah akaun peribadi di Ambank Islamic kepada Amhari.Satu lagi transaksi dibuat daripada kad kredit Najib sebanyak RM2,833,147.21, kata Rafizi.Menurutnya, kedua-dua transaksi itu berjumlah RM3.28 juta dibelanjakan dalam hari sama di sebuah kedai barang kemas mewah di Itali.Beliau mahu Najib tampil menjawab sama ada pembayaran itu berlaku dan untuk siapa.“Ini soalan mudah. Kerana sudah tentu Najib tidak beli barang kemas di Itali.”Pihak ketiga yang dinamakan Rafizi ialah Yayasan Al-Abrar, badan yang menganjurkan majlis zikir “Malaysia Bersalawat” di Kuala Lumpur pada 7 Disember, 2013.Rafizi berkata yayasan tersebut menerima RM5 juta daripada akaun peribadi Najib di Am Islamic Bank Berhad.Dakwaan Rafizi hari ini hampir sebulan selepas beliau menamakan bekas timbalan presiden PAS, Datuk Nasharuddin Mat Isa, menerima sejumlah wang berkait 1MDB, menerusi peguam Najib, Datuk Hafarizam Harun.Nasharuddin bagaimanapun menafikan dakwaan itu.Rafizi berjanji meneruskan pendedahan lebih ramai pihak yang menerima wang didakwa berasal dari dana 1MDB.“Supaya SPRM tidak ada pilihan kecuali memberi maklum balas tentang perkara ini. SPRM tidak boleh berdiam diri.“SPRM perlu berdepan dengan rakyat,” katanya.Beliau mendakwa maklumat yang diperolehinya adalah sahih dan disemak balik dengan dokumen rasmi siasatan SPRM ke atas 1MDB.Pada 2015, dokumen siasatan SPRM yang dipetik The Wall Street Journal mendedahkan sejumlah RM2.6 bilion mengalir masuk daripada akaun dan entiti berkait 1MDB ke akaun peribadi milik Najib pada 2013.Najib bagaimanapun berkata wang tersebut merupakan derma keluarga diraja Arab Saudi kepada Umno untuk menjalankan kempen pilihan raya umum tahun itu.Siasatan pasukan khas melibatkan SPRM itu bagaimanapun tidak diteruskan selepas Peguam Negara Tan Sri Mohamed Apandi Ali mendapati Najib tidak bersalah."
ikankering,20170503,New Member,Group: Newbie,Posts: 3,201701,,not believe. najib the best pm ever.
fazlythewarrior,20170503,Getting Started,Group: Junior Member,Posts: 173,200706,From: Kuala Lumpur,People will get tired of this 1MDB dont give a damn anymore and later vote BN because dapat BRIM. F.
Clement1001,20170503,On my way,Group: Senior Member,Posts: 591,201201,,We need this guy to do check and balance for the country cash flow.
sammyboyz,20170503,New Member,Group: Newbie,Posts: 0,201610,,takda apapunfew months down the road...no issue....
Slowpokeking,20170503,New Member,Group: Newbie,Posts: 0,201410,,Look. Wolves!
Spectreoutreach,20170503,Casual,Group: Junior Member,Posts: 348,200801,,busy shopping ?
andrewhtf,20170503,Enthusiast,Group: Senior Member,Posts: 780,200604,From: Clerking. Data Entry like a Mad Man,"SPRM jawab ""tak ada kes"""
Daniel John,20170503,New Member,Group: Junior Member,Posts: 38,200607,,"this guys serius ke? or ""saya bergurau saja"""
haturaya,20170503,Regular,Group: Elite,"Posts: 1,123",200301,,Where the needed 4 witness? Ohwai
azhan82,20170503,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,"Pihak kedua dinamakan oleh Rafizi adalah Najib, di mana beliau mendakwa transaksi sebanyak RM449,586.95 berlaku daripada kad kredit di bawah akaun peribadi di Ambank Islamic kepada Amhari.Satu lagi transaksi dibuat daripada kad kredit Najib sebanyak RM2,833,147.21, kata Rafizi.That amount tho..Rich people's CC...Unbelieberbel"
neoFluidic,20170503,New Member,Group: Junior Member,Posts: 47,201408,,Rafizi the hero msiaHidup DAP and pakatan
