Topic title: Najib effect,"Topic posted on: 08 May 2017, 10:20:00",Topic link: https://forum.lowyat.net/topic/4284109,"Topic scraped on: 02 Aug 2017, 03:11:15",
username,date,avatar_title,group,post_count,join_date,from,text
IMORTALfatahL2401,20170508,New Member,Group: Junior Member,Posts: 27,201305,,FT Arsenal 2-0 Man U-wenger 1st win agaisnt Jose -Arsenal end Man U unbeaten streak Najib >allall Hail!!!
Rusty Nail,20170508,Why am I still here?,Group: Senior Member,"Posts: 4,551",200301,From: Petaling Jaya,prime minister cybertrooper department is monitoring this thread
Lionel90,20170508,I lift! Or so I think..,Group: Senior Member,Posts: 824,201607,,That's why our economy is booming
altan,20170508,Getting Started,Group: Junior Member,Posts: 166,200909,"From: Either PJ, JB or SG but not at your house!",/koloshttps://forum.lowyat.net/topic/4283930
Slowpokeking,20170508,New Member,Group: Newbie,Posts: 0,201410,,As an Arsenal fan. Thanks.
lifeofkuli,20170508,New Member,Group: Junior Member,Posts: 32,201604,,Ggmu
upcars,20170508,New Member,Group: Newbie,Posts: 3,201702,,gunners for life
JeremyLord,20170508,Getting Started,Group: Junior Member,Posts: 218,201211,From: Planet Earth,Working towards a betternation
Kaerna,20170508,Getting Started,Group: Junior Member,Posts: 282,200802,,Should ask him make weekly predictions...Bet against what he said confirm rich...
Jackie-Cham,20170508,Getting Started,Group: Junior Member,Posts: 180,200601,,Based on his confidence on which team that will win..I highly doubt it.
vga_cable,20170508,New Member,Group: Newbie,Posts: 0,201702,,why ts post 2 same thread
