Topic title: Najib and Rosmah at One Belt One Road,"Topic posted on: 15 May 2017, 00:10:00",Topic link: https://forum.lowyat.net/topic/4289582,"Topic scraped on: 02 Aug 2017, 03:09:49",
username,date,avatar_title,group,post_count,join_date,from,text
pop eyes,20170515,New Member,Group: Newbie,Posts: 2,201101,,
M4A1,20170515,[*#^?SONE?^#],Group: Senior Member,"Posts: 1,171",200508,,i saw putin!!
ijan,20170515,The one with a boring life...,Group: Senior Member,"Posts: 3,069",200301,From: Sarawak,rosmah is terrifying...
goco17,20170515,Getting Started,Group: Junior Member,Posts: 50,201009,From: Middle-Earth,i saw puting
spamfish,20170515,Getting Started,Group: Junior Member,Posts: 142,200705,From: Penang,Najib: Putin come meet my special minister hisaputing
moolala,20170515,New Member,Group: Newbie,Posts: 0,201703,,terrifying because of what?by comparing the body size in the row?lol
lowya,20170515,Regular,Group: Senior Member,"Posts: 1,871",200903,,i saw a UK palace guard
lowya,20170515,Regular,Group: Senior Member,"Posts: 1,871",200903,,"Putin: No thanks, homosexual is illegal in Russia."
003,20170515,New Member,Group: Newbie,Posts: 0,201506,,Cosplay
ijan,20170515,The one with a boring life...,Group: Senior Member,"Posts: 3,069",200301,From: Sarawak,"i dunno...look at the face, the expression...the HAIR!Imagine Charlotte Linlin kinda thing..."
moolala,20170515,New Member,Group: Newbie,Posts: 0,201703,,i don't know who is charlotte linlin wasso i go search google images for charlotte linlin
makiyo monroe,20170515,New Member,Group: Newbie,Posts: 0,201705,,Ugly piece of shit.
wilsonjay,20170515,Wade Wilson,Group: Senior Member,"Posts: 1,493",200602,From: When The World Comes Down,dat double chin
0168257061,20170515,10k Club,Group: Senior Member,"Posts: 14,183",200707,From: Tongshan,dat buffed up
kiasunkiasi,20170515,On my way,Group: Senior Member,Posts: 538,200711,,"as usual, kak Ros is loving Bijan so much that she willing to walk in front of him to block any potential danger"
EternalC,20170515,"Take what you can, give nothing back",Group: Senior Member,Posts: 800,200704,From: the sins never die,hitam muka diatengah bergaduh letew
vassilius,20170515,Getting Started,Group: Junior Member,Posts: 292,200904,From: The Fifth Dimension,who's in charge?
eksk,20170515,Casual,Group: Junior Member,Posts: 382,200410,,whole family there lar. Norashman and Riza Aziz too
hollyweed,20170515,New Member,Group: Junior Member,Posts: 19,201505,,i saw putin putang ina mo
empatTan,20170515,On my way,Group: Senior Member,Posts: 684,201603,,
doppatroll,20170515,Getting Started,Group: Junior Member,Posts: 133,201309,,
nonsensezzz,20170515,New Member,Group: Newbie,Posts: 0,201103,From: PEN-KUL-JHB,"we can see Putin on the right, and we also can see Najib at.... whew is Najib?"
ahpooki,20170515,Getting Started,Group: Junior Member,Posts: 54,201303,,the witch from sleeping beauty ....?
hotjake,20170515,Getting Started,Group: Junior Member,Posts: 82,201011,,nice helmet
titanz,20170515,New Member,Group: Junior Member,Posts: 20,201201,,who is that lady drinking wine?
