Topic title: DAP s Raub MP suffers stroke  recovering,"Topic posted on: 23 May 2017, 22:38:00",Topic link: https://forum.lowyat.net/topic/4299049,"Topic scraped on: 02 Aug 2017, 03:07:53",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170523,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/383214DAP's Raub MP suffers stroke, recovering23 May 2017DAP's Raub MP Ariff Sabri Abdul Aziz is recovering in a hospital after suffering from a stroke on Friday.DAP stalwart Lim Kit Siang said he had been out of intensive care since Saturday and is recovering.""He is doing ok, he is recovering,"" Lim told Malaysiakini when contacted...For the rest of this story and more, subscribe for only RM150 a year (full news access)or RM420 a year (full news + full archive access). If you're already a subscriber, please sign in."
joe_mamak,20170523,Casual,Group: Junior Member,Posts: 333,200612,,Get well soon.
kitongti,20170523,New Member,Group: Junior Member,Posts: 20,201306,,"For the rest of this story and more, subscribe for only RM150 a year (full news access)or RM420 a year (full news + full archive access). If you're already a subscriber, please sign in"
Slowpokeking,20170523,New Member,Group: Newbie,Posts: 0,201410,,Get well soon
joe_mamak,20170523,Casual,Group: Junior Member,Posts: 333,200612,,Thank you for reposting.
kitongti,20170523,New Member,Group: Junior Member,Posts: 20,201306,,that the other way to BUMP your thread...
joe_mamak,20170523,Casual,Group: Junior Member,Posts: 333,200612,,"Yes, thank you too."
and85rew,20170523,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,get well soon
Faidzal,20170524,Getting Started,Group: Junior Member,Posts: 234,200808,From: From JB to KL!,"get well soon dato' ariff!I hope like your namesake (sakmongkol), you can keep fighting!inb4 inilah contoh melayu pengkhianat penjilat tegar dapigs padan muka kena stroke...."
unwanted guy,20170524,New Member,Group: Junior Member,Posts: 6,201705,,balasan tuhan
NXaqua,20170524,On my way,Group: Senior Member,Posts: 573,200605,"From: Either Ayer Itam, Kota Bharu or Kuala Terengganu",My sincere apology for wrongly posted.
