Topic title: Apsal Najib masih popular  Invoke ini bodo ke apa ,"Topic posted on: 25 May 2017, 11:34:00",Topic link: https://forum.lowyat.net/topic/4300152,"Topic scraped on: 02 Aug 2017, 03:07:26",
username,date,avatar_title,group,post_count,join_date,from,text
bangaubagus,20170525,Getting Started,Group: Junior Member,Posts: 162,201608,,"Survey shows Najib leads as next PM choice at 31pc, Anwar at 8pcSUNGAI BESI, May 24 — Datuk Seri Najib Razak remains the top choice to be the next prime minister at 31 per cent while his key political rival Datuk Seri Anwar Ibrahim only scored a miserly 8 per cent support in the latest survey of 17,962 voters carried out by a PKR-linked outfit.In the latest survey by the Invoke Centre for Policy Initiatives, 5,568 respondents chose the Barisan Nasional (BN) chairman when given 10 names to pick from as the country's next prime minister.While the survey data showed Anwar as the most popular out of all nine Opposition leaders listed for the top post, the 1,462 voters who named him translated as a whole to 8 per cent.https://sg.news.yahoo.com/survey-shows-naji...-083700381.htmlSummore letak diri sendiri depan Azmin and Jijah... bodo sotong masuk bakul angkat sendiri"
helpful,20170525,New Member,Group: Junior Member,Posts: 18,201412,,THINK if this is rational >............................................................These numbers are totally CHURN out by these Advertising firms whom receive millions for :1) Respect my DUDE campaign 2) Giving ideas & making it happen as to how to fill Bukit Jalil stadium 3) many other events to make it look like -------- there is a lot of support Already smell a RAT long time ago !
buysellaccount,20170525,Getting Started,Group: Junior Member,Posts: 116,201110,,same invoke by rapizi?
wankongyew,20170525,Regular,Group: Senior Member,"Posts: 1,075",200711,,"Stupid poll actually. Only one name, Najib, representing BN politicians. Nine names representing opposition parties. Like this, of course Najib will win."
bangaubagus,20170525,Getting Started,Group: Junior Member,Posts: 162,201608,,"Go and read lah, by figure the result tallies ergo same invoke by sotong"
metalslug,20170525,Casual,Group: Junior Member,Posts: 313,200605,From: Lowyat.net @ Kopitiam,"GE pon boleh menang, u ingat ini survey susah for PM? bodo punya TS"
+3kk!,20170525,Look at all my stars!!,Group: Senior Member,"Posts: 7,850",200605,,"err, why notcontrary to popular belief, even in the last election, BN won almost everything there was to win EXCEPT popular vote.so basically there are a lot of people who loves BNthis is before the opposition imploded, and all the bullshit they pulled off"
max_cjs0101,20170525,Tarp hater and detector,Group: Staff,"Posts: 1,339",200411,From: A' Ghàidhealtachd,Sama bodoh & sampah macam tered TS.
bangaubagus,20170525,Getting Started,Group: Junior Member,Posts: 162,201608,,"Survey done by Sotong PKR la, bukan BN one"
bakry,20170525,Getting Started,Group: Junior Member,Posts: 264,200702,,"where is the sample located?if you hantar the survey at a BN area, memang la."
bangaubagus,20170525,Getting Started,Group: Junior Member,Posts: 162,201608,,Go and ask Sotong Lapiji la
The Sand Cat,20170525,New Member,Group: Junior Member,Posts: 7,201411,,"Ofcoz la he wins, put one BN others oppo."
kabuto12,20170525,Getting Started,Group: Junior Member,Posts: 82,201604,,because he is the supreme leader!!! owhy
Toyoi,20170525,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,kononnya 'Moral man' tapi suka cerca org bodo dan meludah puiii...
darthboyzzee,20170525,New Member,Group: Junior Member,Posts: 42,201502,,Quoting this for future reference.
bangaubagus,20170525,Getting Started,Group: Junior Member,Posts: 162,201608,,So many people questioning Invoke way to conduct suvery.. Ini Lapiji sotong otak mmg x boleh guna. lmao
wankongyew,20170525,Regular,Group: Senior Member,"Posts: 1,075",200711,,"Yes, fairer poll would be 5 candidates to each side. Add people like Hishammuddin, Khairy, Zahid etc. into the poll."
joe_mamak,20170525,Casual,Group: Junior Member,Posts: 333,200612,,"Well, Najib is likely to be BN's choice for PM anyway.  Whereas, PH they shy-shy don't want to announce who they have in mind.  So, the poll put more than one lor."
metalslug,20170525,Casual,Group: Junior Member,Posts: 313,200605,From: Lowyat.net @ Kopitiam,lafizi maybe bribed by najip
moolala,20170525,New Member,Group: Newbie,Posts: 0,201703,,lolsurveycannot trust
amon_meiz,20170525,On my way,Group: Senior Member,Posts: 666,200901,,But then wouldn't the result be inaccurate?
Newsray,20170525,Getting Started,Group: Junior Member,Posts: 199,201112,,Poll it here in kopitiam and you know the result.
