Topic title: Karpal Singh,"Topic posted on: 01 Jun 2017, 19:52:00",Topic link: https://forum.lowyat.net/topic/4306775,"Topic scraped on: 02 Aug 2017, 03:06:29",
username,date,avatar_title,group,post_count,join_date,from,text
everest,20170601,Getting Started,Group: Super Senior,Posts: 61,200709,,Temple has Karpal Singh statuehttp://www.chinapress.com.my/?p=975891
WongCobain,20170601,Casual,Group: Junior Member,Posts: 404,201110,"From: Yesterday, 10:21 PM",tiger
Big Balls Jackson,20170601,New Member,Group: Junior Member,Posts: 7,201402,,bodo
KuzumiTaiga,20170601,Spends too much time with mechanical keyboards,Group: Senior Member,"Posts: 2,847",200806,From: Cheras ~ London WC1E 7HU~ Shenzhen,Don't.....
joe_star,20170601,Serving the Servants,Group: Senior Member,"Posts: 1,457",200703,,Tiger of jelutong mah
L_nette,20170601,New Member,Group: Junior Member,Posts: 37,201311,,Looks like kfc colonel sanders
netmatrix,20170601,The machine... it sees everything.,Group: Senior Member,"Posts: 4,134",200301,From: Zion,Tiger! Tiger! Tiger!Shyoruken!
WongCobain,20170601,Casual,Group: Junior Member,Posts: 404,201110,"From: Yesterday, 10:21 PM",can i just post tiger? theres no tiger of acheh anyway
lifebalance,20170601,Life & Mortgage Planner,Group: Senior Member,"Posts: 4,063",201411,,Najib see this statue sure scared liao
nearlee,20170601,Getting Started,Group: Junior Member,Posts: 103,200905,From: iNearly,tu la bodo dah datangNearlee
OrangCacat,20170601,Casual,Group: Junior Member,Posts: 383,201012,,lol sure bola kecut at night kennot sleep
RGRaj,20170601,New Member,Group: Junior Member,Posts: 40,201304,,datuk putih la
thevelvet,20170601,Getting Started,Group: Junior Member,Posts: 61,200606,,Tahap dewa
neoFluidic,20170601,New Member,Group: Junior Member,Posts: 47,201408,,hope will forever haunting bijan
SonnyCooL,20170601,Web Bastard,Group: Senior Member,"Posts: 4,584",200409,From: www.bitching.asia,I thought dato is malay
omong,20170601,New Member,Group: Newbie,Posts: 0,201106,,Karpal Singh still releven meh??
aLittleMisfit,20170601,Honorary Lifetime Misfit,Group: Senior Member,Posts: 788,200606,From: MSG Land,i would pay his respect
mattsynyster,20170601,Getting Started,Group: Junior Member,Posts: 63,201302,"From: Ono Nonoko,",ooo datuk karpal
nazrul90,20170601,Getting Started,Group: Junior Member,Posts: 253,200909,,"Ini bukan statue, action figure toy ni"
hotjake,20170601,Getting Started,Group: Junior Member,Posts: 82,201011,,Wtf
