Topic title: Kita bertuah sebab Najib sangat telus,"Topic posted on: 03 Jun 2017, 10:31:00",Topic link: https://forum.lowyat.net/topic/4309135,"Topic scraped on: 02 Aug 2017, 03:06:04",
username,date,avatar_title,group,post_count,join_date,from,text
joe_mamak,20170603,Casual,Group: Junior Member,Posts: 333,200612,,"http://www.malaysiakini.com/news/384371MalaysiaKiniKita bertuah sebab Najib sangat telus2 Jun 2017Pembangkang harus sedar, ketua parti bertanggungjawab mencari dana bagi memastikan segala program dapat dijalankan, kata Datuk Seri Mohd Sharkar Shamsudin.Justeru, anggota Majlis Tertinggi Umno itu berkata, Umno merupakan sebuah parti yang beruntung kerana mempunyai seorang presiden yang telus, iaitu Datuk Seri Najib Razak.""Kita (Umno) beruntung kerana ketua parti kita sangat telus. Datuk Najib sudah terangkan banyak kali (dari mana dana untuk parti itu diperolehi) tetapi pembangkang ini, cakap apa pun mereka tidak akan percaya,"" katanya kepada Umno Online.Anggota Dewan Undangan Negeri Lanchang di Pahang itu mengulas kenyataan Naib Presiden Parti Amanah Negara (AMANAH), Datuk Dr Muhajid Yusof Rawa, baru-baru ini.Dalam keyataan yang disiarkan Malaysiakini Mujahid meminta semua ketua bahagian Umno dan parti komponen BN yang menerima dana didakwa dari kantung SRC International supaya bertaubat dan memulangkan wang berkenaan kerana ia adalah milik rakyat.SRC suatu ketika dulu ialah anak syarikat 1MDB yang ditubuhkan kerajaan.Pengkritik mendakwa wang berkenaan disalurkan dari SRC ke akaun persendirian Najib.Peguam Negara Tan Sri Mohamed Apandi Ali sudah membersihkan perdana menteri daripada sebarang salah laku atau penyelewengan.Mohd Sharkar berkata seorang ketua parti memang bertanggungjawab mencari dana untuk menggerakkan sebarang aktiviti mereka.Terbukti 'suka menipu'Orang bawahan pula, katanya, tidak pernah bertanya dari mana dana berkenaan diperolehi.“Memang kerja ketua parti cari duit... contoh ketua-ketua bahagian saya minta duit untuk jalankan aktiviti, mereka tidak pernah tanya duit datang dari mana.""Kalau ketua parti tidak boleh cari duit, maka jangan jadi ketua parti,"" katanya lagi.Sehubungan itu Mohd Sharkar meminta agar pembangkang berhenti memainkan isu 1MDB yang didakwanya dikitar semula serta diputar belit.""Pembangkang sebenarnya semakin terdesak dan tandus isu... isu 1MDB sudah diterangkan banyak kali dan semuanya telah dijawab tapi mereka (pembangkang) asyik kitar semula.""Tolonglah move on, jangan asyik cari publisiti murahan,"" katanya lagi.Mohd Sharkar juga menasihati Mujahid supaya sedar bahawa segala yang didedahkan oleh Naib Presiden PKR, Rafizi Ramli adalah perkara yang tidak betul.""Apa yang didedahkan oleh Rafizi bukannya betul kerana telah terbukti Rafizi suka menipu,"" katanya."
Zaxx_Yong,20170603,Getting Started,Group: Junior Member,Posts: 65,201611,,joe joe joe
Boom Mortar,20170603,Getting Started,Group: Junior Member,Posts: 145,201309,,jioe jieo jieo
bobohead1988,20170603,Enthusiast,Group: Senior Member,Posts: 837,200706,From: Sungai-Takda-Ara,laju jer joe
xpole,20170603,Personal satisfaction,Group: Senior Member,Posts: 864,200912,From: Scotland,Memang telus pun Najib.Pihak pembangkang je memang kaki putar belit cerita.Especially si Rafizi tu. Bapa putar belit dalam pembangkang
helpful,20170603,New Member,Group: Junior Member,Posts: 18,201412,,Dare to take LIE detector test or not ?
joe_mamak,20170603,Casual,Group: Junior Member,Posts: 333,200612,,Can I ask you a question?  What do you think of 1MDB?
and85rew,20170603,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,That day angry denyThen threaten to sueThen donationNow given to the chiefsWhat next?
azhan82,20170603,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,yeah right....and his wifu is not fat...and his son never was a DJ wannabe..and best part.... saudis are terrorist and money launderers...Very telus indeed...
smallcrab,20170603,Getting Started,Group: Junior Member,Posts: 82,200707,From: Puchong,Jibby telus?55555
avatargod,20170603,New Member,Group: Junior Member,Posts: 32,200812,,Me too
Lithium Hirumi,20170603,New Member,Group: Newbie,Posts: 0,201605,,Tong simen inkambing. Arwah memang baik orangnya.
ThirdSon,20170603,New Member,Group: Junior Member,Posts: 20,201006,From: kota kinabalu,keep it telus keep it telus kepit telur
jamilselamat,20170603,Getting Started,Group: Junior Member,Posts: 87,201107,,I see many ktards are abusing Poe's Law here.
andylyc,20170603,New Member,Group: Newbie,Posts: 2,201705,,Telus babi mak dan bapak kau
unknown warrior,20170603,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,ha ha ha nice joke. Kaki Jilat penajip punya geng kroni.
will4848,20170603,UNKNOWN,Group: Senior Member,Posts: 594,201009,From: DONT KNOW,pundek ...
honorable thief,20170603,New Member,Group: Junior Member,Posts: 6,201704,,"Syukur Jibby bawak Tongshan ke Malaysia, sampai kaki Ketuanan dan gang protek maruah pun diam-diam ubi saja. Macai-macai pun sudah lama tak suruh I balik Tongshan."
@zan65,20170603,New Member,Group: Junior Member,Posts: 19,201612,From: Penang - Skudai,"""Apa yang didedahkan oleh Rafizi bukannya betul kerana telah terbukti Rafizi suka menipu,""tak semua rafizi bohong, ad yg betul dia ckp. so kesimpulannya rafizi nh campur2x ad bohong ad betul so kesimpulannya lg, mmg x ley pircaya...."
ashburn98,20170603,Runaway train,Group: Senior Member,"Posts: 1,549",200511,,"cash is king, in all honesty."
freeman1,20170603,New Member,Group: Junior Member,Posts: 39,201503,,"Ya, rakyat boleh patut bersyukur, kerana pm tidak berbelanja tanpa had macam saudi king..."
