Topic title: KWAP S fund size to hit RM500b by 2050  says Najib,"Topic posted on: 06 Jun 2017, 13:21:00",Topic link: https://forum.lowyat.net/topic/4315005,"Topic scraped on: 02 Aug 2017, 03:05:51",
username,date,avatar_title,group,post_count,join_date,from,text
soowky,20170606,New Member,Group: Junior Member,Posts: 10,200907,From: /kay/,"KWAP’S fund size to hit RM500b by 2050, says NajibKUALA LUMPUR, June 5 – The Retirement Fund Inc’s (KWAP) fund size is expected to hit US$500 billion by 2050, growing between eight to 10 per cent a year, Datuk Seri Najib Razak said.The Prime Minister said since its establishment one decade ago, KWAP has recorded commendable achievements and performance.He said KWAP’s fund size grew 200 per cent from RM42 billion in 2007 to RM125 billion in December 2016.“Of the US$125 billion, RM53.6 billion resulted from increased in investment income which in turn will be used to fund pension liabilities.“This is KWAP’s contribution to the nation and the retirees,” he said at KWAP’s 10th anniversary celebration and opening of its new main office at Menara KWAP Integra, The Intermark, here today.KWAP Chairman Tan Sri Dr Mohd Irwan Serigar Abdullah and KWAP Chief Executive Officer Datuk Wan Kamaruzaman Wan Ahmad were present.Najib, who is also Finance Minister, said KWAP also achieved an average gross return on investment of 6.5 per cent for the last 10 years.“Although global prospects are uncertain, with external challenges in the investment and economic climate in recent years, I believe KWAP will continue to show positive and consistent financial performance as it had achieved so far,” he added.He said KWAP has greatly contributed to the nation by financing and implementing an efficient retirement functions and helping the government in the redistribution of income to ensure that the welfare of pensioners are guaranteed.The Prime Minister said KWAP’s fund has helped the government finance rakyat’s projects such as affordable housing built by Skim Perumahan Nasional Bhd, infrastructure projects such as government quarters, hospitals, schools and sports centres spearheaded through the private finance initiative.Meanwhile, Najib asked KWAP to invest in healthcare as Malaysia is expected to enter an ageing nation status in 2030 based on a survey conducted by the United Nations.However, he said the investment would have to meet certain criteria and would be able to provide returns to KWAP.At the event, Najib also launched MyPesara, a mobile app designed specifically for retirees. — Bernamasos"
seikoho1,20170606,Getting Started,Group: Junior Member,Posts: 63,201405,,PNB = EPF MONEY = TOWER RAKYAT 1M.
doppatroll,20170606,Getting Started,Group: Junior Member,Posts: 133,201309,,"Really, I think he forgot to say only in KL>....."
D10yrspain,20170606,Getting Started,Group: Junior Member,Posts: 100,201210,,time to look for diamond ring size sebesar 2 lubang hidung
sheahann,20170606,Crashing like a tidal wave..,Group: Senior Member,"Posts: 2,013",200609,From: i-city,So what if KWAP money grow ? Duit tu siapa yang punya.. cakap siapa punya
cicak.fakir,20170606,Getting Started,Group: Junior Member,Posts: 270,201605,,my kwsp will also RM500m by 2050....
Exquisite,20170606,Getting Started,Group: Junior Member,Posts: 73,200602,,growing due to increase of the number of contributors or growth due to capital appreciation?
ozak,20170606,10k Club,Group: Senior Member,"Posts: 11,687",200501,,Is he eyeing that money ?
max_cjs0101,20170606,Tarp hater and detector,Group: Staff,"Posts: 1,339",200411,From: A' Ghàidhealtachd,Ada duit laju je
Timemuffin,20170606,Getting Started,Group: Junior Member,Posts: 84,201107,,did Pak Lah/Mahatir ever make such stupid statements before?regarding KWAP/EPF....
Black2690,20170606,Getting Started,Group: Junior Member,Posts: 56,201106,,and then ah... at that time MYR = USD berapa sudah?
happyking4ever,20170606,Getting Started,Group: Junior Member,Posts: 192,201502,,how come malaysia still enter ageing nation status with so many young banggla import?
Zaryl,20170606,Hardcore Casual Gamer,Group: Senior Member,"Posts: 1,040",200301,From: Kedah Khap Khoun Khap (4K),pls don't touch my duit pencen god damn you ah jib!
MR_alien,20170606,Mr.Alien on the loss,Group: Senior Member,"Posts: 2,021",200710,From: everywhere in sabah,sudah guna habis pun u tak tahu lagi
moolala,20170606,New Member,Group: Newbie,Posts: 0,201703,,kwsp crapringgit depreciation
Ayer,20170606,Getting Started,Group: Junior Member,Posts: 141,201203,,why stop there
bereev,20170606,Getting Started,Group: Junior Member,Posts: 53,201112,,someone pocket growth accordingly
