Topic title: Idris Jala sudah siapkan laporan FGV   Najib,"Topic posted on: 15 Jun 2017, 13:13:00",Topic link: https://forum.lowyat.net/topic/4327414,"Topic scraped on: 02 Aug 2017, 03:04:36",
username,date,avatar_title,group,post_count,join_date,from,text
upcars,20170615,New Member,Group: Newbie,Posts: 3,201702,,"vg-ClxiDiGsIdris Jala sudah siapkan laporan FGV - NajibPublished on Jun 14, 2017Datuk Seri Idris Jala, sebagai pihak bebas yang dilantik untuk menangani kemelut yang melanda Felda Global Ventures Holdings Bhd (FGV), telah menyiapkan laporannya, kata Perdana Menteri Datuk Seri Najib Tun Razak.Beliau berkata laporan itu akan diumumkan pada masa yang sesuai.Najib berkata beliau turut meminta Idris melihat beberapa langkah dan pilihan dalam menyelesaikan kemelut berkenaan.""(Kita) tengah teliti segala fakta dan apa keputusan yang sebaiknya berdasarkan tiga prinsip saya sebut -- mengikut akta syarikat, tadbir urus yang baik dan proses yang adil,"" katanya kepada pemberita selepas mempengerusikan Mesyuarat Majlis Kewangan Negara Tahun 2017 semalam.Idris dilantik sebagai pihak tidak berkepentingan untuk mengemukakan bukti siasatan kes dan menyarankan penyelesaian berhubung keputusan FGV yang mengarahkan Presiden Kumpulan yang juga Ketua Pegawai Eksekutif Datuk Zakaria Arshad, Ketua Pegawai Kewangan Ahmad Tifli Mohd Talha dan dua pengarah kanannya bercutiPelantikan Idris turut dipersetujui pihak terlibat iaitu Pengerusi FELDA Tan Sri Shahrir Abdul Samad, Pengerusi FGV Tan Sri Isa Samad, Zakaria dan Ahmad Tifli."
max_cavalera,20170615,the world is so beautiful..,Group: Senior Member,"Posts: 4,517",200606,"From: Cyberjaya, Shah Alam, Ipoh",RIP isa....Been a parasite leecherof felda for far too long edi
JohnLai,20170615,Skeptical Cat,Group: Senior Member,"Posts: 1,152",200604,,Eh?Strange.....Even professional audit team normally takes few months to check everything.This guy team is able to do it in few days? Very fishy....
ray123,20170615,Senior Citizen,Group: Senior Member,"Posts: 2,450",200301,,"I would be surprised if the hammer does come down on anyone... but I'm cynical to believe that they will simply say everything was done in a proper manner, but 'unfortunately' those 'investments' and 'business decisions' did not succeed."
lorrydriverrocks,20170615,Getting Started,Group: Junior Member,Posts: 187,201405,,Already got template as contingency...in case something like this happensBet all these charade was already planned ahead
azhan82,20170615,Getting Started,Group: Junior Member,Posts: 240,201505,From: Klang Valley,we all know Zakaria and his allies in FGV will kena..Owai
riezzien,20170615,New Member,Group: Junior Member,Posts: 24,200901,,i believe in zakaria. but i think he will kena. lets see...
Starbucki,20170615,Enthusiast,Group: Senior Member,Posts: 817,200904,From: Petaling Jaya,either he didnt sleep or he got a huge team to do itor it is a high level report
keny2020j,20170615,Getting Started,Group: Junior Member,Posts: 276,200906,,"probably the report will show like thisNo issue/foul play in management, it cause by lower demand/ ringgit drop and etc. case close"
Daniel John,20170615,New Member,Group: Junior Member,Posts: 38,200607,,Datuk Zakaria blow whistle...top gun disagree...imej assasination and attack to lower down his credibility n integrity...malaysian malaysia...oh my
DarkNite,20170615,??? ???B!?,Group: Senior Member,"Posts: 10,887",200806,,Ha ha ha ha ha ha EXACTLY!
JohnLai,20170615,Skeptical Cat,Group: Senior Member,"Posts: 1,152",200604,,Problem is.....most of audit task is not divisible.Adding more manpower will not speed up operation once it reaches certain threshold.
otua,20170615,Casual,Group: Junior Member,Posts: 490,201305,,"i suspect the report is prepared by ajib instead of JALA, He just going to be asked to read it."
Zot,20170615,Regular,Group: Senior Member,"Posts: 1,922",201403,,The report already finished before the audit
Starbucki,20170615,Enthusiast,Group: Senior Member,Posts: 817,200904,From: Petaling Jaya,maybe scope just interview and sight documents only
myasiahobby,20170615,Casual,Group: Junior Member,Posts: 455,200912,From: Russia,buat wayang.
Toyoi,20170615,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,either found something or do nothing
RicoT,20170615,Getting Started,Group: Junior Member,Posts: 75,200902,,Bijan will kick both of them out and put his yesman into Felda
Randomization,20170615,Getting Started,Group: Junior Member,Posts: 213,200810,,"Waiting for both to get thrown under the bus.Then, hopefully they will reveal more dirty secret that gets them to their position."
waters,20170615,Getting Started,Group: Junior Member,Posts: 220,200301,,Probably because they already know what is going on...
