Topic title: NAJIB AMAT memahami isu kos sara hidup rakyat,"Topic posted on: 19 Jun 2017, 10:04:00",Topic link: https://forum.lowyat.net/topic/4330072,"Topic scraped on: 02 Aug 2017, 03:03:38",
username,date,avatar_title,group,post_count,join_date,from,text
bg12,20170619,Getting Started,Group: Junior Member,Posts: 154,201607,,"PETALING JAYA: “Saya amat memahami isu kos sara hidup rakyat,” itulah kata Perdana Menteri, Datuk Seri Najib Razak.Jelasnya, Kerajaan sentiasa berusaha sedaya upaya untuk mencari jalan bagi meringankan beban rakyat. Namun atas faktor-faktor tertentu, kenaikan harga sesetengah barangan tidak dapat dielakkan.“Pertama sekali, adalah faktor luar yang memberi tekanan terhadap ekonomi negara.“Apabila harga minyak mentah dunia turun, maka pendapatan Kerajaan berkurangan. Dalam konteks ini, dijangka lebih daripada RM30bilion pada tahun hadapan.“Maka sukarlah untuk Kerajaan melakukan campur tangan seperti menambah subsidi,” tulisnya di blog.Katanya lagi, apabila pendapatan negara berkurangan, para pelabur akan menjual Ringgit untuk melabur di negara yang tidak terkesan dengan kejatuhan harga minyak.“Kesannya, nilai Ringgit kita menguncup menyebabkan harga barangan import menjadi lebih mahal. Jika dilihat, trend Ringgit kita hampir selari dengan trend harga minyak,” jelasnya.Disebabkan kenaikan beberapa harga barangan, Najib menyatakan ada pihak tertentu cuba menyalahkan Kerajaan semata-mata.Walhal Kerajaan sedang berusaha dengan gigih mencari jalan bagi mengawal harga barang yang naik akibat faktor luaran.“Contohnya, Kerajaan telah mengumumkan diskaun-diskaun khas pengangkutan awam baru-baru ini.“Kerajaan juga sedang meneliti langkah-langkah lain yang perlu dan mampu dilakukan oleh kita,” katanya lagi.http://www.freemalaysiatoday.com/category/...p-rakyat-najib/"
hjffgjng,20170619,Getting Started,Group: Junior Member,Posts: 66,201705,,and yet his son blow 13 milion on rouletegud modatruckin jobunderdtand rskyat pain lel
stephankaan,20170619,Getting Started,Group: Junior Member,Posts: 128,200503,,butooooomasa minyak harga tinggi ko buat ape???
wailam,20170619,Getting Started,Group: Junior Member,Posts: 220,201411,"From: Sandakan, Sabah",meanwhile my salary still RM800
amxpayne67,20170619,The Coon,Group: Senior Member,Posts: 683,201003,From: Puchong Extreme,Well...
chtan,20170619,Regular,Group: Senior Member,"Posts: 1,329",200301,,"Ss, tax GST for another 7 categories of foods. Sh*t."
nagflar,20170619,Regular,Group: Senior Member,"Posts: 1,796",200704,From: Lower Perak,kan ada bagi br1m
BlueTicket,20170619,Getting Started,Group: Junior Member,Posts: 74,201201,,this is new to  me?got source?
ander7724,20170619,Getting Started,Group: Junior Member,Posts: 216,200610,From: Si Sa Ket,Naikan harga minyak la pa lagi...
sdin3269,20170619,New Member,Group: Junior Member,Posts: 49,200711,,"Betul, sokong,,,,, dengar ceta bag birkin ada model baru...."
