Topic title: Tabung  Saman Sarawak Report  PAS cecah RM200 000,"Topic posted on: 28 Jun 2017, 11:59:00",Topic link: https://forum.lowyat.net/topic/4341785,"Topic scraped on: 02 Aug 2017, 03:02:36",
username,date,avatar_title,group,post_count,join_date,from,text
upcars,20170628,New Member,Group: Newbie,Posts: 3,201702,,"9EB7ZIgMrHQTabung ‘Saman Sarawak Report’ PAS cecah RM200,000Published on Jun 27, 2017Setiausaha Agung PAS, Datuk Takiyuddin Hassan mengesahkan ‘Tabung Saman Sarawak Report’ yang dilancarkan semasa muktamar di Kedah, April lalu berjaya mengutip hampir RM200,000.Menurutnya, kutipan masih diteruskan dan parti itu berharap untuk mendapatkan jumlah wang secukupnya bagi membayar khidmat peguam yang telah dilantik bagi mengendalikan kes tersebut.“Alhamdulillah, Tabung Saman Sarawak Report yang dilancarkan semasa muktamar di Kedah, April lalu berjaya mengutip kutipan mencecah hampir RM200,000 untuk bayar khidmat peguam.“Semua wang ini disumbangkan oleh ahli dan penyokong PAS dan kami masih meneruskan kutipan derma itu,” katanya yang dipetik oleh akhbar Sinar Harian, hari ini.Takiyuddin juga dilaporkan berkata, PAS sudah bersedia dan sedang menunggu tarikh dari Mahkamah London untuk sesi pertama perbicaraan kes itu diadakan.“Kita sedang tunggu tarikh mahkamah tetapkan (berhubung kes saman terhadap Sarawak Report),” katanya.Presiden PAS Datuk Seri Abdul Hadi Awang pada April lalu mengemukakan saman fitnah RM90 juta apabila penulis artikel Sarawak Report mendakwa Perdana Menteri Datuk Seri Najib Razak menyalurkan dana sebanyak RM90 juta kepada parti itu.Abdul Hadi memfailkan saman fitnah terhadap editor Sarawak Report Clare Rewcatle-Brown di Mahkamah Tinggi di London.Isnin lalu, Sarawak Report berjaya mengutip jumlah dana yang diperlukan melalui platform dana awam - Crowd Justice - dalam tempoh masa tiga hari. Ketika berita itu ditulis, sebanyak GB£30,452 berjaya dikumpulkan menerusi 615 penyumbang."
thelws,20170628,Getting Started,Group: Junior Member,Posts: 217,200501,,"Fuh, tiap2 penyumbang kasi 50 gbp. That's like RM275 avg per person. Baiknya orang pas."
keny2020j,20170628,Getting Started,Group: Junior Member,Posts: 276,200906,,finally after soooooooooo long. how many from the 200k is from the pas leader or member themself?
soowky,20170628,New Member,Group: Junior Member,Posts: 10,200907,From: /kay/,got so many money still wanna ask for derma ke?
kolamazu,20170628,New Member,Group: Newbie,Posts: 0,201407,,"money sudah ada, but action ada ke takde? then what happen to the money?"
kevyon6,20170628,Getting Started,Group: Junior Member,Posts: 110,200605,From: Kuala Lumpur,why not channel the money to the needy instead?
party,20170628,Casual,Group: Junior Member,Posts: 427,201305,,Go into meeting...1st agenda. Compulsory donation rm50 abov..else kena tendag kuar parti
Timemuffin,20170628,Getting Started,Group: Junior Member,Posts: 84,201107,,why never ask Najib to contribute
pikacu,20170628,male tag rosak,Group: Senior Member,"Posts: 7,278",200606,From: Some Yih,u belip dat? lolmore like cash cow injected the funds at huge chunkthis amount kinda small compared to how botak kelantan's forests are
myasiahobby,20170628,Casual,Group: Junior Member,Posts: 455,200912,From: Russia,Pas jilat bijan.   Make sure thay hire professional lawyer not a joker like teoh beng hock case lawyer
keny2020j,20170628,Getting Started,Group: Junior Member,Posts: 276,200906,,"the usual ""kalau tak derma haram"" or kena denda by certain super natural power pattern?"
lauyah,20170628,ViSiToR,Group: Senior Member,Posts: 796,200301,From: Equine Park,so it's gonna be Tuesday like our najis?
mango27,20170628,Enthusiast,Group: Senior Member,Posts: 921,200604,,apasal tak saman MO1?
