Topic title: Sukarelawan PAS membersihkan jalanraya,"Topic posted on: 29 Jun 2017, 22:03:00",Topic link: https://forum.lowyat.net/topic/4343425,"Topic scraped on: 02 Aug 2017, 03:02:08",
username,date,avatar_title,group,post_count,join_date,from,text
darthboyzzee,20170629,New Member,Group: Junior Member,Posts: 42,201502,,So much negativity in /k now-days  . Hope this will fix it.   TINDAKAN AMAL PAS BERSIH SAMPAH DAPAT SANJUNGAN MASYARAKATBerikut adalah terjemahan dari akhbar Sin Chew Daily yang membuat liputan kerja gotong royong Jabatan Amal Kelantan dan Pahang semalam. Sumber : FB Nazman Che Iberahimhttp://www.1media.my/2017/06/tindakan-amal...mpah-dapat.html
cedyy,20170629,Regular,Group: Senior Member,"Posts: 1,081",200906,,should go and clean up welfare homes and not public road shoulders!
big[1],20170629,On my way,Group: Senior Member,Posts: 588,201506,,good.
abgropi,20170629,New Member,Group: Newbie,Posts: 0,201706,,16 hour jem.how to berak?
ctrl_alt_del,20170629,On my way,Group: Senior Member,Posts: 578,200501,,"Kelantan?PAS supporter throw rubbish everywhere, PAS unit amal have to clean up?"
Avex,20170629,Casual,Group: Junior Member,Posts: 483,200301,From: /k/ isle,konfirm kerja orang kite yang buang tu
Koichisan,20170629,New Member,Group: Junior Member,Posts: 8,201706,,At least they're doing something rather than just ranting when other people do good stuff.
bliztnull,20170629,New Member,Group: Newbie,Posts: 2,201306,,if only pas members just self destruct. Imagine all those free oxygenavailable for the rest of humanity.
and85rew,20170629,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,OkNow help org asli too
abgropi,20170629,New Member,Group: Newbie,Posts: 0,201706,,agree.after bn win this year GE hope all clean no rubbish.
abgropi,20170629,New Member,Group: Newbie,Posts: 0,201706,,double post.
herojack41,20170629,Master Of Trouble Maker,Group: Senior Member,"Posts: 5,404",200711,From: A Place Where God And Master Of TroubleMaker Exist,smart gilaTitleAhli PAS CUCI JALANRAYALMAO!
slimey,20170629,,Group: Senior Member,"Posts: 4,874",200704,,good la. police never enforce the littering law
ctrl_alt_del,20170629,On my way,Group: Senior Member,Posts: 578,200501,,"After BN win, kelantan will get better highway, lno more traffic jam during festive season, people will stop throwing rubbish like this, since traveling time reduced significantly."
cedyy,20170629,Regular,Group: Senior Member,"Posts: 1,081",200906,,we already pay taxes to take care of public cleanliness. their good deed will be more meaningful to people who need it most and not the govt or local councils
emburrar,20170629,New Member,Group: Newbie,Posts: 2,201410,From: Bandar Damai dan Indah,BN x buat mcm ni ke
alpayedo,20170629,Getting Started,Group: Junior Member,Posts: 209,200902,,This monday i balik kota bharu when entering new highway at gua musang entrance the sampah still there along the road side.Typical malay + ore kito
kcchong2000,20170629,New Member,Group: Newbie,Posts: 3,200901,,"Kenapa nak dekat erection baru buat. 4 tahun sangat panjang, sekarang baru buat?"
ahter,20170629,Getting Started,Group: Junior Member,Posts: 126,200807,,ore kito bue .. ore kito kutip ..
Dyson Jin,20170629,On my way,Group: Senior Member,Posts: 538,201303,,"this highways got collect tolls or not?If got collect tolls,then is tolls management punya salah lo..if no tolls,then memang kerja kerajaan negeri or majlis daerah kena settle lo.i use federal highways got bangla clean up the rubbish beside the dividers de.."
keown83,20170629,Getting Started,Group: Junior Member,Posts: 166,200909,From: penang wit love,kudos to PASthats the spiritno feel shame to collect sampahunlike Pakatun fag who think so up high pipu collect sampah also they look down on emPakatun coalition is trully a party for disgruntled wealthy pipuaverage joe malaysian shud avoid Pakatun at all costlulz
ZeroSOFInfinity,20170629,New Member,Group: Junior Member,Posts: 38,200510,,Oooooooooooo.....
quintesson,20170630,Casual,Group: Junior Member,Posts: 465,200610,,Good keep it up. Other parties bila?
abgropi,20170630,New Member,Group: Newbie,Posts: 0,201706,,other ppl should learn what happen.vote opp is not good .hidup umno!
bangaubagus,20170630,Getting Started,Group: Junior Member,Posts: 162,201608,,+1
Toyoi,20170630,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"u go search Rpk article mtoday: ""cuci tong"""
neoexcaliber,20170630,Getting Started,Group: Junior Member,Posts: 67,200501,,One of the reason they cleaned it up when they did was because of that Facebook post attacking Kelantan and the behaviour of its people that went viral.  I think it's ridiculous to turn to this into a political issue when it's Kelantanese cleaning up other selfish Kelantanese' mess.
Toyoi,20170630,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,Sg Documentary - Orang Asli eviction in Kelantan29 Jun 2017https://forum.lowyat.net/topic/4342935
netmatrix,20170630,The machine... it sees everything.,Group: Senior Member,"Posts: 4,134",200301,From: Zion,Clean up places also choose place. Hey go clean up Kg Baiduri la. Your stronghold damn dirty weh!!!
Hiwatari,20170630,Think u're good enuff 2 beat me?,Group: Senior Member,"Posts: 1,191",200510,From: tenet,few days b4 GEthen viral kaw2
alanyuppie,20170630,Look at all my stars!!,Group: Senior Member,"Posts: 2,629",200607,From: here,Kudos to those who walk the talk. Semoga diberkati tuhan.
technod,20170630,New Member,Group: Junior Member,Posts: 29,200703,,No hard feeling but your logic is like we can litter in the stadium because we already pay the tickets. Same like we can throw rubbish anywhere and expecting some cleaners to collect them.
max_cjs0101,20170630,Tarp hater and detector,Group: Staff,"Posts: 1,339",200411,From: A' Ghàidhealtachd,Sampah dalam parti bila nak bersihkan?
LivingActive,20170630,New Member,Group: Junior Member,Posts: 10,201504,From: RobotPencariEmel.com,buat komplenxbuat komplentipikal k
keown83,20170630,Getting Started,Group: Junior Member,Posts: 166,200909,From: penang wit love,gudsame goes to unsung hero Unit Amal PAS..so many deeds they do without a fuss..only sometimes someone feels wanna brought up their work in media for pipu to know what Unit Amal PAS did as they feel Unit Amal PAS has been treated unfairly in terms of pipus perception
arif85124,20170630,New Member,Group: Junior Member,Posts: 20,200903,From: inside Marisa hat,bersih sebahagian dari iman they said.......
