Topic title: My frenz from kepong will vote for BN,"Topic posted on: 30 Jun 2017, 10:11:00",Topic link: https://forum.lowyat.net/topic/4343693,"Topic scraped on: 02 Aug 2017, 03:02:12",
username,date,avatar_title,group,post_count,join_date,from,text
Haven Lunch,20170630,New Member,Group: Junior Member,Posts: 5,201509,,He said he cannot tahan DAP dictatorship which has govern Kepong for more than 30yrs. MP do nothing sleep inside his office while any dispute still need to find MCA to help. Jeng jeng jeng true color of DAP
ozak,20170630,10k Club,Group: Senior Member,"Posts: 11,687",200501,,Ask your friend snap the tidur DAP mp and viral here.
DarkAeon,20170630,Casual,Group: Junior Member,Posts: 452,201011,,1 friend only ah? how about the rest?u wan help in creating a script to randomize names to make it appear like many ppl wanna vote bn in kepong next ge?
celicaizpower,20170630,Race : ? Malay ? Chinese ? India ? /k/tard,Group: Senior Member,"Posts: 1,068",200901,"From: No 1, Moon of Earth, Milky Way Galaxy, Universe #1",how much BN pay you?
TheReaderReads,20170630,On my way,Group: Senior Member,Posts: 679,201101,,Najib for President!!!
HonMun,20170630,Professor,Group: Senior Member,Posts: 866,200511,From: Malaysia,Good.......Cannot pro 1 side.......who help us then we vote them......rules of thumb
Wassupman,20170630,On my way,Group: Senior Member,Posts: 595,201303,,KL seats are the most pathetic... there are no state power because it all lies on federal. oppositions can kecoh all they want but all decisions are made by federal.
Haven Lunch,20170630,New Member,Group: Junior Member,Posts: 5,201509,,Lol bn should put more quality contender. They helped them build mrt2 leh
spacelion,20170630,??,Group: Senior Member,"Posts: 1,378",200903,From: impossibru,do you recall when kepong voted for MCA what happen?they built that bridge connect Bukit Maluri to Kepong Baru. (the one from Wisma Fiamma go to Caritas Church)Before that need to go Jln Helang Sewah to go to Kepong Baru
Haven Lunch,20170630,New Member,Group: Junior Member,Posts: 5,201509,,"In my memory MCA never won, nor even contested at Kepong. Gerakan always the opposition."
Rusty Nail,20170630,Why am I still here?,Group: Senior Member,"Posts: 4,551",200301,From: Petaling Jaya,"Kek, quite true. When election near, only see their 4x4 with dap flag and loud speaker playing propaganda rounding Kepong"
abgropi,20170630,New Member,Group: Newbie,Posts: 0,201706,,deposit tetap is not good.see kelantan enough lah.
Lyu,20170630,Getting Started,Group: Junior Member,Posts: 157,201501,,Ur fren stupiak?Be end 50 years he no rage
zstan,20170630,10k Club,Group: Senior Member,"Posts: 11,982",200711,,how much DAP pay you?
hackwire,20170630,Look at all my stars!!,Group: Senior Member,"Posts: 4,180",200501,,no proof . ts bodo
loutze,20170630,Casual,Group: Junior Member,Posts: 378,201204,,Sleep alone or with china dolls?
herojack41,20170630,Master Of Trouble Maker,Group: Senior Member,"Posts: 5,404",200711,From: A Place Where God And Master Of TroubleMaker Exist,pagi dah politikustak bosan kah?
coolstore,20170630,Regular,Group: Senior Member,"Posts: 1,345",200804,,"that's y not long ago got wind news said wanna turn penang into federal zone like KL, labuan, putrajaya...."
Haven Lunch,20170630,New Member,Group: Junior Member,Posts: 5,201509,,Even his taikor cari dia pun tak layan.http://www.thestar.com.my/news/nation/2017...-incommunicado/
Wassupman,20170630,On my way,Group: Senior Member,Posts: 595,201303,,ya their motives are no surprise... but more importantly is that they are trying to get back those 'states' with the highest paying taxes one because that is where all the money lies...
spacelion,20170630,??,Group: Senior Member,"Posts: 1,378",200903,From: impossibru,"ok, yeah Gerakan. I always lump them together because they are both Chinese and support BN.I recall they(Gerakan) did win Segambut constituency a few times in the early 2000s."
Haven Lunch,20170630,New Member,Group: Junior Member,Posts: 5,201509,,"Why lipot me, pls go ask most kepong ppl if dun believe"
leonhang,20170630,Getting Started,Group: Junior Member,Posts: 166,200811,,"It's okay I won't blame them. Basically KL people can vote BN for all I care because it doesn't make a shit difference to the rest of the states as it's rather impossible for oppo to gain at least half of the Federation seat. If voting for BN means Kepong can be a better place, then why not ?"
leonhang,20170630,Getting Started,Group: Junior Member,Posts: 166,200811,,Exactly. That's why must defend Penang from falling into the Federal trapzone.
spacelion,20170630,??,Group: Senior Member,"Posts: 1,378",200903,From: impossibru,"For those not in the know, the KTM railway line divides Kepong constituency from Segambut constituency. I live in Segambut area which includes Bkt Maluri, Manjalara and DPC , and is definitely a lot more affluent compared to kepong Baru/Jinjang. Anything north of MRR2 is Batu constituency. So when ppl saying Kepong area they dont necessary mean DPC or Bkt Maluri."
neoFluidic,20170630,New Member,Group: Junior Member,Posts: 47,201408,,Fixed
joe_mamak,20170630,Casual,Group: Junior Member,Posts: 333,200612,,Why so many trolling threads these days? The other day there was that user Horn.  All his threads already deleted.
leonhang,20170630,Getting Started,Group: Junior Member,Posts: 166,200811,,"http://www.thestar.com.my/news/nation/2016...-1mdb-dealings/Why the fuck is this fuck still in DAP, DAP should kick this fuck out"
spacelion,20170630,??,Group: Senior Member,"Posts: 1,378",200903,From: impossibru,i still feel that most chinese in Batu/Segambut/Kepong will vote rocket logo in the end. It's quite hard to vote for any party that support Najib. Most of the younger folk also forgot mamaktir wrongdoings d.
Matrix,20170630,King of Char Siew!,Group: Senior Member,"Posts: 14,991",200301,From: Damansara Jaya/Bandar Utama,Your friend must be always in deep shit to frequently sought help from MP. Must be owing Ah Long lots of money. Then sought MP to cry victim.
upcars,20170630,New Member,Group: Newbie,Posts: 3,201702,,my friends will still vote PR in kepong. heck even my office colleagues also will prefer to vote oppo. my office in kepong btw.
tyrion,20170630,New Member,Group: Junior Member,Posts: 5,201504,,Kepong too many chinese Not speaking melei/English. Hated the place
LegendLee,20170630,><3LG3|\|D,Group: Elite,"Posts: 2,524",200603,,"That's not true. Tmn Bkt Maluri and Menjalara is considered Kepong as well. I know people who live there and are under Kepong Constituency. To be sure I checked the SRP maphttp://www.tindakmalaysia.org/online-elect...aps-of-malaysiaThe KTM line is followed, but there is a major portion where it does not."
Haven Lunch,20170630,New Member,Group: Junior Member,Posts: 5,201509,,U work for TSG? Ask him to wake up la kepong now still look like in 80s compared to hartamas bangsar.
Ckmwpy0370,20170630,Enthusiast,Group: Senior Member,Posts: 738,201605,,"I saw a lot of  news for those people in Kepong needs help mostly from MCA  Not DAP members, Why ah"
vcvcvc,20170630,New Member,Group: Newbie,Posts: 2,201603,,How much BN pay you
LegendLee,20170630,><3LG3|\|D,Group: Elite,"Posts: 2,524",200603,,"Yeah, Kepong is kinda lacking in development compared to some parts of the city.But most including me are happy with that. I don't need it to be another hartamas/bangsar So what if it looks a bit backwards?As long as the food is good and relatively cheap + the internet is fast enough. I'm happy. Not to mention there are a few malls around and plenty of places to go."
leonhang,20170630,Getting Started,Group: Junior Member,Posts: 166,200811,,"when Petaling Street became Bangla Street, the Chinese moved to Kepong thus Kepong is the true Petaling Street (Chinatown) of KL"
leonhang,20170630,Getting Started,Group: Junior Member,Posts: 166,200811,,"I salute you guys. Eventhough get little to no development you guys still vote for DAP, that my friend is call Man of Principles."
empatTan,20170630,On my way,Group: Senior Member,Posts: 684,201603,,"Tunasing, dis is Maresia! Without federal power, wat can u do?!!Besides, kaptong got a nice big park mah. Don't like kaptong, move to mont kiala lor..."
melt,20170630,On my way,Group: Senior Member,Posts: 681,200701,,lack of development in term of what? One thing for sure there is no lack is development  of the condo. So many project coming up at kepong. It will only make the place more congested in the coming 3-5 years time.
enviro,20170630,Getting Started,Group: Junior Member,Posts: 274,201111,,Your 2 or 3 friends will not matter much ?
vendetta87,20170630,New Member,Group: Junior Member,Posts: 46,200512,,apa dispute ?  jalan got lubang ? longkang sesak ?
alexcky,20170630,business Sifu,Group: Senior Member,Posts: 754,200711,,Haha good job TS.. Friend from mca?
grixis,20170630,Getting Started,Group: Junior Member,Posts: 69,200802,From: Vladivostok,"ya lor, give keeping back to MCA and perak, perlis, kedah, n9 to oppo"
LegendLee,20170630,><3LG3|\|D,Group: Elite,"Posts: 2,524",200603,,"Lacking in development in terms of proper malls.Rather than a simple Jusco or Tesco, there isn't a good high class mall.Then again any mall like that will probably just die with 1U not that far away. Also, there is a lack of  Public transport (train) other than kepong ktm But I'm not complaining.The internet is fast and the food is good.It doesn't need all that."
koolio,20170630,New Member,Group: Newbie,Posts: 2,201509,,"ooo... thank BN again! Vote for BN, make msia great again! yoohoo..."
razor_max,20170630,New Member,Group: Newbie,Posts: 3,201602,,PAKJIB...1MDB????STILL BLIND.....THE BIGGEST CONSPIRACY IN MALAYSIA NOWDAYS
puteraX2020,20170630,Enthusiast,Group: Senior Member,Posts: 759,200810,From: Shah Alam,I know this guy always tido
melt,20170630,On my way,Group: Senior Member,Posts: 681,200701,,The development of MRT will be ready in 3-5 years time. Actually which town with good public transport?
petang makan maggi,20170630,New Member,Group: Junior Member,Posts: 32,201703,,Actually TS is RBA in disguise.Purposely spreading rumours to lower BN's guard down.
LegendLee,20170630,><3LG3|\|D,Group: Elite,"Posts: 2,524",200603,,"I believe those who voted for opposition is more concerned about the country in general rather than Kepong. Given a choice between maintaining current pace vs more development but with higher GST, most will prefer the former.Kepong is considered a residential area. And as a residential area, it is alright. There's no high class malls or tonnes of train stations but we still have fast internet and they're building lots of roads there. Besides, everything else is a stone's throw away. Unlike rural areas where they remain undeveloped and the next best area are so far away."
LegendLee,20170630,><3LG3|\|D,Group: Elite,"Posts: 2,524",200603,,"Anywhere with LRT/MRT connectivity.KTM is.... not good. Well, most of us drive anyway."
adj3,20170630,New Member,Group: Newbie,Posts: 0,201407,,Since when those politican do work?
ashestoashes,20170630,New Member,Group: Junior Member,Posts: 26,200905,,vote DAP but ask help from michael chongini lawak
celicaizpower,20170630,Race : ? Malay ? Chinese ? India ? /k/tard,Group: Senior Member,"Posts: 1,068",200901,"From: No 1, Moon of Earth, Milky Way Galaxy, Universe #1","I also wonder   brb, checking bank account best question ever!  they already did phone survey leh... my wife even received a call from them..."
krizalid88_real,20170630,New Member,Group: Junior Member,Posts: 6,201501,,kepong so big only got 1 voter.
bsa12,20170630,Casual,Group: Super Senior,Posts: 354,200902,From: klang valley,"My friend from Kelantan wants to vote for umno, he cannot tahan PAS to hudud"
keown83,20170630,Getting Started,Group: Junior Member,Posts: 166,200909,From: penang wit love,"he tido but his administration works wellunlike DAP, looks berjaga but always in lala land"
