Topic title: No doubt  MRT is the biggest legacy of PM Najib,"Topic posted on: 11 Jul 2017, 10:49:00",Topic link: https://forum.lowyat.net/topic/4354726,"Topic scraped on: 02 Aug 2017, 02:58:53",
username,date,avatar_title,group,post_count,join_date,from,text
gsem984,20170711,Getting Started,Group: Junior Member,Posts: 126,201510,,"Singaproe already has this 30 years ago, now then PM is so proud to have this delivered to us. But this is typical malaysia, have now better then have none."
shinoxun,20170711,Getting Started,Group: Junior Member,Posts: 174,200804,"From: For me to know, For you to find out.",Ts you are wrong.Jibby's biggest legacy is the 1MDB scandal.
~Sherlock~,20170711,New Member,Group: Junior Member,Posts: 39,201010,,yeah its so-so. just hope got ppl use.
adj3,20170711,New Member,Group: Newbie,Posts: 0,201407,,"true wat, have now better then have nonewho care about singapore have 30 b4 usnajib legacy is rosmah"
Sycamore,20170711,New Member,Group: Newbie,Posts: 1,201506,,"Actually we already have ""metro system"", which we call it lrt. The new mrt is just a part of this bigger metro system. It's good but not legacy."
AnythingK,20170711,Getting Started,Group: Junior Member,Posts: 161,200807,,I <3 PM
iwan_smtk,20170711,XYZ,Group: Senior Member,"Posts: 1,019",200711,From: SK,
rcracer,20170711,?????,Group: Senior Member,"Posts: 3,437",200301,,"Biggest legacy is 1mdb, GST, Wolf of Wall Street , diamond ring, birkin hand bag , kangkung,"
Mikethebodo,20170711,New Member,Group: Junior Member,Posts: 26,201706,,"had they delivered it 20 years earlier, it would have been much cheaper !!!!!Our ringgit was stronger back then. And then no excuse la, because our PM 20 years ago was part of the cabinet."
tokdukun,20170711,Getting Started,Group: Junior Member,Posts: 259,200611,,"I'll give him credit for that.MRT had also helped us to develop tunneling skills. I think I saw some MRT documentary before, there's a lot more tunneling knowledge transferred locally compared to when MMC-Gamuda did SMART tunnel, there's even an academy established.In the future perhaps, tunneling skills may be needed locally, or around ASEAN region, and we can be the hub for others to consult to.Kudos to that. That is some genuine skill development, job creation and value added to our high skilled sector."
ThirdSon,20170711,New Member,Group: Junior Member,Posts: 20,201006,From: kota kinabalu,his biggest is that lovely lady next to him
gsem984,20170711,Getting Started,Group: Junior Member,Posts: 126,201510,,"The LRT project is a failure. Moving mass population is much better with MRT, instead of LRT. KL should use MRT from the beginning."
netmatrix,20170711,The machine... it sees everything.,Group: Senior Member,"Posts: 4,134",200301,From: Zion,"His legacy is all negative. Economically & politically. Scams, lies, deaths, finance, justice, commerce. He covered them all. It would be a 1000 page negative book compared to a 10 page public transport system. Even Grab & Uber availability is a touch and go one subject, where taxi people pulling political strings to be relevant."
koolio,20170711,New Member,Group: Newbie,Posts: 2,201509,,big blow for loony tun m?
teehk_tee,20170711,#crushingit ?,Group: Senior Member,"Posts: 5,201",200504,From: KUL/BKK/HKG/JKT,he's got brownie points for the MRT system.although he sort of offset it with a 15-25% decline in MYR against regional basket.
cloud666,20170711,Getting Started,Group: Junior Member,Posts: 73,201006,,its ok despite multiple times of costs? lol thats why still stuck in 3rd world
Lumiaaa,20170711,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,Bandar Malaysia TRX also
Lumiaaa,20170711,Getting Started,Group: Junior Member,Posts: 96,201409,From: LYN,Dr M fault for choosing LRT
jonn zee,20170711,Getting Started,Group: Junior Member,Posts: 228,201107,,"Ko gila apa??? Lrt git tunnel, smart tunnel is bigger n better tunnel.... we got the professionals since late 90s lah.....Very same personnel, chnage company only.. previously they are with renong (lrt) then go to smart tunnel then to kvmrt ( gamuda mmc jv) but all same person.... and they share theie expertise to the younger new generTion.engineers"
cj7,20170711,Casual,Group: Junior Member,Posts: 356,200803,,MRT is result of election which forced them to improve something. PM should thanks voter.
RO Player,20170711,Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",200301,,u never use ur otak...MRT is like big elephant..waiting to happen...over built...camera everywhere...extra features we dont really need...really overspend...billions gone to songlap...but still jam everywhere..
ma3da,20170711,Getting Started,Group: Junior Member,Posts: 50,201412,,to me legacy is something which no body created before...so to me our Metro system is actually TUN legacy
adamhzm90,20170711,On my way,Group: Senior Member,Posts: 559,201404,,a lot of camera also a problem to you?typical mentality..if not enough camera then accident happen bising pulakbodo
loui,20170711,Casual,Group: Junior Member,Posts: 391,200503,From: Seri Kembangan / Kota Bharu,still better then badawicouldn't really recall what badawi did on his 6 years tenure as PM
unknown warrior,20170711,12 Years Member /k/ ELDER,Group: Senior Member,"Posts: 2,802",200507,,30 years late.Irony.
JeremyLord,20170711,Getting Started,Group: Junior Member,Posts: 218,201211,From: Planet Earth,Syukur
iGamer,20170711,Casual,Group: Junior Member,Posts: 375,201602,From: BanhammerLand,Irrelevant to all living outside KL and Selangor.
axantra,20170711,Getting Started,Group: Junior Member,Posts: 58,200710,,apa beza LRT dan MRT??? sampai TS very proud with MRT...
notoriousfiq,20170711,Casual,Group: Junior Member,Posts: 425,200805,,"still jam because network still poor.. go to train station how? go bus station how? if we have superb network, like the train king japan, then we talk traffic lessen lah.."
keny2020j,20170711,Getting Started,Group: Junior Member,Posts: 276,200906,,Bijan biggest legacy is C4
sgwc,20170711,New Member,Group: Junior Member,Posts: 18,200601,From: inside a palace with ephemeral darkness embrace,"If you list out all the bads and goods dr m have done as plus and minus, all equal to zero. But Najib... Its a negative through and through."
RO Player,20170711,Now I am a Se7eN Star TigeR!,Group: Senior Member,"Posts: 3,759",200301,,u go check...1 mrt station..at least 50-70...accident? u really fark up brainwash..
adamhzm90,20170711,On my way,Group: Senior Member,Posts: 559,201404,,i think you're the one whose got brainwashed real good by PH..all things related to gomen must be wrong right?
MjMax15,20170711,Uncle Scrooge is back!,Group: Senior Member,"Posts: 1,348",200411,From: Heritage Waterfront City,"i think his legacy is TRX, including the tower, which in progressmrt is sidekick from his mega projects"
thesoothsayer,20170711,Casual,Group: Junior Member,Posts: 425,200612,,I thought the FLO1M is his biggest legacy? Can't get bigger than that.
zstan,20170711,10k Club,Group: Senior Member,"Posts: 11,982",200711,,since when MRT is to solve traffic jam lol.
