Topic title: Najib sindir Langkah Kajang,"Topic posted on: 11 Jul 2017, 11:00:00",Topic link: https://forum.lowyat.net/topic/4354750,"Topic scraped on: 02 Aug 2017, 02:59:26",
username,date,avatar_title,group,post_count,join_date,from,text
adamhzm90,20170711,On my way,Group: Senior Member,Posts: 559,201404,,"» Click to show Spoiler - click again to hide... «KUALA LUMPUR 10 Julai - Perdana Menteri, Datuk Seri Najib Tun Razak melalui status Facebook hari ini sempat bergurau dengan menyindir Langkah Kajang yang pernah digerakkan oleh pembangkang sebelum ini.Melalui sekeping gambar berkaitan projek Transit Aliran Massa (MRT) laluan Kajang, Najib berkata, kemudahan pengangkutan awam berkenaan merupakan Langkah Kajang yang sebenar.“Langkah Kajang yang sebenar. Akan menemui anda dalam tempoh tujuh hari lagi,” katanya di laman Facebook hari ini.Fasa dua perkhidmatan MRT laluan Semantan-Kajang akan dilancarkan pada 17 Julai ini.Fasa kedua itu akan melengkapkan jajaran MRT Sungai Buloh-Kajang sepanjang 51 kilometer. - UTUSAN ONLINEArtikel Penuh: http://www.utusan.com.my/berita/politik/na...8#ixzz4mUKrzhVI © Utusan Melayu (M) Bhd lulz PH kena troll"
adj3,20170711,New Member,Group: Newbie,Posts: 0,201407,,ts kena sindir sebab slowpoke
adamhzm90,20170711,On my way,Group: Senior Member,Posts: 559,201404,,where got?
amon_meiz,20170711,On my way,Group: Senior Member,Posts: 666,200901,,Nice lol
judehow,20170711,Regular,Group: Senior Member,"Posts: 1,413",201002,,kajang is worse township ever
WinkyJr,20170711,Getting Started,Group: Junior Member,Posts: 176,201007,,slowpoke but I still lol
ironmaid89,20170711,New Member,Group: Newbie,Posts: 0,201208,,https://forum.lowyat.net/index.php?showtopi...entry85587031
fantasy1989,20170711,Microsoft LUMIA,Group: Senior Member,"Posts: 3,847",200805,,the real langkah kajang satay
adamhzm90,20170711,On my way,Group: Senior Member,Posts: 559,201404,,sokay la the point is kajang move is just a waste of moneyy
adamhzm90,20170711,On my way,Group: Senior Member,Posts: 559,201404,,oh yah i baru perasan
