Topic title: Mahathir learn nothing from Brazil  ah ,"Topic posted on: 14 Jul 2017, 09:46:00",Topic link: https://forum.lowyat.net/topic/4358704,"Topic scraped on: 02 Aug 2017, 02:58:22",
username,date,avatar_title,group,post_count,join_date,from,text
Taufiq91,20170714,New Member,Group: Junior Member,Posts: 27,201207,,» Click to show Spoiler - click again to hide... «https://www.nytimes.com/2017/07/12/world/americas/brazil-lula-da-silva-corruption.html?mcubz=0Brazil's old President returns to politics and kena jailed pulak.Why does Mahathir think that going back to politics is a good idea? Why dun he try and do like Jimmy Carter where he can beat dengue or something?
smallcrab,20170714,Getting Started,Group: Junior Member,Posts: 82,200707,From: Puchong,"He alrdy 92. Jail or not, his time is nearing.His Main objective is downing Jibby."
Jasonist,20170714,gegegegege,Group: Senior Member,"Posts: 1,103",200605,From: Malaysia,coz THIS IS MALAYSIA!!!
Taufiq91,20170714,New Member,Group: Junior Member,Posts: 27,201207,,"So? Jimmy Carter is nearing 100, and yet he's done more outside his Presidency than any other person without returning to politics."
amxpayne67,20170714,The Coon,Group: Senior Member,Posts: 683,201003,From: Puchong Extreme,"what do he care, he is already 92 yo. Also, sending him to jail will increase his influence even further liao"
abgropi,20170714,New Member,Group: Newbie,Posts: 0,201706,,this is SEA country.dont expect much.
Mikethebodo,20170714,New Member,Group: Junior Member,Posts: 26,201706,,"He is already 92, by the time if you want to jail him, don't think he be around for long, and it doesn't look good on a nation to jail a 92 year old guy because he be matyerd."
alanyuppie,20170714,Look at all my stars!!,Group: Senior Member,"Posts: 2,629",200607,From: here,"Dr M already VERY old. he can choose use his ""earned"" money to live a lavish lifestyle for the next 30 years if he ever live that long.Why he wanna bother himself with politics and hal negara anymore? think about it."
$kidzl,20170714,New Member,Group: Junior Member,Posts: 42,201307,From: KL,"Bcs he's a Tun.And a Tun is immune from the law.Secondly, Malaysia is not Brazil. How we do things here are different.Thirdly, you bodoh."
DarkAeon,20170714,Casual,Group: Junior Member,Posts: 452,201011,,i bet bijan is thinking along those lines
Timemuffin,20170714,Getting Started,Group: Junior Member,Posts: 84,201107,,Aboi blum jadi PM lettew
Taufiq91,20170714,New Member,Group: Junior Member,Posts: 27,201207,,Why not?
afoka,20170714,Getting Started,Group: Junior Member,Posts: 62,200704,From: shaiberrjaiyezz,"dont put him jail la. it will gain more supporter and can drown bn more.mader songlap but bijan also songlap. enough la umno and bn...time change gov party. just najib songlap mcm commission based, simply make more project or buy submarine, more commission to him. build mrt and run 1mdb, komisen masuk poket bijan."
Seiro,20170714,Getting Started,Group: Junior Member,Posts: 55,201504,,Mahafiraun will always want to have the top powerIts in his bloodSince 2014 he try to bring down najibLucky for him najib is not a firaun. If not long time ago that firaun already in jail
vendetta87,20170714,New Member,Group: Junior Member,Posts: 46,200512,,
tomato people,20170714,New Member,Group: Junior Member,Posts: 26,201607,From: tomato land,This is Boleh land!
Spectreoutreach,20170714,Casual,Group: Junior Member,Posts: 348,200801,,are you sked of a old man
zoozooka,20170714,Getting Started,Group: Junior Member,Posts: 226,201206,,Mathatir cares about his prideIt's all about his pride and egoHappens when one got so much money that he can't buy power  and respect from people. That hurt his pride
MR_alien,20170714,Mr.Alien on the loss,Group: Senior Member,"Posts: 2,021",200710,From: everywhere in sabah,"M is like the recent killing case in SGfather killed son in-law and call daughter say daddy is old already, jail is nothing"
kelvinfixx,20170714,On my way,Group: Senior Member,Posts: 595,201109,,"92 years old, if najib jail him, najib is seen by world as dumbo."
Matrix,20170714,King of Char Siew!,Group: Senior Member,"Posts: 14,991",200301,From: Damansara Jaya/Bandar Utama,Yep. And die a legendary Hero.  Justasplanned.jpg
Slowpokeking,20170714,New Member,Group: Newbie,Posts: 0,201410,,"Brazil every President also corrupt, still have one of the best football team."
limfreelance,20170714,Getting Started,Group: Junior Member,Posts: 277,201107,From: Land of SaberLion :3,mamak still got backbone.takut apo.unlike brazil..here got multiracial....dumno now also losing the younger vote.dunmo need to face dapig...if jail mamak...will lost many elder votes..dumno gonna die faster.inb4 orang kita mana boleh jail.owai
LamboSama,20170714,Getting Started,Group: Junior Member,Posts: 67,201108,,"Just because it happens to one person, doesn't mean would happen to all.Besides, what makes you think this isn't part of the plan?"
kelvinfixx,20170714,On my way,Group: Senior Member,Posts: 595,201109,,"That is what many people thinks, but when you meet him in real person, the way he talk like low energy, even when he is much younger."
mousqy,20170714,Casual,Group: Junior Member,Posts: 492,200808,,coz THIS IS MALAYSIAkicks TS into the abyss
Owens15,20170714,New Member,Group: Newbie,Posts: 0,201707,,malaysia boleh
M4A1,20170714,[*#^?SONE?^#],Group: Senior Member,"Posts: 1,171",200508,,we got best badminton team oh wai kena china tapao
vearn29,20170714,New Member,Group: Junior Member,Posts: 16,201009,,if mahathir die in jail bijan will receive a huge backlash
mrhulk,20170714,Getting Started,Group: Junior Member,Posts: 102,200909,From: Behind you,"Mahathir is like ur grandpa who critic everything u do....u may not agree with him, but not so much that u want to punish him....leave mahathir alone, he have done many good thing to this country, let him speak...."
iGamer,20170714,Casual,Group: Junior Member,Posts: 375,201602,From: BanhammerLand,Totally BS.
iGamer,20170714,Casual,Group: Junior Member,Posts: 375,201602,From: BanhammerLand,Mamakthir influence is very little nowadays. Orang kite mostly don't even respect him anymore.
bereev,20170714,Getting Started,Group: Junior Member,Posts: 53,201112,,because he jail his assistant before now working with his jailed assistance where the same as Brazil
budakdegilz,20170714,Regular,Group: Senior Member,"Posts: 1,105",200612,,main objective is boiboyboiboy mukhriz need to be someone important inside fed gomenat least as prime minister
