Topic title: Mat Sabu Presiden UMNO,"Topic posted on: 14 Jul 2017, 16:31:00",Topic link: https://forum.lowyat.net/topic/4359167,"Topic scraped on: 02 Aug 2017, 02:57:57",
username,date,avatar_title,group,post_count,join_date,from,text
fortysix&2,20170714,New Member,Group: Junior Member,Posts: 10,201604,,"Freudian slip? type=""video/mp4"">"
roymustang,20170714,New Member,Group: Junior Member,Posts: 4,200710,From: Penang mai,sebut mat sabun terus terpancut
natamhanjing,20170714,Getting Started,Group: Junior Member,Posts: 69,200907,,hnnggghhhhh
alanshore,20170714,Getting Started,Group: Junior Member,Posts: 74,200707,,hahahahahhAhahahahahz
bananajoe,20170714,Getting Started,Group: Junior Member,Posts: 256,200807,From: BananaLand,Lol
Koichisan,20170714,New Member,Group: Junior Member,Posts: 8,201706,,He still loves UMNO
nazrul90,20170714,Getting Started,Group: Junior Member,Posts: 253,200909,,Dah tua ni Che DetUmor 90 tapi cergas lagi
vanpersie91,20170714,Regular-ly posting shits and stuffs,Group: Senior Member,"Posts: 1,300",200901,From: Hurr Durr Herp Derp Land,muka dia terkejut macam kena tarik nyawa....mata macam nak terkeluar.
justin hung,20170714,New Member,Group: Newbie,Posts: 3,201707,,why malay never had born a really good leader i missed mamakthir era
and85rew,20170714,Red Devil,Group: Senior Member,Posts: 646,200605,From: Kuching,Haha
RicoT,20170714,Getting Started,Group: Junior Member,Posts: 75,200902,,Hinting already
narutoway,20170714,New Member,Group: Junior Member,Posts: 28,200812,,"outside say bersatu, inside still umno"
yhtan,20170714,Look at all my stars!!,Group: Senior Member,"Posts: 7,987",200509,From: lolyat,His heart still with UMNO
